totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
1123503674312.0,307086636371.0,58993570578.0,282432901555.0,2406271126.0,2167569985.0,378535111276.0,768890309846.0,35027463531.0,354613364466.0,706762933629.0,62127376217.0,244059453189.0,10713542526.0,11774617002.0,666107286436.0,62127376217.0,2017,1
1229949078647.0,297859276564.0,58484976807.0,318823835890.0,12130105879.0,11228741977.0,372776517337.0,864168549135.0,102189692508.0,365780529512.0,798375126908.0,65793422227.0,260497294089.0,10628800178.0,13211901273.0,679004328365.0,65793422227.0,2017,2
1175688222470.0,288104320054.0,57976383036.0,284731118961.0,8270091588.0,7751223387.0,376527021601.0,802078014575.0,35494217966.0,373610207895.0,750169592348.0,51908422227.0,241234867697.0,10615959372.0,11425178286.0,665415090460.0,51908422227.0,2017,3
1100727380357.0,292097775670.0,57467789265.0,301711072787.0,984762492.0,1272613654.0,325220929270.0,725776145401.0,48710043582.0,374951234956.0,683892723174.0,41883422227.0,262813562737.0,10378069943.0,12267744624.0,625220293486.0,41883422227.0,2017,4
1177795978611.0,296046925012.0,56959195494.0,332075671980.0,6458576070.0,5892179433.0,347338501507.0,797926051002.0,121794425568.0,379869927609.0,779042628775.0,18883422227.0,286901512544.0,10542849954.0,9610360360.0,684570618068.0,18883422227.0,2018,1
1165731753041.0,285997182984.0,56450601723.0,389305254058.0,50911481779.0,45178861381.0,370022121755.0,740698132020.0,82025375751.0,425033621021.0,730523998759.0,10174133261.0,292778306037.0,10558335799.0,11944656504.0,645464620062.0,10174133261.0,2018,2
1221325572343.0,292149325798.0,55955914640.0,468935357174.0,109196447193.0,96244160474.0,395892490549.0,699993083355.0,82080792706.0,521332488988.0,689818950094.0,10174133261.0,320446666803.0,10426644200.0,9874740566.0,585694334779.0,10174133261.0,2018,3
1349184010692.0,301445708403.0,55457750870.0,498537241192.0,98302778242.0,88714941465.0,462244176989.0,784654051977.0,79683356225.0,564529958715.0,784654051977.0,0,360043841585.0,10841660687.0,10502099388.0,624057184062.0,0,2018,4
1309727159033.0,292127913895.0,54959587100.0,445189188212.0,61075566571.0,54549102224.0,495851986801.0,696414600895.0,21455122077.0,613312558138.0,696414600895.0,0,346067920923.0,10931207278.0,10548451565.0,583433432535.0,0,2019,1
1482895237189.0,283525162656.0,54461423330.0,373401694336.0,65107082127.0,58114440438.0,590464183246.0,811468238613.0,95566355199.0,671426998576.0,811468238613.0,0,270489553747.0,10893633191.0,11045689050.0,669029346295.0,0,2019,2
1398058101041.0,274972720107.0,53963259560.0,260951684363.0,21509469684.0,19243603132.0,700720970096.0,707383455002.0,55349988815.0,690674646039.0,707383455002.0,0,203523425523.0,10919515410.0,10108982638.0,572608978090.0,0,2019,3
1469552356540.0,291447055303.0,53465095790.0,337992263734.0,12770874793.0,12351893439.0,707302403884.0,800680849584.0,61326462614.0,668871506956.0,800680849584.0,0,282307427070.0,10247855579.0,11476160632.0,666037578103.0,0,2019,4
1397310000869.0,281499756154.0,52966932020.0,234296692089.0,1193563333.0,1053229582.0,720748075234.0,729980299916.0,58709362408.0,667329700953.0,729980299916.0,0,205046060094.0,10987031101.0,10159149764.0,666941162578.0,0,2020,1
1484515279116.0,271509855292.0,52468768250.0,241534104100.0,5117379494.0,4171286632.0,834111514171.0,813014291531.0,19937443907.0,671500987585.0,813014291531.0,0,205646241084.0,10842064632.0,11571830449.0,696652715030.0,0,2020,2
1609367159877.0,262065843664.0,51970604480.0,179143394267.0,9642963793.0,9057290902.0,924633034517.0,928888150501.0,40043305805.0,680479009376.0,928888150501.0,0,139275639918.0,10814857216.0,10942208208.0,789957183315.0,0,2020,3
1660133904438.0,270781524809.0,51476080710.0,296783104840.0,15106172930.0,14519660122.0,974390498623.0,965153538197.0,38781028129.0,694980366241.0,965153538197.0,0,251664564051.0,10848389148.0,12034126428.0,884471588430.0,0,2020,4
1616656364615.0,260290389170.0,50983376940.0,322152579147.0,12215609551.0,10939153929.0,930924237671.0,911257334408.0,84296300087.0,705399030207.0,911257334408.0,0,289368385075.0,10983839409.0,8758499036.0,829108141951.0,0,2021,1
1488227931660.0,251396880970.0,50490673170.0,339030666581.0,12211904330.0,10742106649.0,908153623684.0,772086794804.0,57556136824.0,716141136856.0,772086794804.0,0,300753599611.0,10906406970.0,8205387892.0,671266514341.0,0,2021,2
1443551322056.0,244555020919.0,49997969400.0,223876068082.0,3861278778.0,3520964197.0,868048950953.0,723828816603.0,51671459645.0,719722505453.0,723828816603.0,0,196847247075.0,10726975741.0,7533478287.0,615600893597.0,0,2021,3
