totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
91029230423.0,1890909777.0,0,44684674155.0,0,1130636879.0,8690676390.0,44499269602.0,35212947285.0,46529960821.0,44499269602.0,0,26381648769.0,0,45910279.0,1312505000.0,0,2017,1
84782401744.0,1894318698.0,0,47643691213.0,0,1241654028.0,14625892016.0,42746221479.0,18636817323.0,42036180265.0,42725321479.0,20900000.0,32523916292.0,0,39621822.0,1367889105.0,0,2017,2
139547257611.0,1921546749.0,0,138147907734.0,0,3479072389.0,13176874342.0,93929704282.0,20723849419.0,45617553329.0,93908804282.0,20900000.0,107782610790.0,0,32827452.0,930390105.0,0,2017,3
109294898271.0,1664974149.0,0,73312508741.0,0,3079248220.0,14278449118.0,60529969903.0,32232971832.0,48764928368.0,60529969903.0,0,41554864163.0,0,-13387230.0,0,0,2017,4
105493567445.0,1408401549.0,0,58586008366.0,0,1759956431.0,12108887460.0,54654450257.0,40501090693.0,50839117188.0,54654450257.0,0,33011639518.0,0,1225064.0,0,0,2018,1
88593927145.0,1834893465.0,0,56235863429.0,0,1056247180.0,13482501993.0,42865617057.0,24127843205.0,45728310088.0,42865617057.0,0,38604355133.0,0,0,0,0,2018,2
147697176310.0,1809656890.0,0,150620992545.0,0,4217307089.0,21623617916.0,97751559133.0,22713294972.0,49945617177.0,97751559133.0,0,118311812983.0,0,0,0,0,2018,3
119254406671.0,19015803711.0,0,83531102261.0,0,3143205578.0,22761617411.0,66165583916.0,42375829171.0,53088822755.0,66165583916.0,0,41029559062.0,0,0,0,0,2018,4
116006657834.0,18647733157.0,0,70215123184.0,0,2069926982.0,22377201228.0,63024379631.0,37394372308.0,52982278203.0,63024379631.0,0,39615044073.0,0,0,0,0,2019,1
106629289849.0,19513189447.0,0,70011090091.0,0,1408227373.0,24744800386.0,56522784273.0,19048799346.0,50106505576.0,56522784273.0,0,52037734076.0,0,0,0,0,2019,2
143888652986.0,19151190283.0,0,150277886462.0,0,4148525399.0,22200836801.0,89633622011.0,13623375424.0,54255030975.0,89633622011.0,0,113820943271.0,0,0,0,0,2019,3
129325005331.0,19516060651.0,0,88609871681.0,0,3307072741.0,21795437197.0,71762901615.0,13623375424.0,57562103716.0,71762901615.0,0,48050770108.0,0,0,0,0,2019,4
107996129634.0,19070177053.0,0,59281133463.0,0,1816971305.0,23990310267.0,50696796873.0,23505445685.0,57299332761.0,50696796873.0,0,29883207527.0,0,0,0,0,2020,1
119573335535.0,21019651003.0,0,56519022007.0,0,1161140847.0,33864079637.0,65396861927.0,23505445685.0,54176473608.0,65396861927.0,0,42055202410.0,0,0,0,0,2020,2
166711574424.0,20721836905.0,0,143346985904.0,0,3814825775.0,39422989430.0,108720275041.0,23505445685.0,57991299383.0,108720275041.0,0,106198536018.0,0,0,0,0,2020,3
137972937571.0,20871704986.0,0,120627188132.0,0,5608579640.0,25625337549.0,74373058548.0,23505445685.0,63599879023.0,74373058548.0,0,66505976411.0,0,0,0,0,2020,4
120260018124.0,20494657183.0,883337772.0,69317302719.0,2748656177.0,1955772535.0,23045171633.0,57210795839.0,31131089784.0,63049222285.0,57210795839.0,0,37487375354.0,377047803.0,0,0,0,2021,1
117988957203.0,20117609380.0,831376725.0,61166317574.0,2167536885.0,1567454321.0,35656734397.0,57962280597.0,20229358558.0,60026676606.0,57962280597.0,0,44261700670.0,480969897.0,0,0,0,2021,2
147288891333.0,19749935037.0,779415678.0,73344563382.0,1490664694.0,1281916461.0,33294886422.0,85980298266.0,9691312970.0,61308593067.0,85980298266.0,0,56620409621.0,419635390.0,0,0,0,2021,3
143713294738.0,19383783900.0,1830165905.0,95480015228.0,7190309941.0,5592712350.0,35466294879.0,76811989321.0,15605356574.0,66901305417.0,76811989321.0,0,48808572802.0,496877274.0,0,0,0,2021,4
129429843303.0,19260221473.0,1699536653.0,57717519772.0,2025653066.0,1492316138.0,28686378523.0,61043800748.0,16509141467.0,68386042555.0,61043800748.0,0,37370783075.0,498091679.0,0,0,0,2022,1
119993340966.0,18909586733.0,1568907401.0,78975021525.0,2232965569.0,1789004138.0,31096077261.0,57465460006.0,10702561223.0,62527880960.0,57465460006.0,0,51155504599.0,521463992.0,0,0,0,2022,2
154035912792.0,18520265645.0,1438278149.0,143737077840.0,5036959513.0,3953775879.0,23305897887.0,78233239661.0,6711103957.0,75802673131.0,78233239661.0,0,116230904580.0,519950340.0,0,0,0,2022,3
154035912792.0,18520265645.0,1438278149.0,143737077840.0,5036959513.0,3953775879.0,23305897887.0,78233239661.0,6711103957.0,75802673131.0,78233239661.0,0,116230904580.0,519950340.0,0,0,0,2022,4
