totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
1753620658753.0,2125099577.0,279411894899.0,0,0,0,0,37958758354.0,0,1715661900399.0,0,0,0,726196401.0,0,0,0,2017,1
1829330422647.0,1979569844.0,278831228231.0,0,0,0,0,64572179565.0,0,1764758243082.0,0,0,0,726196401.0,0,0,0,2017,2
1793608827401.0,1834040111.0,278250561563.0,0,0,0,0,31275926834.0,0,1762332900567.0,0,0,0,-855027692.0,0,0,0,2017,3
1777356143891.0,3741969723.0,279800880589.0,0,0,0,0,12812979026.0,0,1764543164865.0,0,0,0,442371327.0,0,0,0,2017,4
1781342590784.0,3513417937.0,2278996450.0,0,0,0,0,10895125133.0,0,1770447465651.0,0,0,0,1009030925.0,0,0,0,2018,1
1789816823328.0,3299222719.0,3930313165.0,0,0,0,0,13723960714.0,0,1776092862614.0,0,0,0,791278503.0,0,0,0,2018,2
1860046488661.0,3750525826.0,4522746852.0,0,0,0,0,15679697804.0,0,1844366790857.0,0,0,0,713097206.0,0,0,0,2018,3
1917072477344.0,4487014338.0,4076340933.0,0,0,0,0,46650397331.0,0,1870422080013.0,0,0,0,1878969282.0,0,0,0,2018,4
2176393950846.0,4066494705.0,3629935014.0,0,0,0,0,245043177950.0,0,1931350772896.0,0,0,0,866925552.0,0,0,0,2019,1
2122672308648.0,3647991726.0,3183529095.0,0,0,0,0,76415410326.0,0,2046256898322.0,0,0,0,864908898.0,0,0,0,2019,2
2092704216615.0,3469013313.0,4681175595.0,0,0,0,0,97055467308.0,0,1995648749307.0,0,0,0,927292913.0,0,0,0,2019,3
2102668956461.0,4012746917.0,4658537037.0,0,0,0,0,135774199839.0,0,1966894756622.0,0,0,0,284385056.0,0,0,0,2019,4
2052948749757.0,3638515825.0,4108120701.0,0,0,0,0,123837410504.0,0,1929111339253.0,0,0,0,1011627428.0,0,0,0,2020,1
2155910428796.0,3270131066.0,3557704365.0,0,0,0,0,163985741354.0,0,1991924687442.0,0,0,0,1016001095.0,0,0,0,2020,2
2216458877397.0,2803967735.0,3007288029.0,0,0,0,0,177114650376.0,0,2039344227021.0,0,0,0,1016579667.0,0,0,0,2020,3
2286420537073.0,3312187444.0,46579861480.0,0,0,0,0,189791546527.0,0,2096628990546.0,0,0,0,1653545840.0,0,0,0,2020,4
2243143420564.0,20180924755.0,27504151126.0,0,0,0,0,178737877323.0,0,2064405543241.0,0,0,0,2206973043.0,0,0,0,2021,1
2383084598830.0,19260446899.0,26364180726.0,0,0,0,0,98124918472.0,0,2284959680358.0,0,0,0,2114513256.0,0,0,0,2021,2
2540400099825.0,18334302222.0,25373565145.0,0,0,0,0,202068174253.0,0,2338331925572.0,0,0,0,1475008258.0,0,0,0,2021,3
2739269214518.0,18756592631.0,25472208352.0,0,0,0,0,282417657971.0,0,2456851556547.0,0,0,0,2212585384.0,0,0,0,2021,4
2838240588842.0,17890631354.0,24483232381.0,0,0,0,0,330047127562.0,0,2508193461280.0,0,0,0,1854937248.0,0,0,0,2022,1
2546548056789.0,17025407827.0,23494256410.0,0,0,0,0,84247772664.0,0,2462300284125.0,0,0,0,1854199498.0,0,0,0,2022,2
2661929693942.0,16247987402.0,22505280439.0,0,0,0,0,160465286335.0,0,2501464407607.0,0,0,0,1719967837.0,0,0,0,2022,3
2661929693942.0,16247987402.0,22505280439.0,0,0,0,0,160465286335.0,0,2501464407607.0,0,0,0,1719967837.0,0,0,0,2022,4
