totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
840065737402.0,146685737.0,0,80261204546.0,28870316163.0,28870316163.0,2413981019.0,437945386320.0,94988266070.0,402120351082.0,374008143402.0,63937242918.0,48411190354.0,-26918182.0,427706428.0,59070516890.0,22070696418.0,2017,1
1082045406801.0,169660711.0,0,10663908144.0,495846642.0,-5416734742.0,2311071144.0,685341617145.0,172686839172.0,396703789656.0,609165864143.0,76175753002.0,8748731882.0,80851060.0,681207761.0,61972993459.0,34309206502.0,2017,2
1291502114815.0,169660711.0,110000000.0,37807256895.0,15146094257.0,11804681524.0,1884041229.0,884114517477.0,213843170597.0,407387597338.0,789055476475.0,95059041002.0,20214556889.0,-107865756.0,554308283.0,43861612522.0,53042494502.0,2017,3
1398255442603.0,131908485.0,110000000.0,142064356976.0,27378595295.0,22091217761.0,1837088417.0,969586034121.0,274158129831.0,428669408482.0,869683647592.0,99902386529.0,102521274838.0,-37752226.0,387901276.0,81364790511.0,57985840029.0,2017,4
1523077801559.0,113032372.0,88611111.0,71779768100.0,11227056116.0,9338132024.0,696369115082.0,1084902543943.0,156939662818.0,438175257616.0,988150072940.0,96752471003.0,59347146153.0,-18876113.0,377647486.0,31304157381.0,54835924503.0,2018,1
1342682196022.0,192855259.0,70277778.0,220395478805.0,34325684218.0,26934158324.0,446484181896.0,872467931997.0,110003510874.0,470214264025.0,749194127859.0,123273804138.0,172221163583.0,83934308.0,270009634.0,80338531047.0,81357257638.0,2018,2
1575370405342.0,995390965.0,61111111.0,256895588074.0,33755388900.0,24210798165.0,460824181973.0,1077880231129.0,28371665313.0,497490174213.0,824442175162.0,253438055967.0,199846490563.0,-160923715.0,456791210.0,50702166144.0,210521509467.0,2018,3
1777874366901.0,41144943189.0,51944444.0,291217651426.0,5716548694.0,9627792661.0,510192973163.0,1284562312790.0,179719822713.0,493312054111.0,1037610887036.0,246951425754.0,245874157705.0,-630843608.0,515711868.0,202937274874.0,204034879254.0,2018,4
1877969075959.0,42144206369.0,42777777.0,67938834214.0,3828828194.0,825823224.0,674966542318.0,1408414796789.0,155019959377.0,469554279170.0,914234294470.0,494180502319.0,50800289507.0,-664033370.0,441496342.0,104779106921.0,449463955819.0,2019,1
2162631051409.0,52303763081.0,33611110.0,40765581883.0,-6808203685.0,-10973954349.0,882882446231.0,1704047691947.0,152248923492.0,458583359462.0,1314470451262.0,389577240685.0,33187082002.0,2633857205.0,4046823572.0,203700836445.0,344260694185.0,2019,2
2376501956946.0,53991269077.0,24444443.0,40765581883.0,6004489616.0,-10879043157.0,1087366450575.0,1911991933054.0,236483739089.0,464510023892.0,1476823121115.0,435168811939.0,33187082002.0,1155015216.0,4046823572.0,78065497093.0,390452265439.0,2019,3
2432243089689.0,71234976784.0,150704016.0,295643432474.0,39515788606.0,43924517326.0,1121825002907.0,1937822797677.0,128465978214.0,494420292012.0,1529991333022.0,407831464655.0,228377718358.0,1587085796.0,4046823572.0,126757692225.0,363764911955.0,2019,4
2661632905406.0,70212469581.0,473649948.0,128473885364.0,18524302334.0,11748536615.0,1213877613026.0,2156971617917.0,135612728722.0,504661287489.0,1746884056705.0,410087561212.0,89448412420.0,1464832655.0,1751156932.0,303729212236.0,316221014712.0,2020,1
2752644192106.0,69289479088.0,440075280.0,118750797465.0,26539786305.0,16511747797.0,1387067387873.0,2231468045543.0,112175588013.0,521176146563.0,1973274807513.0,258193238030.0,78897367933.0,1560343023.0,5690839182.0,423711626336.0,212694980541.0,2020,2
2790130154231.0,68007597211.0,406500612.0,88089887340.0,19511087934.0,14423367397.0,1524973501296.0,2250842519038.0,130858752242.0,539287635193.0,1833123894775.0,417718624263.0,53014153829.0,1509049545.0,994707714.0,266811438793.0,318328753692.0,2020,3
2913363057760.0,66187296069.0,369192755.0,154721190447.0,21138906900.0,14483980668.0,1693667791656.0,2370540557921.0,161526898397.0,542822499839.0,1973939092905.0,396601465016.0,110896731151.0,1490705687.0,6347888280.0,264123314155.0,340855507596.0,2020,4
2700165149399.0,65044166935.0,348517955.0,241173620517.0,22936357335.0,17035543387.0,1622082200221.0,2146062343151.0,117179348779.0,554102806248.0,1988017085346.0,158045257805.0,191272404045.0,1515861546.0,7437889129.0,394239479939.0,104905383945.0,2021,1
2750560139665.0,126159766588.0,383676622.0,135926969684.0,22047843989.0,11348337434.0,1615497275208.0,2195711931518.0,42561747402.0,554848208147.0,2117164704201.0,78547227317.0,88804713186.0,2145354113.0,6144247218.0,537137476553.0,22821607699.0,2021,2
2952719284133.0,124452936709.0,277871422.0,238811730316.0,58416300073.0,43539889356.0,1609276424537.0,2354317597942.0,153374463973.0,598401686191.0,2013355059581.0,340962538361.0,150749642840.0,1812635079.0,8074894132.0,465330442850.0,284836918743.0,2021,3
2850119782962.0,122619148540.0,328860622.0,552100161191.0,167603540541.0,129547708981.0,1525802869197.0,2005044947283.0,65144370054.0,845074835679.0,1938895288320.0,66149658963.0,327989241660.0,1782798969.0,13221624946.0,637819046246.0,9572669240.0,2021,4
2665902403875.0,121770567599.0,297719422.0,294257815459.0,62022623922.0,48150884950.0,1361678776052.0,1772670943655.0,75946302527.0,893231460220.0,1704321284692.0,68349658963.0,204292210230.0,1851991671.0,5461238070.0,602867812724.0,9572669240.0,2022,1
2592684909846.0,137082986325.0,274044622.0,281823417897.0,16740774389.0,2636393404.0,1216548393589.0,1696791793988.0,29003641307.0,895893115858.0,1384393456421.0,312398337567.0,203002724878.0,2125464689.0,17685095195.0,548372403650.0,250334300000.0,2022,2
2652369800741.0,133629494661.0,95442022.0,131544087722.0,19503052243.0,15128791263.0,1217136685461.0,1735298666902.0,94134927329.0,917071133839.0,1405787280246.0,329511386656.0,85086266536.0,1492324997.0,16087924641.0,554092227548.0,265814371233.0,2022,3
2652369800741.0,133629494661.0,95442022.0,131544087722.0,19503052243.0,15128791263.0,1217136685461.0,1735298666902.0,94134927329.0,917071133839.0,1405787280246.0,329511386656.0,85086266536.0,1492324997.0,16087924641.0,554092227548.0,265814371233.0,2022,4
