totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
289154133119.0,60558663794.0,0,84254355922.0,0,2149937376.0,30278434407.0,180616048173.0,3610164927.0,108538084946.0,171116070915.0,9499977258.0,73243984473.0,0,1565674909.0,120191303398.0,9499977258.0,2017,1
323450184791.0,85295919978.0,629106666.0,102626245027.0,0,2396348511.0,42109178643.0,219515751334.0,3967259538.0,103934433457.0,212015774076.0,7499977258.0,90640789925.0,0,1854562686.0,132410194715.0,7499977258.0,2017,2
348344380718.0,81506606726.0,596566665.0,76448849464.0,0,43691690.0,36104906890.0,244366255571.0,9829334129.0,103978125147.0,204149971913.0,40216283658.0,72026048530.0,0,2284097410.0,139419580896.0,40216283658.0,2017,3
364636948723.0,188961633901.0,564026664.0,91290166335.0,0,-635871191.0,35958487188.0,261294694767.0,1068690569.0,103342253956.0,201467498579.0,59827196188.0,87064790357.0,0,1360335980.0,116067005026.0,59827196188.0,2017,4
363774530185.0,183585027769.0,531486663.0,94460522615.0,0,688554997.0,35105708515.0,259743721232.0,2592267640.0,104030808953.0,214094120644.0,45649600588.0,86431355275.0,0,3046785882.0,137647453000.0,45649600588.0,2018,1
379376043355.0,180022252490.0,498946662.0,127034846934.0,0,2144367924.0,37567181854.0,277000866478.0,2935741339.0,102375176877.0,234554540660.0,42446325818.0,116348758349.0,0,3043166526.0,137620600892.0,42446325818.0,2018,2
413937683498.0,173498761676.0,466406661.0,123047571645.0,0,778891508.0,36724266662.0,310783615113.0,1498580582.0,103154068385.0,271352008415.0,39431606698.0,113501292511.0,0,3284314440.0,153758502591.0,39431606698.0,2018,3
427822774244.0,169773313628.0,433866660.0,138699025411.0,0,1351224226.0,47609281597.0,323317481633.0,5364103689.0,104505292611.0,286900594055.0,36416887578.0,127975462681.0,0,3575346353.0,159106533464.0,36416887578.0,2018,4
434313333533.0,163295930558.0,401326659.0,124467108670.0,0,1363534985.0,40089551414.0,328432749405.0,3057426576.0,105880584128.0,295030580947.0,33402168458.0,114473684846.0,0,3651601955.0,170468505784.0,33402168458.0,2019,1
432758146478.0,157225384214.0,368786658.0,111663245315.0,0,1699093757.0,57797636322.0,329978468593.0,3057426576.0,102779677885.0,299591019255.0,30387449338.0,100616449011.0,0,3897235269.0,175768737729.0,30387449338.0,2019,2
425997020975.0,150599580918.0,336246657.0,117068740890.0,0,892716641.0,43133055959.0,322324626449.0,3057426576.0,103672394526.0,294951896231.0,27372730218.0,107056725011.0,0,3752069188.0,167882163529.0,27372730218.0,2019,3
429531453000.0,148590956745.0,303706656.0,100377538889.0,0,1643289569.0,51140997191.0,324215768905.0,3057426576.0,105315684095.0,292810555967.0,31405212938.0,89944652859.0,0,4146997579.0,172743104289.0,31405212938.0,2019,4
438966416827.0,160528422675.0,271166655.0,118291831182.0,1720667078.0,1368733662.0,41411904232.0,332272124715.0,5155496016.0,106694292112.0,303233268537.0,29038856178.0,106849788447.0,5511199540.0,3954885607.0,180012711427.0,29038856178.0,2020,1
415437155104.0,153721490873.0,238626654.0,126497925649.0,2425680765.0,1932260353.0,34151675581.0,312310602639.0,2363838174.0,103126552465.0,287159265781.0,25151336858.0,113936045695.0,7265271803.0,3601363503.0,151230471230.0,25151336858.0,2020,2
411601969538.0,146515565727.0,206086653.0,139503349189.0,2435418352.0,1942934682.0,38507509668.0,306532482391.0,3781482662.0,105069487147.0,285421864893.0,21110617498.0,122285312432.0,7238465147.0,3300130908.0,174767387475.0,21110617498.0,2020,3
