totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
5155283995907.0,3591140849629.0,8629336000.0,929600295406.0,14237035713.0,11512753063.0,865641183122.0,3205814522671.0,36608758969.0,1949469473236.0,2880466461527.0,325348061144.0,796870258506.0,66707063021.0,21446184430.0,1484016859273.0,325348061144.0,2017,1
5069619224227.0,3511321098701.0,9175241694.0,979819896082.0,-39187563275.0,-32922896175.0,788475145778.0,3289421758136.0,46359579853.0,1780197466091.0,2943948598939.0,345473159197.0,901924548423.0,68761312816.0,20638554272.0,1491707754494.0,345473159197.0,2017,2
5030189107384.0,3448759765000.0,9152379195.0,688186045292.0,-35055599518.0,-34211916042.0,894230188280.0,3285875067708.0,21956575922.0,1744314039676.0,2921004404009.0,364870663699.0,614556926892.0,137962851854.0,19308854010.0,1255967344285.0,364870663699.0,2017,3
4842482196677.0,3382434888283.0,9129516696.0,877760959558.0,59108374206.0,56618133232.0,887772653895.0,3041994249790.0,112445605513.0,1800487946887.0,2656246199801.0,385748049989.0,754085612267.0,64489585436.0,19670500016.0,1468643804500.0,385748049989.0,2017,4
4831467891703.0,3317654143507.0,9106654197.0,787800873019.0,-6065335235.0,-4729435255.0,788181726689.0,3036195303570.0,63682056882.0,1795272588133.0,2638239732422.0,397955571148.0,724111739233.0,66262246931.0,19520726882.0,1501660919175.0,397955571148.0,2018,1
4735599667418.0,3251754356408.0,9083791698.0,996960978051.0,26440806851.0,23542989683.0,732569180775.0,2926665127155.0,35919798601.0,1808934540263.0,2888085127155.0,38580000000.0,873220188415.0,66978121493.0,23901457621.0,1831865542803.0,38580000000.0,2018,2
4807598976694.0,3190814434245.0,9060929199.0,932896842451.0,29851235197.0,24598216476.0,747918337322.0,2975729571234.0,116997186898.0,1831869405460.0,2935795461604.0,39934109630.0,807282354905.0,66758432388.0,25086091940.0,1822686866221.0,36440000000.0,2018,3
4551216999106.0,3126039319948.0,9038066696.0,960847743104.0,63095798928.0,50234010835.0,775939803211.0,2668490350933.0,115897378539.0,1882726648173.0,2630516638755.0,37973712178.0,822975446008.0,65822880508.0,17316843736.0,1515483334789.0,34300000000.0,2018,4
4664807705616.0,3061207174837.0,9015204197.0,923678068296.0,29824931487.0,23979053906.0,725984248036.0,2760651902327.0,81677324674.0,1904155803289.0,2684751708273.0,75900194054.0,800467705543.0,64832145111.0,26528175921.0,1606635824389.0,72046879328.0,2019,1
4691063182280.0,2998102232802.0,8992341698.0,990881247837.0,71009865889.0,58801206998.0,790005704022.0,2737985410887.0,47293209456.0,1953077771393.0,2699652493613.0,38332917274.0,824374518392.0,65063434140.0,27898220053.0,1628697558128.0,34300000000.0,2019,2
4697856048576.0,2936104645883.0,8969479199.0,919136564200.0,23154566032.0,18284544937.0,806048939594.0,2718080553092.0,39872434104.0,1979775495484.0,2679540539880.0,38540013212.0,795000103468.0,63134419701.0,27675868709.0,1529104626993.0,34300000000.0,2019,3
4538925473708.0,3690352038101.0,9182921918.0,992316992803.0,38969958326.0,29380102778.0,353128561284.0,2532346440072.0,122117264588.0,2006579033636.0,2503386824310.0,28959615762.0,850979251389.0,69595945593.0,28970529492.0,1256228306645.0,24540000000.0,2019,4
4688800117989.0,3617062298525.0,9310412216.0,1050945518869.0,25082750090.0,20191410540.0,414608340439.0,2677603460418.0,36883072631.0,2011196657571.0,2648454253737.0,29149206681.0,921928505025.0,75898998155.0,20872340333.0,1334203769839.0,24540000000.0,2020,1
4667930084168.0,3565141127428.0,9294833990.0,1085137435755.0,53099682619.0,43719035479.0,436649440504.0,2636344944419.0,36776741192.0,2031585139749.0,2606984847091.0,29360097328.0,934286104311.0,77321388495.0,19512654395.0,1315090665448.0,24540000000.0,2020,2
4512000352591.0,3489752904103.0,9239317958.0,1052154867486.0,27097318242.0,21666789447.0,368651517720.0,2460292008546.0,41795148213.0,2051708344045.0,2417270370707.0,43021637839.0,935568941317.0,76054519638.0,18779214146.0,1182703819325.0,37980000000.0,2020,3
4127845107797.0,3424876101295.0,9183801920.0,1111254001568.0,59987862280.0,66118987786.0,345565169764.0,2012177299605.0,88125503724.0,2115667808192.0,1980914121244.0,31263178361.0,968374887111.0,76228994802.0,17198615605.0,821298451341.0,26000000000.0,2020,4
4239382295255.0,3351873130841.0,9128285888.0,1060247852310.0,10644577774.0,8577290750.0,315519346107.0,2122363320739.0,9388001271.0,2117018974516.0,2090898071621.0,31465249118.0,965068711387.0,76047822448.0,12360004230.0,794491264912.0,26000000000.0,2021,1
4237624585832.0,3294170318639.0,9072769856.0,1187164690977.0,115415493772.0,91420855170.0,388991754930.0,2062884700533.0,49052749699.0,2174739885299.0,2031217380658.0,31667319875.0,979172596339.0,76397736115.0,11063077247.0,785743164388.0,26000000000.0,2021,2
4196626834840.0,3225826138093.0,9017253824.0,878581892260.0,-7994841296.0,-6295971934.0,351266758106.0,2030100602121.0,20811659584.0,2166526232719.0,1985231211489.0,44869390632.0,805919176994.0,76166673962.0,10883608090.0,770639189515.0,39000000000.0,2021,3
3875851498328.0,3155290555708.0,10094780799.0,1204056814165.0,-6969465970.0,-9346886693.0,318314929079.0,1756752543848.0,94824395642.0,2119098954480.0,1706731082454.0,50021461394.0,1092280225868.0,76411264276.0,10222436894.0,513932181513.0,43950000000.0,2021,4
3971073779849.0,3086543791583.0,9980264769.0,1182730385148.0,87587924076.0,70146600301.0,330690276107.0,1795903689257.0,22908621243.0,2175170090592.0,1730375703288.0,65527985969.0,1011659024862.0,75853648847.0,8598540891.0,558097355515.0,59247000000.0,2022,1
4215258874017.0,2995625781734.0,9865748739.0,1133915670959.0,74709186067.0,59471036503.0,464587265732.0,1967564346155.0,22938581906.0,2247694527862.0,1860726826852.0,106837519303.0,959115086832.0,74844379225.0,8116418532.0,563786433946.0,100217289101.0,2022,2
4361915174019.0,2921545836910.0,9751232709.0,982169095696.0,-45305380644.0,-36146167633.0,617746843968.0,2213473537972.0,41615186352.0,2148441636047.0,2116070536465.0,97403001507.0,940778632001.0,75310442796.0,8727260044.0,580314216461.0,90508386901.0,2022,3
4361915174019.0,2921545836910.0,9751232709.0,982169095696.0,-45305380644.0,-36146167633.0,617746843968.0,2213473537972.0,41615186352.0,2148441636047.0,2116070536465.0,97403001507.0,940778632001.0,75310442796.0,8727260044.0,580314216461.0,90508386901.0,2022,4
