totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
55018821382.0,3943926284.0,16221513359.0,8516552785.0,1005305950.0,800144760.0,12087171328.0,9257616753.0,12028451259.0,45761204629.0,8004320277.0,1253296476.0,4982298409.0,462200802.0,0,0,0,2017,1
57337860488.0,3825280630.0,16221513359.0,25962309321.0,2376590381.0,1898772305.0,20974737813.0,21379612825.0,4259414691.0,35958247663.0,20593000949.0,786611876.0,19993026020.0,315055810.0,33297534.0,0,0,2017,2
59040824087.0,4735853433.0,16221513359.0,30541847702.0,3053511116.0,2426116007.0,15496799192.0,20678960417.0,9852448153.0,38361863670.0,20008343141.0,670617276.0,22103388919.0,350679667.0,0,0,0,2017,3
51630406914.0,4608980657.0,16221513359.0,12369510395.0,2263924719.0,1811132395.0,11039886311.0,11478377849.0,9812310712.0,40152029065.0,10974817449.0,503560400.0,8315309597.0,346806002.0,0,0,0,2017,4
57005685190.0,4471154993.0,16221513359.0,8623187107.0,1485096457.0,1185077166.0,18134537869.0,16419135984.0,6729973271.0,40586549206.0,15915575584.0,503560400.0,5290770916.0,337358894.0,0,4317000000.0,0,2018,1
59605743170.0,4333329329.0,16221513359.0,29488265416.0,2438867905.0,1950094324.0,20450629446.0,22852936362.0,4717752680.0,36752806808.0,22133937962.0,718998400.0,22131498687.0,337358894.0,54062795.0,0,0,2018,2
60840342604.0,4241187633.0,16221513359.0,31190397751.0,3907944183.0,3125596520.0,15920597740.0,20984439276.0,10743355995.0,39855903328.0,20191451936.0,792987340.0,22333014864.0,327982325.0,0,0,0,2018,3
71987609590.0,4114561868.0,15149323417.0,13894076199.0,27637452247.0,22109961797.0,9843214283.0,10044244465.0,33151937658.0,61943365125.0,9308472964.0,735771501.0,9729392409.0,288494848.0,0,0,0,2018,4
77824598060.0,4899415557.0,15149323417.0,10386244945.0,987809026.0,787087221.0,16100021589.0,15125645714.0,32170987507.0,62698952346.0,14206574213.0,919071501.0,6577815272.0,314877605.0,0,0,0,2019,1
61089261868.0,4802869246.0,15149323417.0,37070748283.0,2571368745.0,2043494996.0,20157036476.0,24465314526.0,4656372730.0,36623947342.0,23654971025.0,810343501.0,28965740661.0,327277605.0,13701094.0,0,0,2019,2
59772000563.0,4621547593.0,15149323417.0,27682814733.0,3605358959.0,2877487167.0,17113824043.0,20270566054.0,5619921151.0,39501434509.0,19460222553.0,810343501.0,19335223762.0,331052947.0,0,0,0,2019,3
50659075833.0,4440225937.0,15149323417.0,13590017968.0,1899503799.0,1513303039.0,10874576372.0,9644338285.0,5400148517.0,41014737548.0,8932428285.0,711910000.0,9482796680.0,331052948.0,0,0,0,2019,4
54135008670.0,4259707511.0,15149323417.0,7880852402.0,1594976063.0,1266680850.0,15486768521.0,11967590272.0,3989430265.0,42167418398.0,11239180272.0,728410000.0,4436836815.0,330249720.0,0,0,728410000.0,2020,1
68375378625.0,4080618410.0,15149323417.0,14669327468.0,1178745163.0,1107309404.0,29107831310.0,31347719444.0,5653312941.0,37027659181.0,30708181444.0,639538000.0,10305713026.0,328820395.0,0,0,0,2020,2
60016220553.0,3901529309.0,15149323417.0,41717267283.0,4189252991.0,3598333679.0,16910148534.0,19390227693.0,5967308098.0,40625992860.0,18780179693.0,610048000.0,32657038623.0,328820395.0,0,0,0,2020,3
52470091297.0,3722440207.0,15149323417.0,12514023014.0,1910784891.0,1558156263.0,11291094906.0,10285942174.0,4478488645.0,42184149123.0,9705973774.0,579968400.0,8437980425.0,328820394.0,0,0,0,2020,4
57139970406.0,3543351106.0,15149323417.0,8883522295.0,138182509.0,-107814310.0,18303024210.0,15063635593.0,2418500245.0,42076334813.0,14465667193.0,597968400.0,5483050029.0,328820395.0,0,0,0,2021,1
58953737557.0,2880933238.0,15149323417.0,39067464949.0,1198448416.0,951758733.0,21386250564.0,23156124207.0,2283965977.0,35797613350.0,22467603807.0,688520400.0,32116433842.0,299589626.0,0,0,0,2021,2
55659034390.0,2749344137.0,13613172051.0,14385120713.0,1347911669.0,1072029335.0,18255628443.0,18789391705.0,5299767207.0,36869642685.0,18123371305.0,666020400.0,10797837029.0,281320395.0,0,0,0,2021,3
50735964543.0,2617755035.0,13613172051.0,11387306818.0,3739620390.0,3442234186.0,14501984769.0,10424087672.0,5208548613.0,40311876871.0,9890607672.0,533480000.0,6932934324.0,281320394.0,0,0,0,2021,4
53781476742.0,2486165934.0,13613172051.0,7552066117.0,1400562191.0,1111002528.0,18437653700.0,12198971824.0,4644559944.0,41582504918.0,11637691824.0,561280000.0,4312078291.0,281320395.0,0,0,0,2022,1
62781016702.0,2358238477.0,13613172051.0,32888725658.0,-755673096.0,-837431976.0,24240067869.0,27711835433.0,6796704248.0,35069181269.0,27005077433.0,706758000.0,26273860237.0,277658751.0,0,0,0,2022,2
56519618707.0,2233399376.0,13613172051.0,32459210233.0,4432340072.0,3505678831.0,21946598552.0,17944758607.0,3389037100.0,38574860100.0,17139000607.0,805758000.0,23272999233.0,274570395.0,0,0,0,2022,3
56519618707.0,2233399376.0,13613172051.0,32459210233.0,4432340072.0,3505678831.0,21946598552.0,17944758607.0,3389037100.0,38574860100.0,17139000607.0,805758000.0,23272999233.0,274570395.0,0,0,0,2022,4
