totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
4216754723738.0,3081802124331.0,0,694271108375.0,20012667758.0,16010134206.0,496503335699.0,2834151087861.0,84417103688.0,1382603635877.0,1891236822489.0,942914265372.0,591859479098.0,67299874789.0,30431932937.0,1398486017689.0,937799066250.0,2017,1
4112987879826.0,3023586656508.0,711417666.0,885221652153.0,-12896344246.0,-10474836381.0,453195281923.0,2779325083130.0,79101034466.0,1333662796696.0,1847016005344.0,932309077786.0,754471810872.0,67643290097.0,37955562090.0,1403033850174.0,926979757519.0,2017,2
4077390608695.0,2957794911999.0,601344582.0,668007151915.0,-6588821585.0,-6588821585.0,498347236769.0,2747874579132.0,16902124551.0,1329516029563.0,1933450834936.0,814423744196.0,577828192692.0,68463912593.0,33353941386.0,1386295589851.0,808880302784.0,2017,3
3818598550051.0,2925288567731.0,612681917.0,902643753662.0,4506304943.0,2786574913.0,439367297674.0,2486388945575.0,220892761851.0,1332209604476.0,1695907868825.0,790481076750.0,785306519844.0,68233996062.0,31617577596.0,1188315398134.0,784723514194.0,2017,4
3835048705584.0,2875775365880.0,570166916.0,619070509521.0,-17903636174.0,-17903636174.0,383029170001.0,2520835737282.0,47381323200.0,1314212968302.0,1897518137650.0,623317599632.0,548323914950.0,69828942768.0,28277272295.0,1381115582835.0,617345915931.0,2018,1
3770355246297.0,2813020041256.0,527651915.0,811932975777.0,40061225671.0,35504937999.0,388556574036.0,2420691866313.0,36910187753.0,1349663379984.0,1933209100861.0,487482765452.0,694510144255.0,69447423259.0,32158223359.0,1401665802925.0,481296960606.0,2018,2
3845235919362.0,2745125861765.0,485136914.0,718952286959.0,341261196.0,221357337.0,388765115491.0,2495393182041.0,106553847332.0,1349842737321.0,2228171660215.0,267221521826.0,623576367378.0,68992370413.0,28481305679.0,1574512660351.0,0,2018,3
3531452727135.0,2675978675299.0,442621917.0,934546255594.0,19973848411.0,1750405133.0,395158037003.0,2179900984681.0,104845473264.0,1351551742454.0,1954517954578.0,225383030103.0,780075416406.0,69430212763.0,26061372123.0,1320821866101.0,218768982968.0,2018,4
3683999887382.0,2608500216146.0,400106916.0,721589426131.0,27370403334.0,21472181982.0,389478258840.0,2309867050435.0,33382238855.0,1374132836947.0,2203363148657.0,106503901778.0,618364068428.0,68812402154.0,25984522097.0,1502259151147.0,99675733499.0,2019,1
3678488271913.0,2540861787253.0,357591915.0,846311823686.0,16666321007.0,12930767441.0,480342264443.0,2291466667525.0,33658080009.0,1387021604388.0,2218361878101.0,73104789424.0,721313775434.0,68872543894.0,23697735035.0,1460447036019.0,66062500000.0,2019,2
3585236468144.0,2490456908839.0,315076914.0,810850053079.0,15995428262.0,11485645341.0,384337528340.0,2188468484587.0,49176870801.0,1396767983557.0,2149587074018.0,38881410569.0,726715134424.0,50613517415.0,24269524531.0,1400431766218.0,31625000000.0,2019,3
3508511275381.0,2477142791335.0,272561917.0,874553485379.0,16771980138.0,12449065944.0,381371738458.0,2099336225880.0,244223715979.0,1409175049501.0,2064178194166.0,35158031714.0,779219571263.0,52820971699.0,22223035840.0,1306795685035.0,27687500000.0,2019,4
3564574267544.0,2448789348150.0,230046916.0,688661506938.0,15385959383.0,11447745279.0,427629026869.0,2142888324910.0,32294713191.0,1421685942634.0,2111453672051.0,31434652859.0,599310723621.0,52113825756.0,21766638411.0,1285871013285.0,23750000000.0,2020,1
3548407163409.0,2488434331992.0,187531915.0,795858847376.0,19719293560.0,23657507664.0,424151252088.0,2136159879778.0,81572122667.0,1412247283631.0,2105761105774.0,30398774004.0,699252368807.0,54065705572.0,18571033994.0,1197087413095.0,22500000000.0,2020,2
3504546215468.0,2437629329351.0,556228847.0,770208295483.0,12411894445.0,12411894445.0,450034338351.0,2079929037392.0,60962465043.0,1424617178076.0,2050566142243.0,29362895149.0,688821730930.0,53442251536.0,17616221795.0,1160259215713.0,21250000000.0,2020,3
3261997109695.0,2490201418728.0,492713849.0,808818134864.0,-30247029813.0,-30247029813.0,376887920786.0,1864886149925.0,113497900651.0,1397110959770.0,1836559133632.0,28327016293.0,755225367602.0,51662925217.0,16299519262.0,1104179086877.0,20000000000.0,2020,4
3377497036528.0,2442072308082.0,429198848.0,682704639752.0,15063611143.0,11955204685.0,360136199163.0,1968472872073.0,76652707068.0,1409024164455.0,1941181734635.0,27291137438.0,606083418522.0,51868897418.0,16620548901.0,1286156944783.0,18750000000.0,2021,1
3304264343791.0,2407670292724.0,365683847.0,785890657157.0,25457209910.0,20754637100.0,372662496049.0,1883135475982.0,29914298965.0,1421128867809.0,1857369807942.0,25765668040.0,694028312339.0,51424457482.0,15617145129.0,1097729687303.0,17010409457.0,2021,2
3289459274567.0,2358972555132.0,327211932.0,657326453960.0,-7613866046.0,-7613866046.0,394739548595.0,1876018545531.0,72100702179.0,1413440729036.0,1851288756346.0,24729789185.0,607722694164.0,51300426386.0,14524910501.0,1129890008325.0,15760409457.0,2021,3
3057818160915.0,2327515301820.0,657132563.0,853896083290.0,29506089754.0,24919622340.0,382325339557.0,1619537536812.0,116454409312.0,1438280624103.0,1595843626483.0,23693910329.0,744329365901.0,51372668820.0,12008348421.0,873226933623.0,14510409457.0,2021,4
3214378667122.0,2278496439061.0,617655062.0,737932092199.0,22147119083.0,17674471038.0,305997253851.0,1758501571981.0,77197591529.0,1455877095141.0,1735843540510.0,22658031471.0,654141362574.0,50741663260.0,12068434096.0,988239888504.0,13260409457.0,2022,1
3253879768893.0,2244244919787.0,578177561.0,795591792542.0,37205683395.0,29601924461.0,464541156822.0,1789094610285.0,40528849301.0,1464785158608.0,1767472457672.0,21622152613.0,689960175036.0,51161119157.0,12273089279.0,875008285253.0,12010409457.0,2022,2
3312779100462.0,2195407131788.0,1934485402.0,804503253464.0,10099799332.0,8021507671.0,519235280048.0,1840050434183.0,85362481627.0,1472728666279.0,1795907054799.0,44143379384.0,748406525250.0,51268795558.0,12259297375.0,884598926108.0,34317515086.0,2022,3
3312779100462.0,2195407131788.0,1934485402.0,804503253464.0,10099799332.0,8021507671.0,519235280048.0,1840050434183.0,85362481627.0,1472728666279.0,1795907054799.0,44143379384.0,748406525250.0,51268795558.0,12259297375.0,884598926108.0,34317515086.0,2022,4
