totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
1800487036591.0,4466216616.0,387140431.0,0,0,0,0,226566554651.0,0,1573920481940.0,0,0,0,0,0,0,0,2017,1
1855408448455.0,4267566965.0,347630431.0,0,0,0,0,230566443044.0,0,1624842005411.0,0,0,0,0,0,0,0,2017,2
1950151524313.0,3859972741.0,308120431.0,0,0,0,0,295332327771.0,0,1654819196542.0,0,0,0,0,0,0,0,2017,3
2102929510465.0,3675642474.0,444732654.0,0,0,0,0,405099365612.0,0,1697830144853.0,0,0,0,0,0,0,0,2017,4
5670640335310.0,10792165404.0,3022136261.0,0,0,0,0,3934616695367.0,0,1736023639943.0,0,0,0,0,0,0,0,2018,1
3854404144354.0,9834004720.0,2731687541.0,0,0,0,0,2103828804254.0,0,1750575340100.0,0,0,0,0,0,0,0,2018,2
3281995180944.0,8754397423.0,2441238821.0,0,0,0,0,1553067182157.0,0,1728927998787.0,0,0,0,0,0,0,0,2018,3
2927027713343.0,14126988253.0,2521067038.0,0,0,0,0,1235150667481.0,0,1691877045862.0,0,0,0,0,0,0,0,2018,4
2429383193249.0,14001704733.0,2305646305.0,0,0,0,0,707923248453.0,0,1721459944796.0,0,0,0,0,0,0,0,2019,1
2440971378965.0,13875514040.0,2179420016.0,0,0,0,0,685070122578.0,0,1755901256387.0,0,0,0,0,0,0,0,2019,2
2437442277702.0,14277297589.0,2016373284.0,0,0,0,0,650705473059.0,0,1786736804643.0,0,0,0,0,0,0,0,2019,3
2397701201757.0,14606828563.0,2239893451.0,0,0,0,0,591169185838.0,0,1806532015919.0,0,0,0,0,0,0,0,2019,4
2222416646632.0,13497554458.0,2131232717.0,0,0,0,0,459912753941.0,0,1762503892691.0,0,0,0,0,0,0,0,2020,1
2273133605630.0,12392435893.0,1920011984.0,0,0,0,0,423749416609.0,0,1849384189021.0,0,0,0,0,0,0,0,2020,2
2470844587333.0,11325495948.0,1816378162.0,0,0,0,0,592399948785.0,0,1878444638548.0,0,0,0,0,0,0,0,2020,3
3413323568269.0,12973845649.0,1846824088.0,0,0,0,0,1538306134066.0,0,1875017434203.0,0,0,0,0,0,0,0,2020,4
3601030929769.0,12860353040.0,2414847939.0,0,0,0,0,1658227114354.0,0,1942803815415.0,0,0,0,0,0,0,0,2021,1
4757713032685.0,12387066996.0,3874328872.0,0,0,0,0,2711571078248.0,0,2046141954437.0,0,0,0,0,0,0,0,2021,2
5297823652970.0,11240512173.0,3693408673.0,0,0,0,0,3199226722887.0,0,2098596930083.0,0,0,0,0,0,0,0,2021,3
5718730187183.0,10137019741.0,3775890864.0,0,0,0,0,3575043016168.0,0,2143687171015.0,0,0,0,0,0,0,0,2021,4
5960543016280.0,10439885845.0,3417204000.0,0,0,0,0,3763416634568.0,0,2197126381712.0,0,0,0,0,0,0,0,2022,1
4569268709280.0,9442364735.0,4181070761.0,0,0,0,0,2398108514738.0,0,2171160194542.0,0,0,0,0,0,0,0,2022,2
4388476483536.0,8402372327.0,3878089029.0,0,0,0,0,2183143319909.0,0,2205333163627.0,0,0,0,0,0,0,0,2022,3
4388476483536.0,8402372327.0,3878089029.0,0,0,0,0,2183143319909.0,0,2205333163627.0,0,0,0,0,0,0,0,2022,4
