totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
675628616509.0,34762778512.0,98591970982.0,9460986480.0,0,-7503608580.0,40839760699.0,768900327379.0,1370189101.0,-93271710870.0,767815625129.0,1084702250.0,15136033571.0,0,0,434079148504.0,0,2017,1
671421166312.0,34001469912.0,98591970982.0,4144325688.0,0,-1716743137.0,40824413808.0,766292371347.0,1238736739.0,-94871205035.0,765188105997.0,1104265350.0,4401413433.0,0,0,432871745144.0,0,2017,2
672413537415.0,33258665757.0,98591970982.0,5023454711.0,0,-652246846.0,40895279115.0,768029059839.0,870824914.0,-95615522424.0,766897794489.0,1131265350.0,4158715168.0,0,0,433003501904.0,0,2017,3
762161630083.0,32537785402.0,98591970982.0,3688527263.0,0,-1418839504.0,40615722911.0,859631182966.0,780094842.0,-97469552883.0,858499917616.0,1131265350.0,3370269854.0,0,0,432406306751.0,0,2017,4
759828475683.0,31835440693.0,98591970982.0,3322248180.0,0,-1305838526.0,40991722288.0,858623927081.0,827773810.0,-98795451398.0,857417661731.0,1206265350.0,3221204047.0,0,0,432852643531.0,0,2018,1
761356748041.0,31169073798.0,98591970982.0,5298947795.0,0,-744195657.0,41025985326.0,860739643485.0,899300017.0,-99382895444.0,859533378135.0,1206265350.0,4562797300.0,0,0,433765317091.0,0,2018,2
766301165547.0,30533535176.0,98591970982.0,4338661306.0,0,-792558278.0,41613974946.0,865898986675.0,3648292028.0,-99597821128.0,864692721325.0,1206265350.0,3695099400.0,0,0,435751724251.0,0,2018,3
815860404272.0,26579472078.0,98591970982.0,4391909101.0,0,-1676446790.0,41393906858.0,917536080317.0,770164704.0,-101675676045.0,916439814967.0,1096265350.0,3824975734.0,0,0,429256109422.0,0,2018,4
815292742970.0,25970011112.0,98591970982.0,4910235220.0,0,-785649762.0,40937193968.0,918009225213.0,934107495.0,-102716482243.0,916912959863.0,1096265350.0,3306392587.0,0,0,428680875477.0,0,2019,1
816934399252.0,25518788825.0,98591970982.0,6548224646.0,0,-949844774.0,40860113738.0,920171435286.0,934107495.0,-103237036034.0,919075169936.0,1096265350.0,6459980492.0,0,0,430200945857.0,0,2019,2
816934399252.0,25518788825.0,98591970982.0,6548224646.0,0,-949844774.0,40860113738.0,920171435286.0,934107495.0,-103237036034.0,919075169936.0,1096265350.0,6459980492.0,0,0,430200945857.0,0,2019,3
816934399252.0,25518788825.0,98591970982.0,6548224646.0,0,-949844774.0,40860113738.0,920171435286.0,934107495.0,-103237036034.0,919075169936.0,1096265350.0,6459980492.0,0,0,430200945857.0,0,2019,4
877482460245.0,24271026570.0,98591970982.0,2051134197.0,0,-1848697691.0,42970137927.0,984514183672.0,1858455367.0,-107031723427.0,983417918322.0,1096265350.0,1679850634.0,0,0,432972853277.0,0,2020,1
877482460245.0,24271026570.0,98591970982.0,2051134197.0,0,-1848697691.0,42970137927.0,984514183672.0,1858455367.0,-107031723427.0,983417918322.0,1096265350.0,1679850634.0,0,0,432972853277.0,0,2020,2
877482460245.0,24271026570.0,98591970982.0,4619814126.0,0,-2152100061.0,42970137927.0,984514183672.0,1858455367.0,-107031723427.0,983417918322.0,1096265350.0,5355635356.0,0,0,432972853277.0,0,2020,3
877482460245.0,24271026570.0,98591970982.0,4619814126.0,0,-2152100061.0,42970137927.0,984514183672.0,1858455367.0,-107031723427.0,983417918322.0,1096265350.0,5355635356.0,0,0,432972853277.0,0,2020,4
923492032558.0,22963307763.0,98591970982.0,2871210299.0,0,-1326607494.0,40364706819.0,1038349774909.0,1586532508.0,-114857742351.0,1037253509559.0,1096265350.0,2633924287.0,0,0,427811888597.0,0,2021,1
928399475328.0,22624808908.0,98591970982.0,4962660704.0,0,-552807093.0,40442841194.0,1044172822742.0,1095058037.0,-115773347414.0,1043066557392.0,1106265350.0,3786782320.0,0,0,427436081837.0,0,2021,2
925072866167.0,22113737185.0,98591970982.0,7115086623.0,0,-1513907941.0,39853893933.0,1043116373465.0,1243423096.0,-118043507298.0,1042010108115.0,1106265350.0,5411378188.0,0,0,426040228157.0,0,2021,3
968856090310.0,22142660767.0,98591970982.0,7871764110.0,0,-1414905892.0,39295101272.0,1088554953164.0,1037323911.0,-119698862854.0,1087448687814.0,1106265350.0,5301015958.0,0,0,425932854797.0,0,2021,4
21045639519.0,9296834189.0,0,5234824926.0,0,-12634776434.0,435041722.0,1194309253632.0,2523339916.0,-1173263614113.0,1193202988282.0,1106265350.0,3943610910.0,0,10923931871.0,426254974877.0,0,2022,1
19920619258.0,8895796012.0,0,5764724959.0,0,-40748665041.0,295638148.0,1266212315225.0,1409185581.0,-1246291695967.0,1265136049875.0,1076265350.0,5250420393.0,0,36304900200.0,429043696132.0,0,2022,2
18400610670.0,8512716410.0,0,4948521858.0,0,-18974091426.0,271884403.0,1283876389063.0,1012179539.0,-1265475778393.0,1282800123713.0,1076265350.0,4313368957.0,0,14635808604.0,432238053592.0,0,2022,3
18400610670.0,8512716410.0,0,4948521858.0,0,-18974091426.0,271884403.0,1283876389063.0,1012179539.0,-1265475778393.0,1282800123713.0,1076265350.0,4313368957.0,0,14635808604.0,432238053592.0,0,2022,4
