totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
103612453319.0,24850769921.0,0,68142173979.0,7694861475.0,6398477412.0,49937006851.0,28662900140.0,20718157576.0,74949553179.0,28621050140.0,41850000.0,57015633809.0,2377548226.0,81601710.0,2495678380.0,0,2017,1
103576082122.0,23336134203.0,0,72685502919.0,2515833117.0,2105424752.0,32439985707.0,43907200196.0,37268452073.0,59668881926.0,43865350196.0,41850000.0,63313395776.0,2134337210.0,29157652.0,575971899.0,0,2017,2
88328670393.0,21336268776.0,0,65895945432.0,7408545966.0,6094865656.0,12843362611.0,22564922811.0,38304267055.0,65763747582.0,22523072811.0,41850000.0,54447452315.0,2308995512.0,8922588.0,584285706.0,0,2017,3
119242833248.0,27931602971.0,0,65653060255.0,4288325976.0,-1993034886.0,73249353412.0,55472120552.0,11039159664.0,63770712696.0,55280270552.0,191850000.0,53285244503.0,2138393754.0,37175671.0,21373709927.0,0,2017,4
130638363707.0,27329511323.0,170310484.0,102052499335.0,11988468561.0,10334683545.0,90113852897.0,54457611250.0,2290810033.0,76180752457.0,54265761250.0,191850000.0,83114007126.0,2437647139.0,705185488.0,21372319273.0,0,2018,1
119610193429.0,26391402837.0,156060484.0,137713958481.0,24736467036.0,21531940449.0,32056492351.0,35924225255.0,49330893339.0,83685968174.0,35747375255.0,176850000.0,106073603928.0,2402543577.0,190990953.0,10769670.0,0,2018,2
96038227120.0,24193849893.0,141810484.0,70871849956.0,2307260838.0,1681722663.0,17278721207.0,20183197283.0,39793956441.0,75855029837.0,20006347283.0,176850000.0,62018232323.0,2645394494.0,0,0,0,2018,3
118399262472.0,23824879891.0,127560484.0,77999074109.0,1208030499.0,819059222.0,68763097340.0,41724041413.0,12459337966.0,76675221059.0,41697191413.0,26850000.0,68005243484.0,2376135729.0,48485090.0,11947116579.0,0,2018,4
181263969276.0,24001285668.0,113310484.0,109320988482.0,4697463908.0,3709948074.0,140668820348.0,100615249979.0,3455451349.0,80648719297.0,100588399979.0,26850000.0,96067962335.0,2408203250.0,439985920.0,57215001392.0,0,2019,1
167068467097.0,21792901603.0,99060484.0,90170252250.0,4798969072.0,3872873053.0,118304185547.0,104877989036.0,8272759816.0,62190478061.0,104851139036.0,26850000.0,75686401500.0,2222634065.0,1331253213.0,50653272732.0,0,2019,2
102730574834.0,20086580776.0,84810484.0,166374249507.0,16221708672.0,13919442352.0,16994737100.0,26620654421.0,50545556785.0,76109920413.0,26593804421.0,26850000.0,140601786614.0,2244162719.0,264515358.0,0,0,2019,3
128554280994.0,20314507120.0,70560484.0,107401110383.0,8133240643.0,6751451415.0,43109823807.0,66039170744.0,37350775509.0,62515110250.0,66012320744.0,26850000.0,90282686555.0,1568104423.0,0,5033336680.0,0,2019,4
145327928073.0,24922977703.0,56310484.0,87016848719.0,6760062113.0,5790566901.0,83789815987.0,77022250922.0,13873002707.0,68305677151.0,76995400922.0,26850000.0,71326558101.0,2054412710.0,187537212.0,16981916399.0,0,2020,1
121569344505.0,23123777580.0,42060484.0,97146449138.0,11427291281.0,9811433242.0,44369273262.0,43499842789.0,20906876506.0,78069501716.0,43472992789.0,26850000.0,78811970066.0,1813450123.0,35011811.0,767959397.0,0,2020,2
116246847630.0,23881820663.0,27810484.0,84145902994.0,9203626503.0,7762884954.0,11505873997.0,30366852283.0,39632790637.0,85879995347.0,30340002283.0,26850000.0,67169799822.0,1841225696.0,4523596.0,0,0,2020,3
187951195971.0,46940623463.0,13560484.0,151879909844.0,18630209527.0,16222509421.0,57115329743.0,109503253489.0,64941103573.0,78447942482.0,109476403489.0,26850000.0,124594786460.0,2520676827.0,76294182.0,38298422410.0,0,2020,4
218517071077.0,46718721537.0,0,114427354779.0,15234190441.0,13671099605.0,135927071213.0,126398028990.0,19284255393.0,92119042087.0,126371178990.0,26850000.0,88152780911.0,3011503486.0,566189047.0,61552263660.0,0,2021,1
192161847388.0,47115881518.0,0,73455461445.0,9938312180.0,8004943730.0,121629869998.0,92037861571.0,8149472410.0,100123985817.0,92011011571.0,26850000.0,57332864235.0,3037372603.0,702265493.0,49796863770.0,0,2021,2
152685948977.0,47842022151.0,0,178206079375.0,23505637640.0,19352574874.0,15167059038.0,33209388286.0,78943429566.0,119476560691.0,33182538286.0,26850000.0,150089766827.0,3222465545.0,180580118.0,0,0,2021,3
192285617989.0,45605742361.0,0,165298580147.0,21813377669.0,16906325576.0,90784938347.0,87235448209.0,42867833431.0,105050169780.0,87208598209.0,26850000.0,131740114979.0,3275954335.0,1890400.0,0,0,2021,4
