totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
548651781838.0,13827102754.0,0,13868907398.0,0,845654885.0,119402639547.0,172083499815.0,1102397457.0,376568282023.0,101480937336.0,70602562479.0,11597952304.0,0,118594263.0,82625297326.0,43165517464.0,2017,1
550053496143.0,10705586655.0,0,18271960061.0,0,1461571298.0,119750926102.0,172156790861.0,1511717855.0,377896705282.0,104931465380.0,67225325481.0,15533951815.0,0,60169850.0,82437100000.0,44333402325.0,2017,2
564272653849.0,10543837412.0,0,20245172626.0,0,804971158.0,118238751858.0,185651474525.0,6983569138.0,378621179324.0,108795368477.0,76856106048.0,18172051200.0,0,29101275.0,70001634470.0,54055109066.0,2017,3
569574196761.0,10610522711.0,0,46594815556.0,0,7342566435.0,99158679255.0,184344707646.0,8948619736.0,385229489115.0,101958847359.0,82385860287.0,35710156238.0,0,248099440.0,66778134470.0,57850217066.0,2017,4
653943000366.0,10808723250.0,0,28632756721.0,0,5158554236.0,94383133827.0,144070812439.0,7902871848.0,509872187927.0,99925141044.0,44145671395.0,21143891442.0,0,69035499.0,67619634470.0,41058102000.0,2018,1
653844131603.0,8272901420.0,2347878844.0,104064554408.0,0,8343109994.0,86161910502.0,134302589428.0,4953072981.0,519541542175.0,93614789427.0,40687800001.0,91978557459.0,0,514719958.0,60500000000.0,37642950000.0,2018,2
720815681468.0,8328466924.0,2347878844.0,87833267800.0,0,7106998941.0,76454555319.0,194723083930.0,10799953906.0,526092597538.0,159975553788.0,34747530142.0,75641728714.0,0,2042228162.0,99895716997.0,31691540000.0,2018,3
801953010910.0,8240868090.0,2347878844.0,109412163118.0,0,11326403593.0,158223351035.0,265640438350.0,10206164310.0,536312572560.0,236206765710.0,29433672640.0,85595645444.0,0,7777782162.0,159236685200.0,22200443000.0,2018,4
828379103343.0,8085043938.0,2347878844.0,77585909669.0,0,8983163842.0,174788437089.0,283911234313.0,8753912252.0,544467869030.0,251044295673.0,32866938640.0,61472963533.0,0,3902148833.0,159220278441.0,25633709000.0,2019,1
823993033799.0,8108817059.0,5347878844.0,103399599297.0,0,8765823780.0,164134859046.0,272106292695.0,11678723519.0,551886741104.0,237634288055.0,34472004640.0,88339994399.0,0,4008037357.0,159211351682.0,27238775000.0,2019,2
846289388796.0,7951196933.0,5347878844.0,155060993281.0,0,11916507503.0,180277740904.0,292760467536.0,9465311764.0,553528921260.0,258950296896.0,33810170640.0,135326259212.0,0,4127908358.0,151885552219.0,26576941000.0,2019,3
939259547751.0,9186294989.0,5347878844.0,192728944546.0,0,5257876184.0,181023292177.0,397629956974.0,10153284739.0,541629590777.0,352279562198.0,45350394776.0,178933350317.0,0,5241453795.0,178733339683.0,35258945000.0,2019,4
1055010969530.0,8968884939.0,5347878844.0,180596325417.0,0,19831296770.0,247719678340.0,495454729981.0,9088131016.0,559556239549.0,390668847844.0,104785882137.0,142396531637.0,0,4976562721.0,166602129907.0,95448812000.0,2020,1
1075607585468.0,9504994889.0,5347878844.0,208317283806.0,0,10293337560.0,246778096529.0,506553411142.0,10044396877.0,569054174326.0,391938481005.0,114614930137.0,188667985176.0,0,4693749814.0,139229675321.0,105277860000.0,2020,2
1153040222540.0,9361622794.0,5347878844.0,218650909185.0,0,9981656303.0,252109862374.0,574907371637.0,13469274860.0,578132850903.0,465497391500.0,109409980137.0,200668520042.0,0,4011573237.0,203721800925.0,100072910000.0,2020,3
1129763794936.0,9149053425.0,5347878844.0,273144003345.0,0,30110477224.0,261180655645.0,562920386211.0,13469274860.0,566843408725.0,468119168775.0,94801217436.0,213847784914.0,0,7273029833.0,201297851818.0,88353239576.0,2020,4
1208943850517.0,8972291812.0,5347878844.0,248241593328.0,0,22145288604.0,281165136037.0,622263608820.0,13593835350.0,586680241697.0,509352311384.0,112911297436.0,195114730507.0,0,6439352545.0,205958142238.0,106463319576.0,2021,1
1235957753880.0,9952945171.0,5347878844.0,302160868281.0,0,26100844083.0,288251266124.0,625740130224.0,21525630880.0,610217623656.0,508551887746.0,117188242478.0,233822343690.0,0,6695552717.0,207043843342.0,110740264618.0,2021,2
1229292156271.0,9688737204.0,5347878844.0,182271066558.0,0,7402064809.0,286198072074.0,612383975162.0,23459834219.0,616908181109.0,507474628211.0,104909346951.0,160142382787.0,0,6928336387.0,212612150228.0,98461369091.0,2021,3
1245685647383.0,9424604238.0,5347878844.0,241328503772.0,0,22358644999.0,278739164927.0,656223665669.0,13649045337.0,589461981714.0,544478723692.0,111744941977.0,201287230139.0,0,7081384687.0,210423151080.0,97472056975.0,2021,4
