totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
18302470867844.0,1793900670701.0,3290107467817.0,139987922146.0,1226193630873.0,1227333368951.0,158354285750.0,11371309792633.0,1887621079406.0,6931161075211.0,2435290278305.0,8936019514328.0,98828681649.0,127384967756.0,84247847639.0,1087849906472.0,7276216195314.0,2017,1
19503781049453.0,1850003368649.0,3517913868798.0,853709753227.0,378301357717.0,337620470766.0,708634121657.0,11827708983814.0,1416670056234.0,7676072065639.0,3142766814279.0,8684942169535.0,761734783869.0,194997773564.0,133787767964.0,1854503768303.0,7108588050944.0,2017,2
20283789526647.0,1834255685990.0,3415333298082.0,408262656676.0,-2597861840.0,-65870005368.0,833768931844.0,12648559079982.0,1319183332438.0,7635230446665.0,3215830692685.0,9432728387297.0,286370391351.0,208353729766.0,145470887808.0,1859596196830.0,7426405410843.0,2017,3
20766346604933.0,2219870416427.0,3285519664303.0,624451137560.0,87362673931.0,10630566644.0,870207903222.0,13126988342725.0,1405808955199.0,7639358262208.0,4070904191041.0,9056084151684.0,481130314048.0,277549923373.0,77078426231.0,2223191172967.0,7166203878355.0,2017,4
21407194202467.0,2194308923349.0,3236570685870.0,680483298228.0,88875211919.0,2243304959.0,943803229871.0,13721073632520.0,1478687327853.0,7686120569947.0,3794110989018.0,9926962643502.0,514685660876.0,145469982993.0,132552843935.0,2008164441308.0,8092928397776.0,2018,1
22284603778086.0,2173393718722.0,3155776014383.0,907585834871.0,114422885670.0,38318782015.0,1289649018272.0,14573817019166.0,1344190495385.0,7710786758920.0,5041866104146.0,9531950915020.0,696467388490.0,142610496960.0,178767946147.0,2680974274246.0,7666448606451.0,2018,2
22801314487938.0,2323229814647.0,3109114956433.0,622043901730.0,99143043693.0,29721603080.0,1116739492401.0,15095865433554.0,1206967556239.0,7705449054384.0,5773051940840.0,9322813492714.0,404217017541.0,146481663176.0,183349180966.0,3477615748320.0,7507141307307.0,2018,3
22180658657891.0,2293073993476.0,3055352949137.0,497566009950.0,88472995474.0,15772395196.0,928738799391.0,14480077067889.0,489532632741.0,7700581590002.0,6179853177317.0,8300223890572.0,324352170930.0,147900281463.0,176565458439.0,4006480360493.0,6537151963952.0,2018,4
23804723915977.0,2266516031380.0,3706288593332.0,572849978143.0,72472587805.0,-5510236774.0,982978141828.0,16052664560523.0,351357176806.0,7752059355454.0,6077949143221.0,9974715417302.0,403257077295.0,144110413433.0,156832597752.0,3794131135658.0,8261038755799.0,2019,1
27758806491038.0,2330245473769.0,3608744181988.0,454649139822.0,116968073729.0,49063560392.0,4324627274860.0,19036641898338.0,426796500380.0,8722164592700.0,8460812631932.0,10575829266406.0,313089422625.0,153417533293.0,200118826508.0,3464337569068.0,8935863968453.0,2019,2
28582737541275.0,2273127690365.0,3546214677063.0,444208765117.0,634260963752.0,410145602507.0,5031758614623.0,19527744124686.0,350077851786.0,9054993416589.0,9059004990915.0,10468739133771.0,306286820114.0,106461868738.0,182434868230.0,3325727654632.0,8867579843878.0,2019,3
31214731784491.0,2371042747050.0,3482793839752.0,347664563480.0,384409306799.0,266263198903.0,5738016382224.0,21964618811379.0,597807279885.0,9250112973112.0,12431755881031.0,9532862930348.0,222027066898.0,156047908657.0,183179506135.0,4607879937782.0,8790444258725.0,2019,4
31179668852472.0,2212022989257.0,3391991085518.0,472021728591.0,334063619792.0,245958828068.0,6066608838137.0,22267874338454.0,1932202532613.0,8911794514018.0,10776289410099.0,11491584928355.0,288180891239.0,153450665282.0,228400999259.0,4273564958909.0,11256113798681.0,2020,1
30643164700270.0,2191426876825.0,3331345154525.0,651882190240.0,104774226366.0,18298864413.0,6255488392623.0,22064225701183.0,736609746939.0,8578938999087.0,10888682478011.0,11175543223172.0,392988277043.0,149824051560.0,220311511896.0,4456528061474.0,10928259541943.0,2020,2
30570151409008.0,2177979423401.0,3279561444506.0,1821063500483.0,100508320850.0,30255381189.0,5403267669899.0,22080001964902.0,542431842413.0,8490149444106.0,9241815671644.0,12838186293258.0,1484088814467.0,155488316386.0,255078504213.0,3550935690983.0,12564870602176.0,2020,3
29623832811818.0,2148063464819.0,3203388304400.0,2430384472159.0,129522190717.0,8122840010.0,4778732837263.0,21714913282369.0,439000985694.0,7908919529449.0,8087278204529.0,13627635077840.0,2066603927602.0,163870796159.0,161834247116.0,3233794815468.0,13352267120196.0,2020,4
29955083657506.0,2160102842292.0,3159797097626.0,963548414007.0,98150112305.0,4411053865.0,5305954467477.0,22201338221782.0,426464153446.0,7753745435724.0,9287950233046.0,12913387988736.0,649414382656.0,157800769217.0,261881812774.0,4365025624675.0,12717071647657.0,2021,1
30241581537913.0,2139436676243.0,6302717075767.0,1001073463444.0,135563045068.0,27342123692.0,5412981964944.0,22450694618676.0,396301388526.0,7790886919237.0,9177899570457.0,13272795048219.0,641502973865.0,205582668882.0,294690232038.0,4426780936467.0,13073904779712.0,2021,2
30549559522857.0,2121598495229.0,7427475664054.0,258740072901.0,65648686781.0,2323998080.0,5656512290760.0,22757386723790.0,217309687352.0,7792172799067.0,9512752274971.0,13244634448819.0,189240683953.0,121196942007.0,273155031843.0,4620970579487.0,13039995143759.0,2021,3
