totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
580039081126.0,58017675594.0,35822727744.0,1008764222810.0,9172145886.0,7327016530.0,312866674287.0,400285800326.0,43230787984.0,179753280800.0,399970800326.0,315000000.0,977708671825.0,1789426032.0,3456990464.0,242442493128.0,0,2017,1
567541004688.0,56727864772.0,35801854026.0,1048921500227.0,8182228733.0,5081942768.0,294381117851.0,390568211824.0,42538626764.0,176972792864.0,390253211824.0,315000000.0,1013005498236.0,1771879855.0,3148628343.0,232950418768.0,0,2017,2
611238767790.0,61238064226.0,35780980309.0,1051230922460.0,5936661660.0,4163196403.0,325888910515.0,429941078164.0,60705962877.0,181297689626.0,429626078164.0,315000000.0,1016892625736.0,1791767080.0,2575161087.0,231832134244.0,0,2017,3
669814660848.0,59795677505.0,35760106592.0,1177085829225.0,7292430043.0,5536997466.0,340418147132.0,495827389487.0,77138158424.0,173987271361.0,495422389487.0,405000000.0,1147492935147.0,1832908288.0,3317578475.0,229198538737.0,0,2017,4
616963214008.0,61265266707.0,35739232875.0,1163045629985.0,8100413088.0,5916172212.0,335545707036.0,436593519149.0,50830189129.0,180369694859.0,436188519149.0,405000000.0,1128751965672.0,1885601939.0,3100252315.0,224772215738.0,0,2018,1
605142910930.0,59643334577.0,35718359159.0,1145781086913.0,8544226886.0,4921662552.0,316624663284.0,422285532256.0,53883004764.0,182857378674.0,422285532256.0,0,1094164925545.0,1811336532.0,3535008355.0,223025844409.0,0,2018,2
672433048119.0,64504350751.0,35697485442.0,1085902028308.0,6720333908.0,4870333710.0,379465979116.0,484939709263.0,60845932987.0,187493338856.0,484939709263.0,0,1040090517551.0,1774624313.0,3421019348.0,236866667630.0,0,2018,3
711229212299.0,65501494490.0,35676611725.0,1261991251844.0,7518276377.0,4872583152.0,339549431178.0,531361150657.0,99912416748.0,179868061642.0,531361150657.0,0,1209435805172.0,1909627251.0,4102518588.0,272292872817.0,0,2018,4
357816118691.0,228580668748.0,3083639522.0,1142321900821.0,7518276377.0,2399935051.0,13212270452.0,187675489338.0,99912416748.0,170140629353.0,163609098980.0,24066390358.0,1105378044979.0,1909627251.0,3350915021.0,0,24066390358.0,2019,1
659985737887.0,63587314724.0,35634864291.0,1150996607973.0,7518276377.0,5435997603.0,352465309747.0,473939793382.0,99912416748.0,186045944505.0,473489793382.0,450000000.0,1101472554684.0,1909627251.0,3696067306.0,239469219672.0,0,2019,2
