totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
271840689390.0,157502516792.0,1761015746.0,35551820548.0,0,984600115.0,28235956290.0,183430924587.0,3673807005.0,88409764803.0,129874677951.0,53556246636.0,27628913725.0,0,2726791102.0,88593881151.0,51206246636.0,2017,1
270112030619.0,156767925175.0,1731379034.0,33865849509.0,0,-98072896.0,32737721894.0,177400375712.0,1311600693.0,92711654907.0,142632068697.0,34768307015.0,27024389465.0,0,2271901760.0,105003694887.0,32968307015.0,2017,2
263992480220.0,155145914032.0,1701742322.0,34036421412.0,0,737612554.0,26936085186.0,170543212759.0,1677367275.0,93449267461.0,114967316123.0,55575896636.0,27481624676.0,0,2237122492.0,70997739516.0,53775896636.0,2017,3
241647193543.0,153315680995.0,1672105610.0,26420551200.0,0,-836926242.0,20673055497.0,149034852324.0,1192844347.0,92612341219.0,103008484023.0,46026368301.0,18894591819.0,0,2880489035.0,72804482508.0,44226368301.0,2017,4
242403577529.0,151389291108.0,1642468898.0,22612503271.0,0,69931966.0,20720501888.0,150082946578.0,811679567.0,92320630951.0,118281516563.0,31801430015.0,17048492873.0,0,2030004510.0,88218302042.0,30001430015.0,2018,1
239204496022.0,149584488606.0,1612832186.0,22736663925.0,0,73473210.0,21865908137.0,146810391861.0,707390091.0,92394104161.0,119179910529.0,27630481332.0,18620703143.0,0,1753750005.0,92629251290.0,25686481332.0,2018,2
235131586582.0,147793298649.0,1583195474.0,21941591027.0,0,57710725.0,17299938679.0,142679309696.0,3585491701.0,92452276886.0,106556581833.0,36122727863.0,17218244919.0,0,2064694556.0,82993846801.0,34178727863.0,2018,3
245278509052.0,146026301660.0,1357230762.0,18690003014.0,0,513889064.0,19439980570.0,152915351699.0,6873329459.0,92363157353.0,117721661536.0,35193690163.0,11083297141.0,0,0,89214706818.0,33263690163.0,2018,4
240199278795.0,144285244296.0,1327594050.0,23369075314.0,0,105324411.0,19816721230.0,147782425681.0,1059224220.0,92416853114.0,125229075139.0,22553350542.0,16452672614.0,0,2334801205.0,96431723102.0,20487350542.0,2019,1
237571356796.0,142547210355.0,1297957338.0,20335400600.0,0,253011369.0,18747408448.0,144901492313.0,752578378.0,92669864483.0,121453641771.0,23447850542.0,14349929876.0,0,1779230407.0,95347428610.0,21323850542.0,2019,2
234951811439.0,140810286294.0,1268320626.0,19088901951.0,0,32350792.0,14530115226.0,142249596164.0,425788204.0,92702215275.0,119430283835.0,22819312329.0,12518658982.0,0,2623539971.0,95254855213.0,20755312329.0,2019,3
243756483667.0,139074656057.0,1242698490.0,17518145908.0,0,-135226153.0,12767944776.0,151189494545.0,1302986488.0,92566989122.0,121553913283.0,29635581262.0,10310339179.0,0,3433106797.0,91397317794.0,27561581262.0,2019,4
203774116762.0,137350463738.0,1220552499.0,15434931120.0,0,119543767.0,9370297624.0,143920119717.0,632687159.0,59853997045.0,121544498455.0,22375621262.0,11500555004.0,0,1499631178.0,96836049308.0,20301621262.0,2020,1
228338663922.0,135589014347.0,1209617970.0,25775464002.0,0,76931911.0,7543419438.0,179921580028.0,671018162.0,48417083894.0,158414958766.0,21506621262.0,18826426229.0,0,3231040761.0,97705049308.0,19432621262.0,2020,2
232263928527.0,133942746126.0,1198683441.0,16115535291.0,0,84807559.0,14100977391.0,183762037074.0,310677642.0,48501891453.0,162255415812.0,21506621262.0,13225445516.0,0,1022906923.0,113123960364.0,19432621262.0,2020,3
275022840092.0,132289525127.0,1187748912.0,16115535291.0,0,84807559.0,9230231294.0,155320180809.0,310677642.0,119702659283.0,121438045098.0,33882135711.0,13225445516.0,0,1022906923.0,80710876693.0,29331226620.0,2020,4
318551342255.0,130589854299.0,1176814383.0,13359349279.0,0,275855122.0,28853519146.0,198845683486.0,300783215.0,119705658769.0,176602693133.0,22242990353.0,11346469084.0,0,9950931247.0,105283756314.0,17692081262.0,2021,1
292194878693.0,165899445977.0,1165879854.0,96303238339.0,0,13096934343.0,22353057975.0,159392285581.0,1194734899.0,132802593112.0,137183704319.0,22208581262.0,85755152491.0,0,4468098115.0,100664959603.0,22208581262.0,2021,2
308648630011.0,163994752530.0,1154945325.0,9648847766.0,0,522636648.0,29007508602.0,175323400251.0,1144260193.0,133325229760.0,152214410431.0,23108989820.0,8496660183.0,0,2566495566.0,99623089752.0,23108989820.0,2021,3
313375420179.0,162174034264.0,1129753752.0,34770069379.0,0,-61861219.0,28540521620.0,180112051638.0,142364896.0,133263368541.0,161014061818.0,19097989820.0,31481158511.0,0,2562934977.0,98915089752.0,19097989820.0,2021,4
315239745610.0,160329523704.0,1122600885.0,21020715721.0,0,315918283.0,35320696248.0,181660458786.0,722800987.0,133579286824.0,162562468966.0,19097989820.0,17568098017.0,0,2464980363.0,98915089752.0,19097989820.0,2022,1
282502987870.0,158509192175.0,1115448018.0,6239423406.0,0,-19331940337.0,34248208616.0,168255641383.0,209258333.0,114247346487.0,149157651563.0,19097989820.0,7357862991.0,0,2992514956.0,99370089752.0,19097989820.0,2022,2
293879358029.0,156672587990.0,1108295151.0,6720894581.0,0,-364042949.0,42009725854.0,179996054174.0,140537798.0,113883303855.0,160898064354.0,19097989820.0,4714828146.0,0,1080265237.0,108832589752.0,19097989820.0,2022,3
293879358029.0,156672587990.0,1108295151.0,6720894581.0,0,-364042949.0,42009725854.0,179996054174.0,140537798.0,113883303855.0,160898064354.0,19097989820.0,4714828146.0,0,1080265237.0,108832589752.0,19097989820.0,2022,4
