totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
220294219842.0,1745893102.0,0,42597285799.0,236834989.0,189467991.0,86037184446.0,123070174703.0,65820674995.0,97224045139.0,83195505986.0,39874668717.0,41433344492.0,159619281.0,0,0,0,2017,1
223984896742.0,1814153657.0,0,12448166625.0,520185620.0,416148496.0,111094945028.0,132577367685.0,47608107315.0,91407529057.0,78473744932.0,54103622753.0,11806124237.0,157517681.0,0,0,0,2017,2
264300093857.0,1891390959.0,0,7898969449.0,283508541.0,230143802.0,144443377568.0,172760692568.0,42252030739.0,91539401289.0,151438232837.0,21322459731.0,7281634110.0,163040934.0,0,0,0,2017,3
351201600222.0,1824580641.0,0,33342373227.0,1283921987.0,1025595797.0,217490410405.0,262130175006.0,33930640294.0,89071425216.0,229876577828.0,32253597178.0,32563514842.0,169588554.0,4211403.0,0,31239112447.0,2017,4
391377525847.0,1759407228.0,0,15516503150.0,80287252.0,64229802.0,193300224674.0,302251505299.0,41026816405.0,89126020548.0,275702311358.0,26549193941.0,14759150102.0,-401204521.0,180451780.0,3400000000.0,26025089210.0,2018,1
453624423400.0,1694233815.0,0,23193464406.0,186270857.0,133734746.0,303669876783.0,364622020608.0,45145069831.0,89002402792.0,326325320641.0,38296699967.0,22391976322.0,597156085.0,7314172.0,10014783473.0,38272595236.0,2018,2
540471705517.0,1629060402.0,0,7962533888.0,112772791.0,81068233.0,376469959654.0,451400394727.0,43704047801.0,89071310790.0,393597657644.0,57802737083.0,7374830656.0,97975782.0,0,20511430065.0,57802737083.0,2018,3
548968209518.0,1563886989.0,0,149459286022.0,17193121301.0,13722201040.0,345140297771.0,454952600554.0,86495927884.0,94015608964.0,318269738317.0,136682862237.0,120977521336.0,97975782.0,292286850.0,29953728129.0,69403334797.0,2018,4
597851770707.0,1498713576.0,0,16915229436.0,856545703.0,685236563.0,372348531659.0,503150925180.0,104040195643.0,94700845527.0,323863567408.0,179287357772.0,15176836972.0,97975782.0,273601097.0,49274968668.0,41544437297.0,2019,1
460423532665.0,6056898343.0,0,200118395312.0,16387836966.0,13553868379.0,191467168631.0,355004684500.0,92340320405.0,105418848165.0,137445931167.0,217558753333.0,169909256614.0,1041953081.0,5729254.0,2400000000.0,16607716465.0,2019,2
