totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
80815263835.0,8412974446.0,1227782782.0,21136025611.0,0,51651372.0,34162226994.0,49882056511.0,9666536492.0,30933207324.0,49882056511.0,0,19524529772.0,0,410368054.0,14795458160.0,0,2017,1
100301600244.0,8078480545.0,1227782782.0,9321439766.0,0,36349512.0,61085719762.0,71830491543.0,1676660736.0,28471108701.0,68332441543.0,3498050000.0,7414140178.0,0,472833883.0,27900413028.0,3498050000.0,2017,2
109913825932.0,7756127644.0,1227782782.0,19831325434.0,0,404789758.0,72905906324.0,81037927473.0,2927140449.0,28875898459.0,81037927473.0,0,17263553109.0,0,737899768.0,42236769659.0,0,2017,3
98179137361.0,7433774743.0,1227782782.0,48022110088.0,0,2662608194.0,45638325399.0,66640630708.0,1658795075.0,31538506653.0,66640630708.0,0,42937397194.0,0,756497662.0,42273552415.0,0,2017,4
78157581039.0,7182859332.0,1227782782.0,22676076989.0,0,51392209.0,36956508981.0,46638600894.0,743651596.0,31518980145.0,46638600894.0,0,20790427930.0,0,561854513.0,25391316087.0,0,2018,1
79382190458.0,6853362431.0,1227782782.0,12026615017.0,0,69719050.0,23622141684.0,48204771072.0,4735249661.0,31177419386.0,46511721072.0,1693050000.0,11623487002.0,0,30886118.0,16546565183.0,1693050000.0,2018,2
71897470824.0,6662076096.0,1227782782.0,23629701659.0,0,304014900.0,14034884841.0,42432036538.0,7892638495.0,29465434286.0,42432036538.0,0,21019907805.0,0,217394923.0,25068888828.0,0,2018,3
55125285026.0,6596623667.0,1227782782.0,4000849834.0,0,-10433139073.0,14022008049.0,36092989813.0,363140267.0,19032295213.0,36092989813.0,0,11905056358.0,0,403049393.0,22083496486.0,0,2018,4
65397128975.0,9804159653.0,1227782782.0,17590216362.0,0,135990597.0,14895452052.0,46964558253.0,7566990999.0,18432570722.0,46964558253.0,0,15362351133.0,0,465419853.0,32868479434.0,0,2019,1
111599336597.0,9569700320.0,1227782782.0,5253950455.0,0,-36483038.0,46482029409.0,93203248913.0,15570868403.0,18396087684.0,92277638913.0,925610000.0,3984393324.0,0,612401298.0,34023951104.0,925610000.0,2019,2
144255132676.0,11634188153.0,1227782782.0,68749457574.0,0,2548872834.0,68720795385.0,123373082158.0,3954485768.0,20882050518.0,121558482158.0,1814600000.0,62283455384.0,0,1012210202.0,57796704766.0,1814600000.0,2019,3
158273654600.0,11161854153.0,1227782782.0,98843522088.0,0,4559153770.0,43773552156.0,132832450312.0,14428297682.0,25441204288.0,131253860312.0,1578590000.0,91354949720.0,0,1175336400.0,59623572208.0,1578590000.0,2019,4
119093596158.0,11434942631.0,1227782782.0,26244715872.0,0,589131640.0,52708920677.0,93194690724.0,1528644788.0,25898905434.0,91353980724.0,1840710000.0,23036799297.0,0,1020249549.0,65611821892.0,1840710000.0,2020,1
198913664409.0,11064465332.0,1388932782.0,32677899263.0,0,834131794.0,91166232869.0,172180627181.0,7337275884.0,26733037228.0,163324512181.0,8856115000.0,29150625855.0,0,1232977735.0,99273674899.0,1556115000.0,2020,2
212579509858.0,14724596814.0,7896691875.0,118529098206.0,0,7205404667.0,94976619523.0,178641067962.0,2522216830.0,33938441896.0,167512257962.0,11128810000.0,105849461520.0,0,2034076587.0,95354056294.0,1403810000.0,2020,3
212871335462.0,15351650639.0,7882041876.0,105818503840.0,0,1364633883.0,81049016041.0,177568259683.0,1159805961.0,35303075779.0,166754484683.0,10813775000.0,96086632584.0,0,0,108539566356.0,1063775000.0,2020,4
155858258356.0,15993785629.0,7867391877.0,112353771758.0,0,3720645582.0,39947632096.0,116554373789.0,691691830.0,39303884567.0,105911273789.0,10643100000.0,102763380510.0,0,1635854365.0,66470730934.0,868100000.0,2021,1
195679289887.0,18156580915.0,7852741878.0,58512749260.0,0,914013079.0,42256572309.0,157119758539.0,3782538976.0,38559531348.0,146647333539.0,10472425000.0,52754684482.0,0,1689192706.0,106265240271.0,672425000.0,2021,2
232670969275.0,17398245836.0,7838091879.0,53315717601.0,0,1136306551.0,62320129929.0,184432161020.0,7603306818.0,48238808255.0,183814061020.0,618100000.0,48079149014.0,0,1789840844.0,115411806707.0,618100000.0,2021,3
260473712019.0,16811204430.0,7823441880.0,98377711225.0,0,1225148808.0,53113239536.0,186009754956.0,4758318205.0,74463957063.0,186009754956.0,0,90376310984.0,0,2042072755.0,144718466071.0,0,2021,4
310713904178.0,16051031715.0,7808791881.0,58316980776.0,0,803054643.0,70920622080.0,232664702717.0,1688411198.0,78049201461.0,232258627717.0,406075000.0,52420721188.0,0,0,190142325957.0,406075000.0,2022,1
374037792709.0,15242111819.0,28195641882.0,85909562920.0,0,1873542826.0,81635709082.0,295146489542.0,11028499568.0,78891303167.0,282778839542.0,12367650000.0,75609127261.0,0,5891476118.0,194766134662.0,12367650000.0,2022,2
409605099745.0,15644175029.0,28180991883.0,87924930800.0,0,1069844073.0,67240399618.0,329643952505.0,9326751338.0,79961147240.0,329643952505.0,0,76841501342.0,0,0,228729048815.0,0,2022,3
409605099745.0,15644175029.0,28180991883.0,87924930800.0,0,1069844073.0,67240399618.0,329643952505.0,9326751338.0,79961147240.0,329643952505.0,0,76841501342.0,0,0,228729048815.0,0,2022,4
