totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
875341507162.0,628132473378.0,0,58225909951.0,0,-24508701466.0,9384721180.0,1443813360137.0,1599258705.0,-568471852975.0,86981067086.0,1356832293051.0,67440353523.0,0,9456773057.0,43524603990.0,704562609859.0,2017,1
860038118705.0,607570142778.0,0,61704674642.0,0,-20067133267.0,10154116562.0,1448777104947.0,7612270073.0,-588738986242.0,83107682547.0,1365669422400.0,67687763218.0,0,9965025709.0,37932509990.0,703806120165.0,2017,2
840297593389.0,586850989291.0,0,64125415473.0,0,-19247860605.0,7992111261.0,1448487440236.0,14388091579.0,-608189846847.0,98567352939.0,1349920087297.0,69979405037.0,0,9851506490.0,28109670000.0,679131914755.0,2017,3
748806753599.0,504403030432.0,0,57219590329.0,0,-24564677127.0,7658401475.0,1381764277573.0,7489365997.0,-632957523974.0,61692021666.0,1320072255907.0,62272089808.0,0,12082783379.0,22710180000.0,650666363302.0,2017,4
730405190415.0,486520270716.0,0,53770647887.0,-17831910767.0,-17963300608.0,7227499037.0,1380635283773.0,12171620604.0,-650230093358.0,54859652635.0,1325775631138.0,58766247569.0,17919123352.0,8807462889.0,16086530000.0,647586363302.0,2018,1
708243239975.0,469529926478.0,0,52513190709.0,-18055866052.0,-18125366279.0,7016846756.0,1376700737222.0,8101730913.0,-668457497247.0,69333029740.0,1307367707482.0,52214090892.0,16990344238.0,8471161440.0,39526700000.0,622635781167.0,2018,2
695431575903.0,452702163748.0,0,52365247503.0,-19238552054.0,-19046028417.0,7460392664.0,1382936135477.0,18507540213.0,-687504559574.0,59439277303.0,1323496858174.0,49781340306.0,16827762730.0,8860723623.0,33617640430.0,630832458380.0,2018,3
686057942553.0,438096682340.0,0,63888528448.0,-8175905279.0,-8979563016.0,5817650817.0,1382376467732.0,15167963189.0,-696318525179.0,68980013714.0,1313396454018.0,60240157961.0,14605481408.0,9162781848.0,46861954873.0,610454407417.0,2018,4
681903552969.0,425182440943.0,0,51390113942.0,-10305553352.0,-10465366506.0,5231753816.0,1388658769780.0,16895111696.0,-706755216811.0,69397206254.0,1319261563526.0,48024691223.0,13477731711.0,9008581267.0,42455704873.0,610454407417.0,2019,1
677385132789.0,411209394210.0,0,52037035224.0,-11335004164.0,-11495428401.0,4122285408.0,1395588729448.0,16250997891.0,-718203596659.0,61632860498.0,1333955868950.0,47892900555.0,14580261874.0,8620737082.0,38393900141.0,612576902724.0,2019,2
670648434482.0,397137725325.0,0,51336075949.0,-7082554774.0,-7263221072.0,7647434624.0,1396097887402.0,19465034484.0,-725449452920.0,56628303515.0,1339469583887.0,47206689503.0,10401669483.0,8618460046.0,29865398984.0,610959763442.0,2019,3
667845759625.0,382886895281.0,0,51294805924.0,-12266550182.0,-12373367622.0,6923257629.0,1405746630914.0,15534454882.0,-737900871289.0,81126771281.0,1324619859633.0,50151162645.0,14228063123.0,8516552596.0,44628180000.0,590084262208.0,2019,4
659121185556.0,368846673537.0,0,45883818127.0,-30706868485.0,-30867204269.0,13108390494.0,1427866328340.0,10645489783.0,-768745142784.0,86321295245.0,1341545033095.0,55513259851.0,14040221744.0,8431891803.0,42788338436.0,598560424564.0,2020,1
638565617710.0,354809212757.0,0,52794557607.0,-7102821764.0,-7261108081.0,7718215119.0,1414551764326.0,5437847693.0,-775986146616.0,69088546442.0,1345463217884.0,55987223223.0,14037460780.0,8318850416.0,40778559830.0,591464102592.0,2020,2
626952586004.0,340648114308.0,0,53554189291.0,-16744872658.0,-16920193616.0,9554534604.0,1420111058560.0,7732755398.0,-793158472556.0,68077978557.0,1352033080003.0,58967957403.0,14161098449.0,8346050088.0,35499314946.0,590872742628.0,2020,3
608704695380.0,326487015859.0,0,52090778932.0,-17657857395.0,-17812495370.0,6100208630.0,1419662156451.0,7129577815.0,-810957461071.0,82403495843.0,1337258660608.0,57659707600.0,14161098449.0,8231993025.0,50946642659.0,566648482972.0,2020,4
582563332773.0,311472278016.0,0,54125868651.0,-10436195121.0,-10596066419.0,9616943832.0,1407344194354.0,11650674940.0,-824780861581.0,65397630692.0,1341946563662.0,54357808284.0,14161098449.0,7933754739.0,47467645333.0,565279939854.0,2021,1
592222067961.0,298166077274.0,0,73320826691.0,-2602755722.0,-2811539990.0,8581850330.0,1417180419739.0,18104500297.0,-824958351778.0,66985932989.0,1350194486750.0,64215237555.0,14159840136.0,7900469926.0,39888670677.0,564318339580.0,2021,2
607289463082.0,284010459274.0,0,86330641115.0,19925906623.0,19736589154.0,9646501850.0,1412505963647.0,32948355707.0,-805216500565.0,60042390357.0,1352463573290.0,60087352999.0,14155618000.0,7862592620.0,32300641683.0,559318018155.0,2021,3
620333006830.0,270139565313.0,0,114220261906.0,21815440237.0,21625502398.0,13977315694.0,1403922377459.0,54808145146.0,-783589370629.0,117383256350.0,1286539121109.0,76340028921.0,13870893961.0,7616358200.0,80748371451.0,479768738484.0,2021,4
617144825466.0,255987073767.0,0,98645096728.0,25848357924.0,25660386906.0,19999184789.0,1374982692425.0,21779505609.0,-757837866959.0,85682477504.0,1289300214921.0,62038886232.0,14152491546.0,6842342486.0,55696301219.0,480865058813.0,2022,1
628182578459.0,241834612221.0,0,110290158182.0,21451298880.0,21261327246.0,10855793563.0,1364668265233.0,30276211164.0,-736485686774.0,65139319630.0,1299528945603.0,74559444372.0,14152461546.0,6602091021.0,36155942036.0,485813381197.0,2022,2
624436644509.0,227711079637.0,0,101405464821.0,15737174598.0,15545983330.0,6932372533.0,1345282473321.0,27340568581.0,-720845828812.0,45547058814.0,1299735414507.0,64510147051.0,14123532584.0,6284386100.0,22040462233.0,479285224458.0,2022,3
