totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
843644178319.0,860515024.0,774015844.0,14449062199.0,13828771503.0,13274629671.0,14824000.0,208365704261.0,1999450518.0,635278474058.0,208306704261.0,59000000.0,2804893549.0,98910762.0,4721860986.0,157384531956.0,0,2017,1
927151134580.0,804605140.0,731014966.0,3214878901.0,22539881934.0,20958777485.0,214775662272.0,277235260461.0,20742264071.0,649915874119.0,272499260461.0,4736000000.0,1883448965.0,98910762.0,3365865138.0,88489130901.0,0,2017,2
925772793784.0,44976520.0,688014088.0,2630606437.0,21652351639.0,19085762833.0,216516625918.0,256771190196.0,6361351180.0,669001603588.0,252035190196.0,4736000000.0,1292684285.0,67634374.0,2726283825.0,112262717884.0,0,2017,3
1089567629345.0,626167990.0,645013210.0,112153122179.0,22344070842.0,17918479629.0,328627772599.0,399412108775.0,34251409681.0,690155520570.0,394376108775.0,5036000000.0,57243715477.0,86713048.0,2979133155.0,148307835180.0,0,2017,4
1553495032612.0,565097386.0,602012332.0,14178110457.0,13213492681.0,12232585758.0,860332168283.0,851546677242.0,41699771281.0,701948355370.0,794980387451.0,56566289791.0,7977155699.0,389699880.0,3763080883.0,229529149393.0,51830289791.0,2018,1
1536444266524.0,504026782.0,559011454.0,-2591280916.0,3861583723.0,6914452125.0,880649159244.0,832510504187.0,56403046016.0,703933762337.0,784841350105.0,47669154082.0,-7127860480.0,103824644.0,6392469730.0,227142833076.0,47669154082.0,2018,2
1958155379516.0,442956178.0,516010576.0,5000000000.0,5916790429.0,5885976782.0,905433421460.0,1225804944730.0,80517111168.0,732350434786.0,1184640919390.0,41164025340.0,0,-181310078.0,5317176064.0,212077851960.0,41164025340.0,2018,3
2135636734684.0,381885564.0,1621459697.0,146067488265.0,45810061024.0,38879960125.0,896668888190.0,1364253774420.0,37682973123.0,771382960264.0,1329594877822.0,34658896598.0,76956662806.0,153110083.0,8932542137.0,402543991741.0,34658896598.0,2018,4
2339685540525.0,329810262.0,1505296811.0,11570977632.0,7299844277.0,7027516327.0,951139182522.0,1560092781474.0,71380101689.0,779592759051.0,1519632183007.0,40460598467.0,5961915820.0,168238188.0,5099851370.0,400431645817.0,40341798467.0,2019,1
2466655170309.0,372708294.0,1522467257.0,12499999999.0,16777496847.0,15010066636.0,1069129401829.0,1683216846259.0,60641976246.0,783438324050.0,1651698982656.0,31517863603.0,3561566583.0,190491522.0,11214135547.0,390349033115.0,31399063603.0,2019,2
2561397110034.0,312252993.0,1393804370.0,10185672969.0,5330933322.0,4073649353.0,1137329284896.0,1773897506459.0,48751792086.0,787499603575.0,1751322377720.0,22575128739.0,2541353836.0,189118188.0,3895387988.0,385484847047.0,22456328739.0,2019,3
2284632073116.0,251797692.0,1265141483.0,332156161425.0,38768131158.0,31716748837.0,913182096577.0,1471050537660.0,36941714159.0,813581535456.0,1457364143785.0,13686393875.0,285981321037.0,189118188.0,8109655042.0,159744282542.0,13513593875.0,2019,4
2374766022317.0,191342391.0,1136478596.0,49108260772.0,9358524936.0,8292090998.0,812940248617.0,1556040655889.0,15252348028.0,818725366428.0,1549394854327.0,6645801562.0,36039921466.0,189118188.0,3732080594.0,139438832564.0,4570859013.0,2020,1
2377190711370.0,130887090.0,1007815709.0,6233440412.0,13882881379.0,20316176615.0,813417319873.0,1547958559274.0,25575047575.0,829232152096.0,1545883616725.0,2074942549.0,5599550482.0,189118188.0,3561530594.0,175555590525.0,0,2020,2
2385692944054.0,70431789.0,912385324.0,5427904040.0,7795738353.0,7796672787.0,819101799607.0,1548775053606.0,17215523955.0,836917890448.0,1546700111057.0,2074942549.0,597673164.0,166335686.0,5065547398.0,194292649996.0,0,2020,3
2485933721016.0,150858062.0,782154940.0,17142460363.0,12097373127.0,11386866958.0,826821316582.0,1637647061569.0,40355517129.0,848286659447.0,1635296252763.0,2350808806.0,14403093536.0,159002111.0,9733740707.0,410279917859.0,0,2020,4
2526112778869.0,239253230.0,666924556.0,4809017137.0,6359835825.0,6362483738.0,847445558534.0,1668297551150.0,22206312598.0,857815227719.0,1551025442323.0,117272108827.0,47715048.0,157335216.0,4968676155.0,305827551237.0,114933533021.0,2021,1
2550674077221.0,212148398.0,521694172.0,4030061188.0,-1732289791.0,-1730011235.0,861276224603.0,1700707464202.0,22784182040.0,849966613019.0,1583554209510.0,117153254692.0,3244949126.0,157335216.0,18306242313.0,311604130113.0,114933512931.0,2021,2
2577657984967.0,185043566.0,406463774.0,205681818.0,1589457927.0,1575142389.0,865838112119.0,1726101914022.0,21235299271.0,851556070945.0,1608948639240.0,117153274782.0,-247802328.0,157335230.0,6543880372.0,319054147492.0,114933533021.0,2021,3
2637673051754.0,157938734.0,326644131.0,39097031842.0,9439870199.0,7766728480.0,853549271901.0,1778351926937.0,49219034810.0,859321124817.0,1774645756447.0,3706170490.0,30648053956.0,91924475.0,19831635914.0,442633121950.0,0,2021,4
3092605028980.0,130833902.0,266513667.0,10940113773.0,17278104701.0,17177806394.0,912233234658.0,2216748173218.0,31740404493.0,875856855762.0,2019317002728.0,197431170490.0,224259102.0,87235296.0,9506214970.0,653208064921.0,193725000000.0,2022,1
3813644101277.0,109315724.0,191411542.0,16106990722.0,-6295583287.0,-12257002212.0,973030056059.0,2193639783333.0,112922995434.0,1620004317944.0,2189933612843.0,3706170490.0,3566411895.0,1125294606.0,30481189572.0,834460657469.0,0,2022,2
3823250642279.0,90590891.0,140659417.0,9468664682.0,7839449787.0,4933717447.0,980645114915.0,2198271741725.0,110167417358.0,1624978900554.0,2194565571235.0,3706170490.0,2377315185.0,569499066.0,19098632278.0,814037576468.0,0,2022,3
3823250642279.0,90590891.0,140659417.0,9468664682.0,7839449787.0,4933717447.0,980645114915.0,2198271741725.0,110167417358.0,1624978900554.0,2194565571235.0,3706170490.0,2377315185.0,569499066.0,19098632278.0,814037576468.0,0,2022,4
