totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
129185506686.0,49245650151.0,73016129.0,21323297631.0,0,15423623604.0,794260246.0,3843477324.0,62280597638.0,125342029362.0,3843477324.0,0,4607158791.0,0,0,0,0,2017,1
144577495807.0,49001988576.0,66266129.0,30793785118.0,0,20082867712.0,824360246.0,10600913441.0,64090318268.0,133976582366.0,10600913441.0,0,8906055681.0,0,0,0,0,2017,2
138655285440.0,47927763863.0,59516129.0,22381153378.0,0,13708193151.0,927404791.0,10908837650.0,68754142447.0,127746447790.0,10908837650.0,0,6713477357.0,0,0,0,0,2017,3
153271614640.0,46867272909.0,52766129.0,26020341676.0,0,14602708718.0,804215939.0,12463886959.0,90354855393.0,140807727681.0,12463886959.0,0,9133091729.0,0,0,0,0,2017,4
144192984834.0,46293412760.0,46016129.0,21650136064.0,0,12645973366.0,848815939.0,5068591867.0,78057139481.0,139124392967.0,5068591867.0,0,7748610348.0,0,0,0,0,2018,1
131646020235.0,45222444062.0,39266129.0,21650136064.0,0,12645973366.0,848815939.0,9156492837.0,63618793237.0,122489527398.0,9156492837.0,0,7748610348.0,0,0,0,0,2018,2
124304934759.0,44154352193.0,32516129.0,22381153378.0,0,13708193151.0,640261870.0,9815805685.0,65681738017.0,114489129074.0,9815805685.0,0,6713477357.0,0,0,0,0,2018,3
136837912759.0,43118796277.0,25766129.0,23882148616.0,0,14129326343.0,640261870.0,9024892151.0,75368820308.0,127813020608.0,9024892151.0,0,7786917215.0,0,0,0,0,2018,4
131717829689.0,42119968933.0,19016129.0,25334131286.0,0,18774756422.0,852080052.0,5243805777.0,74213043661.0,126474023912.0,5243805777.0,0,5191470544.0,0,0,0,0,2019,1
133668360636.0,41121141613.0,12266129.0,22708465710.0,0,13420350603.0,852080052.0,8798300145.0,69268849170.0,124870060491.0,8798300145.0,0,8033475266.0,0,0,0,0,2019,2
140921427034.0,40546891147.0,5516129.0,15733144850.0,0,8549491367.0,1164383402.0,8081354831.0,86494223656.0,132840072203.0,8081354831.0,0,5775481858.0,0,0,0,0,2019,3
136117798638.0,40022194174.0,0,26185243490.0,0,14934862431.0,947150462.0,27177758501.0,65120422598.0,108940040137.0,27177758501.0,0,9320282558.0,0,0,0,0,2019,4
124513187373.0,39588786856.0,0,18807929384.0,0,12157478587.0,773752280.0,4187215730.0,51956101129.0,120325971643.0,4187215730.0,0,4898985773.0,0,0,0,0,2020,1
123203065136.0,39062665733.0,0,18604511230.0,0,10854879184.0,773752280.0,6943909477.0,43820845771.0,116259155659.0,6943909477.0,0,6141400148.0,0,0,0,0,2020,2
138869877803.0,38543329943.0,0,15733144850.0,0,8549491367.0,1009752280.0,8698399053.0,64071067882.0,130171478750.0,8698399053.0,0,5775481858.0,0,0,0,0,2020,3
147364486381.0,38023994153.0,0,34754877524.0,0,21251922044.0,1087618780.0,11278662469.0,67859440355.0,136085823912.0,11278662469.0,0,10318492894.0,0,0,0,0,2020,4
136018165952.0,37541956750.0,0,22359083029.0,0,13980359358.0,1103618780.0,5828069306.0,64725022279.0,130190096646.0,5828069306.0,0,6002372703.0,0,0,0,0,2021,1
129678912197.0,38433110274.0,31494108.0,20130342318.0,0,12135211631.0,1106118780.0,7155884635.0,6037369096.0,122523027562.0,7155884635.0,0,6231465759.0,0,0,0,0,2021,2
124303406126.0,37914123984.0,28577442.0,18033980116.0,0,9551181862.0,810026460.0,7178116226.0,10630482143.0,117125289900.0,7178116226.0,0,7206390516.0,0,0,0,0,2021,3
134590721129.0,39006054519.0,103940405.0,35111902780.0,0,20363610999.0,768678007.0,12256676921.0,11170586156.0,122334044208.0,12256676921.0,0,10966320008.0,0,0,0,0,2021,4
148879596083.0,38428560354.0,94190405.0,26186268156.0,0,16855185970.0,768273471.0,10484644030.0,4295709764.0,138394952053.0,10484644030.0,0,4896427520.0,0,0,0,0,2022,1
144160149987.0,37851066189.0,85530474.0,29388695178.0,0,16964037658.0,1003621385.0,11474114540.0,16493185788.0,132686035447.0,11474114540.0,0,7786239006.0,0,0,0,0,2022,2
141215552083.0,39113628957.0,75780474.0,25891139687.0,0,12801983840.0,848779087.0,11188601546.0,1035733127.0,130026950537.0,11188601546.0,0,9085941658.0,0,0,0,0,2022,3
141215552083.0,39113628957.0,75780474.0,25891139687.0,0,12801983840.0,848779087.0,11188601546.0,1035733127.0,130026950537.0,11188601546.0,0,9085941658.0,0,0,0,0,2022,4
