totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
380141020374.0,21598484943.0,177817500000.0,7389854513.0,0,130845667.0,19055388762.0,54319628496.0,5474907148.0,325821391878.0,51141806946.0,3177821550.0,6518615868.0,0,0,15742991709.0,3177821550.0,2017,1
382967878223.0,19062132849.0,177817500000.0,28456039952.0,0,895819410.0,21282956285.0,57398919073.0,5312905975.0,325568959150.0,47000451895.0,10398467178.0,26679031909.0,0,695519071.0,7665724531.0,10398467178.0,2017,2
381395903730.0,18874053195.0,177817500000.0,12469598272.0,0,102802111.0,21105224831.0,55724138636.0,2277400812.0,325671765094.0,38920653389.0,16803485247.0,11768810701.0,0,114164370.0,884506462.0,16803485247.0,2017,3
389035773569.0,18525953429.0,177817500000.0,15181936761.0,0,9632526.0,17367046590.0,63354371570.0,12218539221.0,325681401999.0,48599548661.0,14754822909.0,13938684919.0,0,248368741.0,13683706462.0,14754822909.0,2017,4
515394825831.0,11664324001.0,177817500000.0,105659194522.0,0,19382195115.0,17346259219.0,150683226353.0,6256777908.0,364711599478.0,148348226353.0,2335000000.0,93073330080.0,0,318831277.0,18538104317.0,2335000000.0,2018,1
435286409418.0,10560874434.0,177817500000.0,90546662870.0,0,-1536343171.0,15225008245.0,72528711287.0,2483798957.0,362757698131.0,70793111287.0,1735600000.0,84930420445.0,0,285359051.0,10087704317.0,1735600000.0,2018,2
442290901707.0,10003261088.0,177817500000.0,9837483457.0,0,-17607110.0,15018696016.0,79327992128.0,2425310835.0,362962909579.0,77392592128.0,1935400000.0,9674859654.0,0,0,9688104317.0,1935400000.0,2018,3
407550726402.0,9528884471.0,177817500000.0,7351772704.0,0,-6343841773.0,12806984179.0,50189298193.0,8190857941.0,357361428209.0,48453698193.0,1735600000.0,6978900488.0,0,0,6538104317.0,1735600000.0,2018,4
345118664307.0,8229261165.0,177817500000.0,25333334.0,0,-122349849.0,10376135476.0,26238325656.0,15752804032.0,318880338651.0,17902525656.0,8335800000.0,16671904.0,0,0,6474206462.0,8335800000.0,2019,1
382522911602.0,7416494568.0,177817500000.0,20381011421.0,0,-4923449024.0,11272008182.0,35243712818.0,25957531525.0,347279198784.0,34307312818.0,936400000.0,20786595880.0,0,339012839.0,18643355252.0,936400000.0,2019,2
396752561469.0,6228064462.0,195236500000.0,18458578125.0,0,28860819.0,9054560068.0,35074084802.0,9577583142.0,361678476667.0,22586489561.0,12487595241.0,17446014302.0,0,0,6454206462.0,12487595241.0,2019,3
332654824434.0,3717530574.0,0,11148418385.0,0,4729008027.0,1303577145.0,17023515642.0,7603707173.0,315631308792.0,17023515642.0,0,5448849689.0,0,0,5254206462.0,0,2019,4
329437577682.0,4058959365.0,0,626352000.0,0,1165442312.0,1514754675.0,15924473367.0,11941355749.0,313513104315.0,15545473367.0,379000000.0,592144154.0,0,0,5054206462.0,379000000.0,2020,1
335128065363.0,4032226512.0,0,6755663133.0,0,1981179135.0,4589545743.0,17942496463.0,11941355749.0,317185568900.0,15721536463.0,2220960000.0,6434269556.0,0,0,4804206462.0,2220960000.0,2020,2
338827443204.0,4029109848.0,0,12624178317.0,9648315.0,9948381.0,9478702490.0,21632225989.0,4233691940.0,317195217215.0,21211265989.0,420960000.0,12095919612.0,3116664.0,0,4504206462.0,420960000.0,2020,3
335804070453.0,3954569799.0,5880450000.0,12723157454.0,2260407704.0,2260595693.0,1479991427.0,16348445534.0,2671301595.0,319455624919.0,15927485534.0,420960000.0,10872677596.0,74540049.0,0,4204206462.0,420960000.0,2020,4
337185519038.0,3607143660.0,5880450000.0,1981837658.0,2343187809.0,2327423492.0,3446028586.0,16771327582.0,4556770984.0,320414191456.0,16771327582.0,0,1776640170.0,36919316.0,-78639159.0,3950829997.0,0,2021,1
340349056128.0,3556625199.0,5880450000.0,13880879185.0,1670609768.0,1686337809.0,5987788049.0,18590740544.0,2015184854.0,321758315584.0,18590740544.0,0,13081191870.0,20719407.0,316376708.0,1957629997.0,0,2021,2
343528981407.0,3555586293.0,0,3062541429.0,537802560.0,538454841.0,19815297451.0,21236055781.0,3211824054.0,322292925626.0,21236055781.0,0,2880733541.0,-20281891574.0,0,46623535.0,0,2021,3
358466784339.0,3508184496.0,0,19590570601.0,31886961657.0,25742740037.0,897009953.0,10430242642.0,2941400122.0,348036541697.0,10430242642.0,0,19380366331.0,47401797.0,0,46623535.0,0,2021,4
407346758181.0,3484709464.0,0,238946882.0,13978727115.0,11180756705.0,2498329300.0,35719550084.0,4230864820.0,371627208097.0,32447144212.0,3272405872.0,214473896.0,23700898.0,0,46623535.0,0,2022,1
403404539001.0,3461008566.0,0,7610556004.0,14981635407.0,11949815728.0,10846040757.0,19827602338.0,620828020.0,383576936663.0,14719122338.0,5108480000.0,7011050687.0,23700898.0,14786301.0,0,0,2022,2
440417137430.0,3437307668.0,0,3857282896.0,11651157841.0,7540251094.0,36453655739.0,49378991785.0,281719803.0,391038145645.0,49378991785.0,0,3353409620.0,23700898.0,0,175000000.0,0,2022,3
440417137430.0,3437307668.0,0,3857282896.0,11651157841.0,7540251094.0,36453655739.0,49378991785.0,281719803.0,391038145645.0,49378991785.0,0,3353409620.0,23700898.0,0,175000000.0,0,2022,4
