totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
165519975655.0,60800654992.0,19707476525.0,28022441128.0,0,878944957.0,30454675599.0,42474253327.0,10022540299.0,123045722328.0,40751056679.0,1723196648.0,23929203632.0,0,352985948.0,27534665905.0,1216276648.0,2017,1
159731746140.0,59843453176.0,19542450696.0,31862625764.0,0,802275250.0,29804637986.0,42404079997.0,8182414746.0,117327666143.0,41451933665.0,952146332.0,27185659846.0,0,493492835.0,29071606994.0,445226332.0,2017,2
156470840266.0,58842948488.0,19377424865.0,28561579985.0,0,1323579377.0,27530786013.0,37819594746.0,6982044080.0,118651245520.0,36867448414.0,952146332.0,24182229554.0,0,429507503.0,23776371107.0,445226332.0,2017,3
158417377394.0,60703530867.0,19212399036.0,33905207986.0,0,1260486772.0,26353991987.0,38505645102.0,7912221892.0,119911732292.0,37553498770.0,952146332.0,28767671556.0,0,406554403.0,22878909790.0,445226332.0,2017,4
165058815089.0,61067164420.0,19049201294.0,32800280788.0,0,1120648204.0,33195161398.0,44092426796.0,7972946262.0,120966388293.0,42447446796.0,1644980000.0,28272633915.0,0,449250133.0,30174899748.0,1138060000.0,2018,1
172221676870.0,61812256136.0,18886003551.0,34601298001.0,0,1957159722.0,37283627608.0,53963038855.0,11026509840.0,118258638015.0,52594058855.0,1368980000.0,29247612384.0,0,598457568.0,33979008997.0,862060000.0,2018,2
173193796361.0,60514179391.0,18722805809.0,35124559426.0,0,1019233483.0,41633728192.0,53915924863.0,12715316181.0,119277871498.0,52546944863.0,1368980000.0,30584368909.0,0,544657605.0,38044672602.0,862060000.0,2018,3
177778020063.0,59061709059.0,18560010479.0,40965367405.0,0,1150093284.0,46273043280.0,57350055281.0,11827042658.0,120427964782.0,56533075281.0,816980000.0,36085465944.0,0,672731584.0,42657806081.0,310060000.0,2018,4
164826921557.0,58637018199.0,19823588047.0,35406863389.0,0,1304063668.0,37807865091.0,43282631984.0,13714207798.0,121544289573.0,42189651984.0,1092980000.0,30510273186.0,0,601774458.0,29688298800.0,586060000.0,2019,1
162233762600.0,57175280418.0,19615334238.0,42587350672.0,0,1809862621.0,36909521838.0,39479610406.0,10582253133.0,122754152194.0,38662630406.0,816980000.0,36023454186.0,0,486177481.0,22863482400.0,310060000.0,2019,2
164037569712.0,56799689741.0,19407080428.0,41268319959.0,0,2089681389.0,34326433735.0,44084828129.0,14148683196.0,119952741583.0,43267848129.0,816980000.0,34414416740.0,0,401018865.0,27942054140.0,310060000.0,2019,3
168689440482.0,59814027096.0,19199332507.0,47675689203.0,0,2217023892.0,28966918147.0,46519675007.0,22184813628.0,122169765475.0,46012755007.0,506920000.0,39747490547.0,0,509205615.0,31965458730.0,0,2019,4
171346373514.0,58225313355.0,18991078698.0,40901338373.0,0,2415625815.0,27925289066.0,46760831619.0,32976207216.0,124585541895.0,46253911619.0,506920000.0,34161555130.0,0,488186994.0,30088719470.0,0,2020,1
164273359173.0,57850341787.0,18782824888.0,37281703455.0,0,1980893560.0,25373556969.0,37706923718.0,37835977992.0,126566435455.0,37200003718.0,506920000.0,31365779300.0,0,433515247.0,23164838920.0,0,2020,2
160687229919.0,57032446754.0,18574571079.0,35773305284.0,0,2046355580.0,28436302871.0,37780712884.0,34568651862.0,122906517035.0,37273792884.0,506920000.0,29605489394.0,0,328192732.0,20793745344.0,0,2020,3
168739861754.0,56740603658.0,18367021117.0,43444426859.0,0,2376675331.0,28656436829.0,43456669388.0,43222110105.0,125283192366.0,42949749388.0,506920000.0,36111048530.0,0,476516841.0,28276443988.0,0,2020,4
175562115351.0,55224180671.0,18157436662.0,34882572188.0,0,1733152984.0,37956431566.0,49996502408.0,40024477491.0,125565612943.0,49489582408.0,506920000.0,28760046962.0,0,445971021.0,37394800544.0,0,2021,1
165097793884.0,55396663476.0,17944599519.0,34367237116.0,0,-308402915.0,43728916627.0,45546857856.0,26722441133.0,119550936028.0,45039937856.0,506920000.0,31388087169.0,0,532926384.0,24745364100.0,0,2021,2
142000785637.0,55720628851.0,17731762375.0,42801278115.0,0,480395837.0,32395207926.0,21969453772.0,13836830679.0,120031331865.0,21462533772.0,506920000.0,39010509075.0,0,282069130.0,5666990100.0,0,2021,3
152325955385.0,56493540696.0,17514688288.0,44699572745.0,0,2027462802.0,35618946034.0,30273856580.0,18617015888.0,122052098805.0,29766936580.0,506920000.0,38558652949.0,0,190662267.0,15622015000.0,0,2021,4
157169501309.0,56986051401.0,17296700257.0,43610464861.0,0,1594774810.0,37818076632.0,34242477317.0,19044685504.0,122927023992.0,33735557317.0,506920000.0,38058919498.0,0,198039793.0,18267342450.0,0,2022,1
166514506495.0,57399886497.0,17080174534.0,56020888274.0,0,3395889416.0,36481473326.0,40191593087.0,23329576022.0,126322913408.0,39684673087.0,506920000.0,48900503996.0,0,338175680.0,24199161590.0,0,2022,2
170390492351.0,55486859517.0,16913595156.0,43479095596.0,0,1856207995.0,33777971770.0,42211370948.0,40650163922.0,128179121403.0,41704450948.0,506920000.0,37617191114.0,0,357101290.0,24264695223.0,0,2022,3
170390492351.0,55486859517.0,16913595156.0,43479095596.0,0,1856207995.0,33777971770.0,42211370948.0,40650163922.0,128179121403.0,41704450948.0,506920000.0,37617191114.0,0,357101290.0,24264695223.0,0,2022,4
