totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
132360740288.0,11917752620.0,0,70021538060.0,0,1658285860.0,3560908045.0,45777133922.0,16545858533.0,86583606366.0,44145133922.0,1632000000.0,62176076000.0,0,801768920.0,4591331713.0,0,2017,1
132360740288.0,11917752620.0,0,70021538060.0,0,1658285860.0,3560908045.0,45777133922.0,16545858533.0,86583606366.0,44145133922.0,1632000000.0,62176076000.0,0,801768920.0,4591331713.0,0,2017,2
132360740288.0,11917752620.0,0,70021538060.0,0,1658285860.0,3560908045.0,45777133922.0,16545858533.0,86583606366.0,44145133922.0,1632000000.0,62176076000.0,0,801768920.0,4591331713.0,0,2017,3
299595678591.0,14408903755.0,31248774.0,70021538060.0,0,1658285860.0,1450278158.0,161836990523.0,16545858533.0,137758688068.0,39262694101.0,122574296422.0,62176076000.0,0,801768920.0,28582159022.0,116617396330.0,2017,4
299595678591.0,14408903755.0,31248774.0,70021538060.0,0,1658285860.0,1450278158.0,161836990523.0,16545858533.0,137758688068.0,39262694101.0,122574296422.0,62176076000.0,0,801768920.0,28582159022.0,116617396330.0,2018,1
299595678591.0,14408903755.0,31248774.0,70021538060.0,0,1658285860.0,1450278158.0,161836990523.0,16545858533.0,137758688068.0,39262694101.0,122574296422.0,62176076000.0,0,801768920.0,28582159022.0,116617396330.0,2018,2
299595678591.0,14408903755.0,31248774.0,70021538060.0,0,1658285860.0,1450278158.0,161836990523.0,16545858533.0,137758688068.0,39262694101.0,122574296422.0,62176076000.0,0,801768920.0,28582159022.0,116617396330.0,2018,3
295290655262.0,14024326882.0,20544774.0,70021538060.0,0,1658285860.0,1316310068.0,155803289111.0,16545858533.0,139487366151.0,43790532781.0,112012756330.0,62176076000.0,0,801768920.0,36112007993.0,104857396330.0,2018,4
295290655262.0,14024326882.0,20544774.0,70021538060.0,0,1658285860.0,1316310068.0,155803289111.0,16545858533.0,139487366151.0,43790532781.0,112012756330.0,62176076000.0,0,801768920.0,36112007993.0,104857396330.0,2019,1
295290655262.0,14024326882.0,20544774.0,70021538060.0,0,1658285860.0,1316310068.0,155803289111.0,16545858533.0,139487366151.0,43790532781.0,112012756330.0,62176076000.0,0,801768920.0,36112007993.0,104857396330.0,2019,2
295290655262.0,14024326882.0,20544774.0,70021538060.0,0,1658285860.0,1316310068.0,155803289111.0,16545858533.0,139487366151.0,43790532781.0,112012756330.0,62176076000.0,0,801768920.0,36112007993.0,104857396330.0,2019,3
417115754762.0,13347575049.0,9840774.0,70021538060.0,0,1658285860.0,2469990041.0,243106429832.0,16545858533.0,174009324930.0,78751999752.0,164354430080.0,62176076000.0,0,801768920.0,54240014336.0,156435712080.0,2019,4
417115754762.0,13347575049.0,9840774.0,70021538060.0,0,1658285860.0,2469990041.0,243106429832.0,16545858533.0,174009324930.0,78751999752.0,164354430080.0,62176076000.0,0,801768920.0,54240014336.0,156435712080.0,2020,1
417115754762.0,13347575049.0,9840774.0,70021538060.0,0,1658285860.0,2469990041.0,243106429832.0,16545858533.0,174009324930.0,78751999752.0,164354430080.0,62176076000.0,0,801768920.0,54240014336.0,156435712080.0,2020,2
417115754762.0,13347575049.0,9840774.0,70021538060.0,0,1658285860.0,2469990041.0,243106429832.0,16545858533.0,174009324930.0,78751999752.0,164354430080.0,62176076000.0,0,801768920.0,54240014336.0,156435712080.0,2020,3
430474141204.0,53653040485.0,0,70021538060.0,0,1658285860.0,1458401506.0,234989984649.0,16545858533.0,195484156555.0,49535065121.0,185454919528.0,62176076000.0,0,801768920.0,39684150181.0,175819588100.0,2020,4
430474141204.0,53653040485.0,0,70021538060.0,0,1658285860.0,1458401506.0,234989984649.0,16545858533.0,195484156555.0,49535065121.0,185454919528.0,62176076000.0,0,801768920.0,39684150181.0,175819588100.0,2021,1
430474141204.0,53653040485.0,0,70021538060.0,0,1658285860.0,1458401506.0,234989984649.0,16545858533.0,195484156555.0,49535065121.0,185454919528.0,62176076000.0,0,801768920.0,39684150181.0,175819588100.0,2021,2
430474141204.0,53653040485.0,0,70021538060.0,0,1658285860.0,1458401506.0,234989984649.0,16545858533.0,195484156555.0,49535065121.0,185454919528.0,62176076000.0,0,801768920.0,39684150181.0,175819588100.0,2021,3
417763972033.0,48390334981.0,0,70021538060.0,0,1658285860.0,1183934821.0,218284183733.0,16545858533.0,199479788300.0,27543876633.0,190740307100.0,62176076000.0,0,801768920.0,19597681162.0,180919588100.0,2021,4
417763972033.0,48390334981.0,0,70021538060.0,0,1658285860.0,1183934821.0,218284183733.0,16545858533.0,199479788300.0,27543876633.0,190740307100.0,62176076000.0,0,801768920.0,19597681162.0,180919588100.0,2022,1
417763972033.0,48390334981.0,0,70021538060.0,0,1658285860.0,1183934821.0,218284183733.0,16545858533.0,199479788300.0,27543876633.0,190740307100.0,62176076000.0,0,801768920.0,19597681162.0,180919588100.0,2022,2
417763972033.0,48390334981.0,0,70021538060.0,0,1658285860.0,1183934821.0,218284183733.0,16545858533.0,199479788300.0,27543876633.0,190740307100.0,62176076000.0,0,801768920.0,19597681162.0,180919588100.0,2022,3
417763972033.0,48390334981.0,0,70021538060.0,0,1658285860.0,1183934821.0,218284183733.0,16545858533.0,199479788300.0,27543876633.0,190740307100.0,62176076000.0,0,801768920.0,19597681162.0,180919588100.0,2022,4
