totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
449432402534.0,6441349731.0,0,68504992301.0,2004847831.0,1622789009.0,189659124313.0,232671163384.0,8008267323.0,216761239150.0,231400069984.0,1271093400.0,54186752362.0,2063707676.0,1415071700.0,113273446927.0,0,2017,1
481371980719.0,5912248879.0,0,261956160261.0,33214410308.0,26224471669.0,170146184680.0,238386269900.0,10201442574.0,242985710819.0,236841931100.0,1544338800.0,187898168841.0,2066652676.0,1301892832.0,96547529724.0,0,2017,2
515497602854.0,5347808026.0,0,213153495899.0,12191856250.0,9889671650.0,159966978782.0,262622220385.0,27090970422.0,252875382469.0,261077881585.0,1544338800.0,162177179596.0,1194204902.0,1549013670.0,109265777798.0,0,2017,3
428016203051.0,6403631541.0,0,33416180645.0,565252472.0,-354367115.0,164424813281.0,181626340940.0,41028367616.0,246389862111.0,180032002140.0,1594338800.0,13190096243.0,466337524.0,1467590812.0,85828216851.0,0,2017,4
492334580757.0,6230767940.0,0,85621058951.0,2669941026.0,2029947433.0,197090172265.0,263574294507.0,53128906284.0,228760286250.0,262081887707.0,1492406800.0,69226086989.0,1618311376.0,1282710185.0,97006690651.0,0,2018,1
502483928130.0,5487507887.0,0,275985402193.0,33750412925.0,26234348769.0,140393225610.0,247343475807.0,22048959612.0,255140452323.0,245851069007.0,1492406800.0,193905464554.0,2875235926.0,840821305.0,68601633722.0,0,2018,2
500089180819.0,4744247834.0,0,200757827336.0,13702737828.0,10878811142.0,129982911665.0,234080231504.0,47815862278.0,266008949315.0,232527824704.0,1552406800.0,156082638957.0,2245471877.0,764783335.0,73102230475.0,1552406800.0,2018,3
446207057004.0,4000987781.0,0,36912836028.0,2758182830.0,1904940073.0,176493240286.0,183901124237.0,53846818651.0,262305932767.0,182115758437.0,1785365800.0,16654362880.0,2245471877.0,1648879579.0,76578107039.0,0,2018,4
466882725073.0,3328613562.0,0,107673979346.0,3057366137.0,2392174364.0,209918437035.0,221775241681.0,8296730607.0,245107483392.0,220036122681.0,1739119000.0,88536116276.0,2251916043.0,1557318858.0,114855675743.0,0,2019,1
507401709022.0,2578909344.0,0,343591226334.0,37383742950.0,29814736730.0,150254308119.0,232478926951.0,18063862074.0,274922782071.0,230520146453.0,1958780498.0,248630860737.0,2251916042.0,1239363228.0,47107964094.0,0,2019,2
485643849673.0,1937004767.0,0,186487571117.0,11834002104.0,9416294304.0,122229012757.0,201306424726.0,101436105171.0,284337424947.0,199347644228.0,1958780498.0,137373702714.0,2144116401.0,723944933.0,37800072680.0,1739119000.0,2019,3
467691071197.0,1735535569.0,0,7733879869.0,4733582901.0,3599132907.0,197100427964.0,184722005868.0,68289156329.0,282969065329.0,182577606893.0,2144398975.0,-3760792434.0,1967134075.0,782141360.0,69223744012.0,0,2019,4
521633342208.0,1365896154.0,0,57642816312.0,1575246166.0,1199415464.0,285940802215.0,256998300665.0,17874308156.0,264635041543.0,255068063665.0,1930237000.0,38665259800.0,1871851239.0,1355826437.0,142845970232.0,0,2020,1
569330419116.0,999201729.0,0,329023913858.0,32763106292.0,26228952628.0,199207801160.0,278454095797.0,19024277779.0,290876323319.0,276523858797.0,1930237000.0,229428089120.0,1868906249.0,1366318963.0,49026254726.0,0,2020,2
591288162912.0,632507304.0,0,258463115545.0,18717343886.0,13899939536.0,118765391783.0,285939938303.0,145188630966.0,305348224609.0,284191864903.0,1748073400.0,208296782393.0,1868906249.0,614053559.0,55739209420.0,0,2020,3
478036693948.0,312106160.0,0,21167065680.0,9788401571.0,8432188189.0,144708258408.0,170663747314.0,172614634509.0,307372946634.0,168088995309.0,2574752005.0,8278686524.0,1822612968.0,757702149.0,51451447992.0,0,2020,4
