totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
1089949476423.0,267014042706.0,10236166903.0,150461207684.0,11552516973.0,9001298367.0,411925249475.0,120956514543.0,132228798496.0,968992961880.0,74607950730.0,46348563813.0,99010159669.0,7170862512.0,712169054.0,27714064433.0,41395121799.0,2017,1
1160657469772.0,278807014499.0,9600054424.0,223252258152.0,17509102182.0,14286981691.0,437181131748.0,222486648841.0,144907664972.0,938170820931.0,181632067360.0,40854581481.0,153074246959.0,9880635111.0,967437534.0,93814028925.0,35873212230.0,2017,2
1321240765460.0,277569059721.0,8963941945.0,275593520104.0,11100991420.0,9327412286.0,426002355135.0,374264173439.0,172127662551.0,946976592021.0,180540229942.0,193723943497.0,180482237320.0,6208666121.0,2226774799.0,80148451132.0,185362557865.0,2017,3
1285239396106.0,267187001325.0,8327829462.0,344915210050.0,24295580083.0,18821789614.0,394191600280.0,368531121976.0,131586803113.0,916708274130.0,173326056372.0,195205065604.0,231761220595.0,13136854153.0,4173826021.0,55205057960.0,29951919582.0,2017,4
1355266086819.0,285357520252.0,8641332872.0,234700130113.0,25165151129.0,20396532638.0,445699866614.0,422364206694.0,111200951580.0,932901880125.0,230873340703.0,191490865991.0,153427562535.0,9182395362.0,3873198945.0,97270141392.0,175968739296.0,2018,1
1331162804865.0,281137732380.0,8103921230.0,267398378153.0,16614482834.0,12757793215.0,449819334420.0,433507789048.0,75473239516.0,897655015817.0,246088768905.0,187419020143.0,187733095579.0,12122188807.0,4436270774.0,148037863708.0,171680353901.0,2018,2
1540626850047.0,271728469545.0,8691559039.0,323368136434.0,33059441684.0,27178396215.0,439651082985.0,617783257194.0,92689695420.0,922843592853.0,249828376917.0,367954880277.0,215301332391.0,9200872636.0,4808327430.0,113737193616.0,350755364309.0,2018,3
1489822231866.0,265794612166.0,8135566325.0,355253057066.0,20870079059.0,15879672583.0,400852915731.0,581127785438.0,47271862409.0,908694446428.0,215547039936.0,365580745502.0,243182843318.0,12550282405.0,5719748242.0,69101844662.0,113516165091.0,2018,4
1450068042065.0,263226201209.0,7558655939.0,194012968381.0,4760164307.0,3427462547.0,402733582956.0,537830610180.0,49673849395.0,912237431885.0,179669053129.0,358161557051.0,132921512482.0,11510164870.0,5098347656.0,75689525946.0,108895950915.0,2019,1
1486107284739.0,251872842293.0,6967142652.0,234081881368.0,9742148358.0,6574167936.0,433733983845.0,607658476834.0,50097803876.0,878448807905.0,250058083534.0,357600393300.0,158453603110.0,11315397035.0,-428318734.0,136583829974.0,106105690259.0,2019,2
1544976961859.0,250935103432.0,6422348225.0,288968469928.0,33838461828.0,26473406760.0,417633727485.0,641336636496.0,55826345451.0,903640325363.0,286272523829.0,355064112667.0,187190821860.0,10847868341.0,8255306584.0,140915337169.0,103280622064.0,2019,3
1538632972974.0,243262410089.0,5983216989.0,287135236949.0,45627739398.0,35409487039.0,397735688304.0,598658147789.0,104229504095.0,939974825185.0,241731864791.0,356926282998.0,181925514194.0,9253731560.0,134504413.0,124362470151.0,105166926633.0,2019,4
1485370960799.0,228114000770.0,5403971051.0,187755299413.0,-11907376841.0,-11787548116.0,381845102930.0,560726948320.0,65411844329.0,924644012479.0,199244445263.0,361482503057.0,138452351817.0,11253667430.0,4353566604.0,121897150032.0,104905242808.0,2020,1
1465474906741.0,218683257268.0,4888267473.0,195781902278.0,6441767711.0,5378437469.0,384801174810.0,569560459350.0,40350115275.0,895914447391.0,214401210079.0,355159249271.0,142994990906.0,11478245098.0,3713759096.0,129029895072.0,101214681176.0,2020,2
1437058172122.0,209892226756.0,4849263948.0,212573690840.0,21989652156.0,17795685555.0,382233107192.0,524538584387.0,56439831928.0,912519587735.0,192534928048.0,332003656339.0,141362849504.0,6222121619.0,3479948494.0,93174398732.0,77799837687.0,2020,3
1353033082101.0,201705006975.0,4466411834.0,258811737783.0,39096671523.0,29799192574.0,339496885103.0,408705879200.0,51427020485.0,944327202901.0,145782019230.0,262923859970.0,170267040516.0,8522012659.0,2228950008.0,48963086420.0,7988318663.0,2020,4
1375326207331.0,209324910821.0,4042238053.0,187347805484.0,6886034451.0,4548884874.0,337193961908.0,427297283200.0,53214569116.0,948028924131.0,172254963945.0,255042319255.0,125233573801.0,6952137585.0,761354374.0,65762619816.0,301908913.0,2021,1
1408592266651.0,200701209636.0,3654374192.0,226214138410.0,3578295626.0,4232664332.0,350862077781.0,494806085218.0,47103658996.0,913786181433.0,228723486261.0,266082598957.0,152404614609.0,11443139928.0,17548937904.0,96569597875.0,11387165000.0,2021,2
1221094915858.0,190869572986.0,3221912277.0,155149266701.0,7932667065.0,6360597282.0,385557403103.0,302494606774.0,149464875484.0,918600309084.0,270830356196.0,31664250578.0,107362818359.0,8425437365.0,2245035454.0,145048211061.0,10115000000.0,2021,3
1268743492738.0,186722125438.0,2829707011.0,297236090623.0,56240346851.0,44578524770.0,346527464417.0,304707254762.0,52162065409.0,964036237976.0,271923340334.0,32783914428.0,185737925097.0,8200637938.0,1169256662.0,156877257406.0,10080000000.0,2021,4
1320772930113.0,185188237631.0,2430397631.0,193339096426.0,18680229564.0,14738731405.0,357827903796.0,343575154898.0,61604282336.0,977197775215.0,311827779215.0,31747375683.0,123927353052.0,8968831112.0,1528152003.0,196594028848.0,9945000000.0,2022,1
