totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
1131760121747.0,125145476703.0,9651322484.0,515874613329.0,42540745236.0,33423565054.0,283258999373.0,648007934269.0,183354177512.0,483752187478.0,641788186922.0,6219747347.0,427682890306.0,3924452528.0,3112524242.0,465267097829.0,2991147347.0,2017,1
1151388012759.0,122751689111.0,9564972383.0,513125476012.0,20833906314.0,15647640868.0,302969923201.0,687777983305.0,138347726916.0,463610029454.0,682582835958.0,5195147347.0,453787405606.0,3839623293.0,3298585250.0,437018700947.0,1995147347.0,2017,2
1279244322334.0,123492554007.0,9627157766.0,365248485615.0,12381475748.0,9561601527.0,400601988868.0,804118444026.0,308475444245.0,475125878308.0,799820185263.0,4298258763.0,315597220589.0,3819057001.0,3321204512.0,542875761105.0,999147347.0,2017,3
1485002044570.0,123176157128.0,9533217665.0,775540290676.0,106149241359.0,82643451628.0,397642524022.0,927417004806.0,204332139701.0,557585039764.0,924217004806.0,3200000000.0,619336127507.0,3920402512.0,4113521145.0,543834628352.0,0,2017,4
1647757351016.0,120787048306.0,9439277564.0,680305566937.0,52176479791.0,41926370078.0,364173749648.0,1046326413948.0,514836235922.0,601430937068.0,1043126413948.0,3200000000.0,562576654393.0,3950392977.0,3511475112.0,687656284805.0,0,2018,1
1647231455572.0,118186668678.0,9352759216.0,566763218678.0,29421498120.0,22488710421.0,437448227159.0,1038542458817.0,602172958979.0,608688996755.0,1035942458817.0,2600000000.0,481921067611.0,3944768539.0,5103649377.0,616684512115.0,0,2018,2
1681995714053.0,116332641830.0,9281074042.0,360360545012.0,30037846063.0,24272470056.0,687802769784.0,1049303521777.0,387923916057.0,632692192276.0,1046703521777.0,2600000000.0,306088837624.0,3898257022.0,4674126104.0,679702301500.0,0,2018,3
1843697211053.0,113522436336.0,9209388868.0,646256698175.0,95279731560.0,74428083021.0,843803074725.0,1135045009036.0,266563943415.0,708652202017.0,1132445009036.0,2600000000.0,527214884099.0,3921460668.0,5768991206.0,693976666660.0,0,2018,4
1734714081276.0,114904088209.0,9137703694.0,545251776717.0,42609820954.0,32376677743.0,782906721278.0,993665332476.0,253276008824.0,741048748800.0,991065332476.0,2600000000.0,451560693997.0,3997044361.0,4652645839.0,708247820584.0,0,2019,1
1588717098195.0,111959916356.0,9066018520.0,542656642459.0,40633822022.0,30606198981.0,758999230186.0,817294659886.0,238439373566.0,771422438309.0,814694659886.0,2600000000.0,466305460140.0,4047033366.0,6199995657.0,511683232912.0,0,2019,2
1590985343779.0,109969195856.0,8994333346.0,666847528397.0,40986217243.0,27671223054.0,674860382943.0,823827680064.0,226466011341.0,767157663715.0,821227680064.0,2600000000.0,582191713048.0,4056532003.0,3807824894.0,450074774036.0,0,2019,3
1900163927487.0,132244894792.0,8927643172.0,784735038360.0,88278602193.0,72184602829.0,640811103055.0,1061135949171.0,391564413612.0,839027978316.0,1058535949171.0,2600000000.0,658675633891.0,4177704414.0,5252423676.0,579055499895.0,0,2019,4
1869625130671.0,159543578941.0,8868107998.0,721943783485.0,54178527955.0,42783451924.0,489008578295.0,991636045058.0,444716029125.0,877989085613.0,989036045058.0,2600000000.0,606569539081.0,5182530785.0,3646439675.0,567994819243.0,0,2020,1
2288511495379.0,159850012224.0,8808572824.0,916473802912.0,76684437132.0,59670824136.0,402143617478.0,1358875494655.0,775763712017.0,929636000724.0,1356275494655.0,2600000000.0,774015016486.0,4927912831.0,4504561017.0,579786253339.0,0,2020,2
2996756879212.0,162770774544.0,21227834965.0,907248060480.0,109039396244.0,86935285348.0,407590679936.0,1828110738465.0,670417638838.0,1168646140747.0,1825510738465.0,2600000000.0,739797759408.0,5069300187.0,2974854089.0,735351246100.0,0,2020,3
2708640622935.0,164293320927.0,21168299791.0,911065461455.0,153825653415.0,118201614821.0,511405345772.0,1419886669854.0,586730349035.0,1288753953081.0,1417286669854.0,2600000000.0,700378384830.0,5401110046.0,3629926368.0,765154550777.0,0,2020,4
2760636377117.0,170679643488.0,21108764617.0,864190034302.0,91579092676.0,70994102162.0,557371372595.0,1401126542591.0,448602362371.0,1359509834526.0,1398526542591.0,2600000000.0,696227405948.0,5778323402.0,2930957464.0,788881258643.0,0,2021,1
3119257652145.0,232590604482.0,29913418850.0,1258132845764.0,147485249356.0,115042040486.0,518121882356.0,1679856696549.0,548274736783.0,1439400955596.0,1677256696549.0,2600000000.0,1010959921032.0,5748217331.0,4389439428.0,855789046110.0,0,2021,2
3081762611769.0,232068286865.0,29606720885.0,629259693484.0,24361714863.0,18185335270.0,684901896946.0,1625905002615.0,719872413278.0,1455857609154.0,1605731459615.0,20173543000.0,534305006847.0,6567290396.0,3776620826.0,939777140087.0,17573543000.0,2021,3
3764406389797.0,229827579281.0,29297443463.0,1398737742918.0,169260800695.0,125151425238.0,749455563254.0,2154838850837.0,627218527257.0,1609567538960.0,2084232490837.0,70606360000.0,1154865242391.0,6637453678.0,5133368278.0,941426789155.0,68006360000.0,2021,4
4030441720591.0,231320126337.0,28990745498.0,1416855678639.0,136547017616.0,107262915152.0,751749850100.0,2314394127720.0,602513167889.0,1716047592871.0,2235821346720.0,78572781000.0,1171705605245.0,6741131470.0,3580930165.0,694124857727.0,75972781000.0,2022,1
5213756406068.0,229702037487.0,28770931394.0,1274724768171.0,145849972026.0,115613027095.0,940676961191.0,2769590273237.0,1176485181431.0,2444166132831.0,2686802551237.0,82787722000.0,1049119347477.0,6662188910.0,4732791836.0,1182087972611.0,80187722000.0,2022,2
4267671951653.0,226540887440.0,28937425946.0,213092218496.0,155655402940.0,128741851834.0,1277882968877.0,1764236429258.0,786924260525.0,2503435522395.0,1622274418258.0,141962011000.0,191987975127.0,6640423402.0,7322961864.0,799002071673.0,139362011000.0,2022,3
4267671951653.0,226540887440.0,28937425946.0,213092218496.0,155655402940.0,128741851834.0,1277882968877.0,1764236429258.0,786924260525.0,2503435522395.0,1622274418258.0,141962011000.0,191987975127.0,6640423402.0,7322961864.0,799002071673.0,139362011000.0,2022,4
