totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
227479944242.0,4315147039.0,0,54495266377.0,0,1567343399.0,7000545089.0,92488118247.0,50599920440.0,134991825995.0,91811360679.0,676757568.0,51247254327.0,0,4225763.0,25241997170.0,0,2017,1
207680008698.0,4093898615.0,0,44969315777.0,0,1502733005.0,7026311981.0,71831973231.0,37277604769.0,135848035467.0,71155215663.0,676757568.0,40355768019.0,0,65481567.0,576000000.0,0,2017,2
236072248870.0,3883805914.0,0,39124537139.0,0,13357648062.0,48583228496.0,88780484524.0,10835455174.0,147291764346.0,88554528015.0,225956509.0,36328901518.0,0,0,743231000.0,0,2017,3
250046674301.0,3697242128.0,0,120900452239.0,0,2284065535.0,25296841688.0,104511206330.0,10863903021.0,145535467971.0,104285249821.0,225956509.0,114381435086.0,0,0,37317005273.0,0,2017,4
222356148536.0,3544621036.0,0,29376790098.0,0,442733246.0,26410665847.0,76439294439.0,29735918251.0,145916854097.0,76167337930.0,271956509.0,28017613550.0,0,0,24437129601.0,0,2018,1
231364584888.0,3390304154.0,0,61192041312.0,0,1572577613.0,10716208067.0,89456153178.0,20251288270.0,141908431710.0,89184196669.0,271956509.0,57374981829.0,0,455609121.0,18627631410.0,0,2018,2
224038926440.0,3250934994.0,0,52814608472.0,0,1169297268.0,8730308404.0,81247197461.0,31793545350.0,142791728979.0,80989160096.0,258037365.0,49461203531.0,0,0,15980099028.0,0,2018,3
234672126241.0,3117496396.0,0,97161711323.0,0,2400660789.0,2660042263.0,89678693949.0,14846739836.0,144993432292.0,89412268305.0,266425644.0,91655685756.0,0,0,41999340106.0,0,2018,4
193697313388.0,2986958637.0,0,27617964891.0,0,629195842.0,3400234825.0,48224661703.0,21970342648.0,145472651685.0,47957727059.0,266934644.0,25585568292.0,0,0,4451098500.0,0,2019,1
205197028197.0,2854970458.0,0,37502689274.0,0,844456662.0,3871630223.0,64272989120.0,21425501525.0,140924039077.0,63957439476.0,315549644.0,34218376876.0,0,22933728.0,0,0,2019,2
243469614566.0,2721531860.0,0,35211050253.0,0,970934900.0,31669559904.0,101700640589.0,14035004002.0,141768973977.0,101385090945.0,315549644.0,31554151089.0,0,0,27899437852.0,0,2019,3
221618035394.0,3119062093.0,0,73407035523.0,0,2753253613.0,7754314774.0,77095807803.0,14035004002.0,144522227591.0,76828873159.0,266934644.0,69273514326.0,0,0,21931547376.0,0,2019,4
188407933966.0,2983808368.0,0,15666656992.0,166234273.0,145390218.0,4453012931.0,43768709701.0,20947432783.0,144639224265.0,43501775057.0,266934644.0,13684722152.0,700762035.0,0,7278852702.0,0,2020,1
216613424822.0,4173713050.0,0,25497879801.0,418085680.0,245508065.0,20442369506.0,72934292492.0,10234827420.0,143679132330.0,72666291848.0,268000644.0,22878745665.0,225562413.0,422856119.0,10957541769.0,0,2020,2
215961602138.0,3978150366.0,0,54428990454.0,942447790.0,687521634.0,4061630187.0,76303448174.0,10035380398.0,139658153964.0,76031009976.0,272438198.0,50451875460.0,831037644.0,0,23909364010.0,0,2020,3
200863676226.0,3782587682.0,0,56480556314.0,1903623889.0,1669168237.0,7703606864.0,59536354025.0,18876504962.0,141327322201.0,59263915827.0,272438198.0,52748950928.0,282751548.0,0,21288420560.0,0,2020,4
236775736359.0,3591276360.0,0,35064064709.0,655466442.0,536514007.0,55198990111.0,94734559108.0,5408677916.0,142041177251.0,94462120910.0,272438198.0,32560619315.0,802080039.0,471743088.0,61390942428.0,0,2021,1
243234359455.0,3397839358.0,0,90949457639.0,1354581532.0,1217705472.0,13558043689.0,102753700381.0,7677504901.0,140480659074.0,102486386298.0,267314083.0,84135800836.0,295586254.0,2658758657.0,66587159871.0,0,2021,2
211555525976.0,3202276674.0,0,25100753184.0,416215380.0,347742642.0,11472439649.0,70756799260.0,9731296429.0,140798726716.0,70467749237.0,289050023.0,22670020024.0,767555358.0,0,33122291981.0,0,2021,3
202602983479.0,3006713990.0,0,46403018790.0,1018841718.0,818893090.0,7718863501.0,61052827309.0,4034028522.0,141550156170.0,60763777286.0,289050023.0,43380615542.0,298834456.0,0,25083235073.0,0,2021,4
183015511355.0,2815402668.0,0,16717073918.0,283686342.0,162157309.0,16132842080.0,41312315450.0,19252557972.0,141703195905.0,41091275266.0,221040184.0,14699760487.0,750869372.0,0,10012954852.0,0,2022,1
185520850877.0,17480706188.0,0,18116568607.0,-602635662.0,-634555505.0,17684349788.0,47373409478.0,6900741469.0,138147441399.0,47126623794.0,246785684.0,15753026617.0,359915147.0,163704114.0,15641179557.0,0,2022,2
191517917612.0,16714934134.0,0,21443684291.0,-715709231.0,-726427949.0,20673407864.0,51792904162.0,10162224051.0,139725013450.0,51556674978.0,236229184.0,19305032981.0,1310215033.0,0,18782740932.0,0,2022,3
191517917612.0,16714934134.0,0,21443684291.0,-715709231.0,-726427949.0,20673407864.0,51792904162.0,10162224051.0,139725013450.0,51556674978.0,236229184.0,19305032981.0,1310215033.0,0,18782740932.0,0,2022,4
