totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
12888158315055.0,1069248619383.0,43642096312.0,3032378278045.0,226591785975.0,180863367911.0,1287634243505.0,10930663778235.0,377027758177.0,1957494536820.0,10021755312657.0,908908465578.0,2712200761696.0,49121196552.0,49723535584.0,3430588189243.0,386858897793.0,2017,1
12902667459618.0,1197517406732.0,43254307633.0,3724354388355.0,254232017610.0,196472680721.0,1470540456580.0,10873932226492.0,545684906127.0,2028735233126.0,10045841423251.0,828090803241.0,3307711268171.0,51616859563.0,65558257488.0,3671073527113.0,387192614167.0,2017,2
13417469011521.0,1326275741944.0,42898772518.0,4203103183913.0,306733052593.0,238471321542.0,1298758854228.0,11181623181532.0,411966492104.0,2235845829989.0,10228581635374.0,953041546158.0,3801760965551.0,53130249710.0,69917499875.0,3925114369425.0,369788645672.0,2017,3
13928016199048.0,1377645004216.0,42487557947.0,5074694352106.0,289514027178.0,243922371538.0,1187886628043.0,11460287284794.0,491949405165.0,2467728914254.0,10826682216626.0,633605068168.0,4520125001958.0,56640736223.0,77129443578.0,4276778482724.0,336537888168.0,2017,4
13420954616748.0,1365780143778.0,42774110272.0,3345702073211.0,174292746006.0,135461288420.0,1428084591299.0,10833253399980.0,257512014226.0,2587701216768.0,10196603040782.0,636650359198.0,2977954531119.0,59929437171.0,62209423676.0,4370340472352.0,333316113168.0,2018,1
14030020194865.0,1394990864521.0,42824349602.0,4734086218355.0,197468633916.0,166120459289.0,1307215262319.0,11404914391171.0,292347107266.0,2625105803694.0,10775707506261.0,629206884910.0,4324169788424.0,60338048753.0,87543772533.0,4590744379287.0,279425887098.0,2018,2
15339307930507.0,1374740238837.0,42797350636.0,4687901773274.0,266963209207.0,206176522983.0,1860278050495.0,12531085214364.0,136675847478.0,2808222716143.0,11852973510058.0,678111704306.0,4207609812446.0,61700958944.0,81658241766.0,4749348905179.0,303004163661.0,2018,3
15896618918997.0,1387424666118.0,45262416153.0,5433775068253.0,162552652149.0,129623229281.0,1810074484011.0,12967227993176.0,313982183551.0,2929390925821.0,12292906353571.0,674321639605.0,4999618219694.0,62120839066.0,84999001138.0,4072551258312.0,269112070669.0,2018,4
15334379557805.0,1350215175758.0,45784097819.0,3707882984194.0,155061923614.0,119507626606.0,1974844669189.0,12310516270672.0,319041387773.0,3023863287133.0,11625838459904.0,684677810768.0,3367374630417.0,63214364915.0,56121648275.0,4272566923117.0,257992246261.0,2019,1
15928196227298.0,1348006908101.0,44942194999.0,5323294203699.0,82841109834.0,60176880537.0,1689742415664.0,12352880758491.0,405556009525.0,3575315468807.0,11656163369426.0,696717389065.0,5017308529258.0,64238835794.0,92542943896.0,4203002263346.0,277473095138.0,2019,2
16446249640091.0,1319907815460.0,50479757688.0,4614950525626.0,86344022828.0,54186184824.0,1774367563217.0,12813682325752.0,210125585524.0,3632567314339.0,12079140428491.0,734541897261.0,4343603634817.0,62217877827.0,84264875362.0,4930737487399.0,302431590303.0,2019,3
16700085956752.0,1291778981697.0,53671877137.0,5001320265938.0,201657923338.0,208011175394.0,1479623386312.0,12738589286794.0,564916674444.0,3961496669958.0,12013137484692.0,725451802102.0,4668309340387.0,62098556636.0,88612931728.0,4742464274724.0,218612535459.0,2019,4
14755800510808.0,1235182412874.0,53490874406.0,2441683721709.0,18945503027.0,5427385435.0,2200676994415.0,10792517058837.0,106830846080.0,3963283451971.0,10097683431724.0,694833627113.0,2253394958245.0,64385724984.0,65378200491.0,4669401436617.0,195032334080.0,2020,1
15058647288232.0,1163572191623.0,52412594735.0,2968663881840.0,28615735491.0,7584772696.0,1930887364775.0,11164696044352.0,268043398578.0,3893951243880.0,10503253254668.0,661442789684.0,2730187137679.0,61246226757.0,97437835869.0,4939442401966.0,165373960331.0,2020,2
15303935030051.0,1109192092691.0,51239415010.0,2634344446251.0,59311365669.0,52375749576.0,2594425315617.0,11114237473498.0,325699019290.0,4189697556553.0,10442739212712.0,671498260786.0,2485077119198.0,60546029795.0,80508118484.0,4727792313571.0,159448541563.0,2020,3
15485956742424.0,1101858366831.0,51558348250.0,3182982432156.0,6170011800.0,9101983328.0,2524932789488.0,11409332549932.0,247900431032.0,4076624192492.0,10719252823828.0,690079726104.0,3020550500007.0,59853187627.0,74013707842.0,4955424389036.0,162137473749.0,2020,4
15564571098206.0,1037839601565.0,50318393793.0,2263109440017.0,11899693950.0,7590539125.0,2681734803761.0,11410796553980.0,368907035433.0,4153774544226.0,10730729875849.0,680066678131.0,2066013478349.0,59028556308.0,69583564420.0,4775237154980.0,160018772826.0,2021,1
16141310314867.0,980378203913.0,49221029117.0,3180360689225.0,73347311690.0,58944245714.0,2799506816478.0,11935946741342.0,376732925851.0,4205363573525.0,11295048862570.0,640897878772.0,2987201173342.0,58466152464.0,78232403700.0,4403632529312.0,134499453415.0,2021,2
15790213817765.0,927881187449.0,53872707961.0,2092074031689.0,15421742249.0,13989156478.0,2952975049521.0,11580243531585.0,360956015871.0,4209970286180.0,10950279880443.0,629963651142.0,1976263873100.0,50641981022.0,74486485368.0,4232233643145.0,128618126951.0,2021,3
16799597615595.0,904309714920.0,53211182123.0,3819513824941.0,47693831286.0,17928258961.0,2600530615114.0,12573440174405.0,732996100875.0,4226157441190.0,11660485303279.0,912954871126.0,3553959077441.0,63386862507.0,76733491203.0,4694408616167.0,403216061889.0,2021,4
17085446570641.0,852559255541.0,52118582085.0,2982955500027.0,18494426020.0,13343489395.0,2720453519927.0,13000135999460.0,637090066822.0,4085310571181.0,11434066257095.0,1566069742365.0,2785348046284.0,56159026176.0,89554270893.0,4898492244517.0,1077670674406.0,2022,1
18289415295462.0,843354418308.0,50901330957.0,4143591345892.0,68887933054.0,51375472195.0,2737490539341.0,14471842902322.0,636070978458.0,3817572393140.0,12911038199459.0,1560804702863.0,3939833056251.0,57789750346.0,145369731574.0,5466235522072.0,1068449958748.0,2022,2
18683292404634.0,874629271860.0,50576476140.0,3777986567873.0,25576385338.0,6276674583.0,2792843822507.0,14913143361918.0,584684662716.0,3770149042716.0,13331967535129.0,1581175826789.0,3495397284619.0,53404514867.0,122681257665.0,5496118368852.0,1069993024546.0,2022,3
18683292404634.0,874629271860.0,50576476140.0,3777986567873.0,25576385338.0,6276674583.0,2792843822507.0,14913143361918.0,584684662716.0,3770149042716.0,13331967535129.0,1581175826789.0,3495397284619.0,53404514867.0,122681257665.0,5496118368852.0,1069993024546.0,2022,4
