totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
653859427806.0,30565518777.0,6200306035.0,639880536171.0,20390026907.0,17005591668.0,167851321709.0,298061884695.0,25506620400.0,355797543111.0,274273465957.0,23788418738.0,605908801677.0,2843042523.0,3391705871.0,215697835259.0,0,2017,1
740694152740.0,29489719555.0,6089708464.0,535033685772.0,15034557216.0,11633869630.0,253383259242.0,400226714473.0,5738817872.0,340467438267.0,379176065495.0,21050648978.0,503333811777.0,2844006201.0,2318398464.0,288991594041.0,0,2017,2
726832357737.0,29213677220.0,5979110893.0,851391332126.0,19948334284.0,16087632826.0,206045078186.0,370277286644.0,4173581160.0,356555071093.0,349233701148.0,21043585496.0,804334092620.0,2848185187.0,3465457084.0,218548303063.0,0,2017,3
1059987753887.0,29007190423.0,8567541414.0,742428718265.0,44880756393.0,35790844793.0,465997764372.0,667641838001.0,21473323740.0,392345915886.0,646359542505.0,21282295496.0,657253013629.0,2878690057.0,3179885291.0,341984362032.0,0,2017,4
1139646727459.0,27758548631.0,8456943843.0,892469046396.0,20254475685.0,16284016800.0,443023726903.0,801926098467.0,102400076027.0,337720628992.0,780758342971.0,21167755496.0,858102980083.0,2872298771.0,8331654253.0,563709120510.0,0,2018,1
999509620685.0,26612918391.0,8472346272.0,975979595022.0,41393313249.0,33101396290.0,428072482420.0,628687595403.0,7896964080.0,370822025282.0,611491590032.0,17196005371.0,903776302753.0,1909973433.0,7894863281.0,422524839718.0,0,2018,2
1098824773250.0,25850900763.0,8382748701.0,999225322806.0,28756774613.0,22989518997.0,550199871188.0,705013228971.0,24178662427.0,393811544279.0,683556997309.0,21456231662.0,938862907382.0,2691985517.0,7335295288.0,484053624750.0,0,2018,3
917167739531.0,24665762326.0,8293151130.0,959119058383.0,52493041473.0,41410586711.0,429131730481.0,481945608541.0,25008114683.0,435222130990.0,460477521440.0,21468087101.0,880737727704.0,2683095872.0,6274219281.0,377031176968.0,0,2018,4
1158889225320.0,23677446041.0,10485929726.0,1076729144817.0,15098304516.0,12073843613.0,581448154998.0,748194820690.0,16325605835.0,410694404630.0,726839085589.0,21355735101.0,1044967995728.0,2604948353.0,7762070719.0,633736874663.0,0,2019,1
1127040625598.0,22608333304.0,10396332155.0,1123645025599.0,20526071864.0,16611864666.0,639549364937.0,756561810710.0,12494172190.0,370478814888.0,739786146885.0,16775663825.0,1078480693168.0,2567070172.0,9901361944.0,599283486222.0,0,2019,2
1095219094638.0,21579354559.0,10306734584.0,1118458127072.0,1365060073.0,859131318.0,641279641470.0,723881148432.0,3774404370.0,371337946206.0,704065325553.0,19815822879.0,1104312212688.0,2526936180.0,7649012511.0,290909363312.0,0,2019,3
953685108036.0,20610244259.0,10217137013.0,1175124819138.0,-17956684456.0,-18070884582.0,470812074042.0,600481399836.0,22689595611.0,353203708200.0,579674898768.0,20806501068.0,1187396543150.0,2523504099.0,3751562549.0,184957937742.0,0,2019,4
799899338148.0,19603210247.0,10169539442.0,795168991794.0,7997927573.0,6393319012.0,420450861684.0,440311861458.0,2464148668.0,359587476690.0,419530589568.0,20781271890.0,775609276800.0,2391855367.0,3910564258.0,229866781821.0,0,2020,1
784692519983.0,18597559106.0,10121941871.0,858434256523.0,8102814742.0,7892717409.0,390502011686.0,428613376953.0,9977612497.0,356079143030.0,407701116845.0,20912260108.0,834710709882.0,2354904471.0,2803541702.0,197874038429.0,0,2020,2
815550106192.0,18730187133.0,10074344300.0,888156988370.0,24688105296.0,19538307654.0,400649413481.0,439932655508.0,9393240325.0,375617450684.0,416817351841.0,23115303667.0,846714154048.0,2359625303.0,2359202125.0,176602301010.0,0,2020,3
880487649470.0,18248342893.0,10026746729.0,1089175188323.0,41869452561.0,33445570822.0,461467131616.0,471424627964.0,13874736655.0,409063021506.0,448290277566.0,23134350398.0,1009474223910.0,2378185117.0,1645913109.0,170637956872.0,0,2020,4
957542628240.0,17205857082.0,9979149158.0,1116384783934.0,80867989720.0,64686533401.0,432255618427.0,513136921406.0,5612363406.0,444405706834.0,490604974841.0,22531946565.0,1015581352268.0,2391739141.0,2160680459.0,118288640802.0,0,2021,1
1124708883059.0,16358130455.0,9931551587.0,1158251555166.0,71497517773.0,57419561427.0,639602167940.0,660490206381.0,27018515692.0,464218676678.0,637818259816.0,22671946565.0,1072435585355.0,2196979957.0,2028164912.0,221792867434.0,0,2021,2
1192559268809.0,15575776838.0,9883954016.0,547266119269.0,14207470871.0,11354270771.0,791047257928.0,716986321360.0,10233308733.0,475572947449.0,694354374795.0,22631946565.0,518512444498.0,2131606947.0,3522739965.0,377727076544.0,0,2021,3
1261596127816.0,15122199195.0,9836356445.0,1008662298107.0,11224774351.0,8631264800.0,814214011995.0,777391915567.0,20789998476.0,484204212249.0,754470733589.0,22921181978.0,972218597658.0,2137681947.0,3213245600.0,193759608928.0,0,2021,4
1179803186793.0,15206887280.0,9788758874.0,1254620186651.0,26153212143.0,20922792485.0,512875249179.0,674673392059.0,11738111889.0,505129794734.0,651471461510.0,23201930549.0,1210421277239.0,2138903686.0,3271129710.0,137160240955.0,0,2022,1
1232944447188.0,14518138846.0,9741161303.0,734392347787.0,12792311323.0,10429439164.0,625689658283.0,822179907926.0,135659886424.0,410764539262.0,799306428384.0,22873479542.0,701742379079.0,2137089440.0,1767496605.0,213986590942.0,0,2022,2
1215057835080.0,13721174410.0,9693563732.0,800067382683.0,-15363654101.0,-12164574384.0,583020894065.0,816457870202.0,98302742571.0,398599964878.0,793278814924.0,23179055278.0,801909116604.0,2136561878.0,4796116951.0,470486546045.0,0,2022,3
1215057835080.0,13721174410.0,9693563732.0,800067382683.0,-15363654101.0,-12164574384.0,583020894065.0,816457870202.0,98302742571.0,398599964878.0,793278814924.0,23179055278.0,801909116604.0,2136561878.0,4796116951.0,470486546045.0,0,2022,4
