totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
761882949896.0,70741332478.0,1099804073.0,17552716739.0,0,1700935459.0,12615569615.0,228285587333.0,3271678117.0,533597362563.0,34029797942.0,194255789391.0,11907069573.0,0,693328556.0,25115617724.0,194255789391.0,2017,1
773775487017.0,166994767782.0,1094810697.0,17324346064.0,0,1262012344.0,17581018386.0,243397012110.0,4013862004.0,530378474907.0,45317958731.0,198079053379.0,13823543288.0,0,1436795220.0,30052036120.0,198079053379.0,2017,2
776198143401.0,166011643650.0,1084823947.0,69644310679.0,0,2115595259.0,10190839785.0,243704073235.0,5481058004.0,532494070166.0,41081689168.0,202622384067.0,61159407523.0,0,1546211663.0,25973749457.0,202622384067.0,2017,3
804216585966.0,162606220742.0,1068595480.0,65142966992.0,0,3482053208.0,11632922652.0,268240462592.0,19382885357.0,535976123374.0,64576838626.0,203663623966.0,55737541373.0,0,1747993872.0,44088582698.0,203663623966.0,2017,4
791818133226.0,160641887819.0,1059376942.0,17629195090.0,0,1028440433.0,14270806147.0,257813569419.0,5594401495.0,534004563807.0,52614480188.0,205199089231.0,13985862382.0,0,1609217970.0,34720012389.0,205199089231.0,2018,1
800454764253.0,204738342653.0,1052463038.0,20827460062.0,0,1126722693.0,14054521896.0,270415477753.0,6377798255.0,530039286500.0,63268153408.0,207147324345.0,20194440153.0,0,2251581695.0,49081068225.0,207147324345.0,2018,2
839763939596.0,204100935915.0,1041708076.0,51606279702.0,0,971599014.0,32120736994.0,308753054082.0,18955109371.0,531010885514.0,98570005302.0,210183048780.0,43429079817.0,0,2479424445.0,71092546174.0,210183048780.0,2018,3
840548897826.0,201258018224.0,1028648480.0,88197560786.0,0,4838240925.0,24355049572.0,304699771387.0,32205422170.0,535849126439.0,109283080413.0,195416690974.0,78699965410.0,0,2769970385.0,84044305249.0,195416690974.0,2018,4
832682343275.0,198803060071.0,1019375069.0,33764207262.0,0,613172258.0,17166691959.0,298720044578.0,32722968505.0,533962298697.0,102116436424.0,196603608154.0,30948989134.0,0,1646758904.0,85912458323.0,196603608154.0,2019,1
818333805868.0,268367359128.0,1011528337.0,20986826340.0,0,1147753950.0,8509486772.0,288449753221.0,7183736522.0,529884052647.0,90190829140.0,198258924081.0,19046624676.0,0,4620777692.0,68900742826.0,198258924081.0,2019,2
