totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
18819807476939.0,4405255742862.0,288086542145.0,6212959748480.0,538504340576.0,415731670274.0,8446775186391.0,14134926189205.0,236776280693.0,4684881287734.0,11889435615001.0,2245490574204.0,5056014797291.0,165619845762.0,129138241355.0,10136433479592.0,2241279758454.0,2017,1
17425734636171.0,5254160466920.0,284544938484.0,7230669296131.0,332951333137.0,271579906090.0,5654231735404.0,12449861410027.0,241863942886.0,4975873226144.0,9685328232638.0,2764533177389.0,6138818044732.0,176573606885.0,136037062435.0,8068062085661.0,2760322361639.0,2017,2
21438455873654.0,6396829534741.0,283646032523.0,6938846968367.0,256160332416.0,204341105799.0,8871078567586.0,16268653940969.0,292371319351.0,5169801932685.0,13427903865258.0,2840750075711.0,5815926143079.0,207103772419.0,152382722602.0,9015062474063.0,2835803760461.0,2017,3
24108093488720.0,6801190115938.0,313521616791.0,7886579782234.0,401745997295.0,333407817635.0,9305119860448.0,18608026182154.0,503169694306.0,5500067306566.0,15466252007415.0,3141774174739.0,6705382663842.0,229567587983.0,171086601940.0,13916865824284.0,3136842158489.0,2017,4
23747801489024.0,7548879080752.0,312856822258.0,7664141785784.0,141634781113.0,95753076145.0,9852565484530.0,18214417492943.0,231709423161.0,5533383996081.0,15161402565915.0,3053014927028.0,6644960060059.0,243889433111.0,216111589465.0,12747438581501.0,3047665827653.0,2018,1
23644314306222.0,7799135996665.0,315451684497.0,10324782002903.0,96184533531.0,82853068986.0,8305861921013.0,18385144490963.0,302415758824.0,5259169815259.0,14919953830638.0,3465190660325.0,9293672747527.0,274642998456.0,189916529097.0,12420317172972.0,3459841560950.0,2018,2
21205626545745.0,7671670211535.0,312815860566.0,8565850332268.0,-106469389572.0,-101791076330.0,6562465276941.0,16053012449606.0,459414654547.0,5152614096139.0,12587323468728.0,3465688980878.0,7842008831088.0,271233655075.0,234554505947.0,10879859929887.0,3461976547378.0,2018,3
19834171906492.0,7664901156781.0,252078706642.0,7545436900786.0,101444755628.0,60657746313.0,5685691471407.0,14651981013272.0,423725062878.0,5182190893220.0,10947774413367.0,3704206599905.0,6938343920747.0,282912616177.0,187040186546.0,8457656611063.0,3700494166405.0,2018,4
18365428946727.0,7465745232002.0,246811648458.0,6911281307835.0,46862696426.0,55698509330.0,4527198003003.0,13139161978796.0,370385702520.0,5226266967931.0,9877075281656.0,3262086697140.0,6130626156488.0,280750632275.0,195018295520.0,7652916338970.0,3258074522640.0,2019,1
18187082025309.0,8480240709295.0,244043167403.0,7228246419130.0,215965516232.0,161058286615.0,4922936966695.0,12801290912216.0,307566948926.0,5385791113093.0,9514552955163.0,3286737957053.0,6257870428132.0,301950978875.0,178349555282.0,7723326854644.0,3282352882553.0,2019,2
17105354759047.0,8186719713839.0,241244263481.0,6349820490924.0,95648750096.0,83926854971.0,4414458755715.0,11637084309183.0,288707713172.0,5468270449864.0,8647346701718.0,2989737607465.0,5518633261087.0,312332638425.0,185552127572.0,6706463172987.0,2986131853215.0,2019,3
16725095518485.0,7926017317572.0,225768006841.0,6584999160370.0,219838562076.0,181105912191.0,4270808331732.0,11082191190844.0,431715664614.0,5642904327641.0,8324672102344.0,2757519088500.0,5631901059990.0,310469104595.0,157976183288.0,6625125109217.0,2753913334250.0,2019,4
16982515814542.0,7658496063876.0,223007089944.0,5778517351218.0,229966484495.0,201041965983.0,4994184476376.0,11142513530769.0,379875597063.0,5840002283773.0,8580896327777.0,2561617202992.0,4702644291988.0,305915305016.0,151674135447.0,6028827162070.0,2557677232132.0,2020,1
16436398034001.0,7509718075994.0,223174177783.0,6834013613033.0,370510315726.0,318377347052.0,4597878205003.0,10285568150305.0,390477101350.0,6150829883696.0,7931122739841.0,2354445410464.0,5771150231346.0,307949071500.0,136485157060.0,6119010261191.0,2350505439604.0,2020,2
17756407664931.0,7262428277688.0,220162135649.0,8333219389213.0,555327801227.0,452803088709.0,5523844442201.0,11165669153608.0,574767066704.0,6590738511323.0,8991488795259.0,2174180358349.0,6797786582099.0,305430972205.0,113950660131.0,6023444645186.0,2162915544533.0,2020,3
17350835612806.0,7054557411255.0,217141841352.0,9099590947974.0,691808097652.0,572022644799.0,4775426848680.0,10266256860317.0,490523725247.0,7084578752489.0,8273277515152.0,1992979345165.0,7600738924861.0,304086745280.0,91845086689.0,5437354093901.0,1981714531349.0,2020,4
22033027874695.0,6936287020467.0,214187205629.0,10845989020993.0,1189500496012.0,1098599933365.0,9065354198240.0,13888142839826.0,714861175002.0,8144885034869.0,12084004707670.0,1804138132156.0,8892023772404.0,293938762831.0,77078839889.0,4963525990444.0,1789662118340.0,2021,1
25161003568764.0,6692305788301.0,213121091982.0,12983894346047.0,1991489667659.0,1701824995725.0,11646465270749.0,15305000806887.0,505654076442.0,9856002761877.0,13666262674731.0,1638738132156.0,10030159798762.0,293060261140.0,79458539288.0,5451456982578.0,1624262118340.0,2021,2
26618030002939.0,6442809695940.0,219251957453.0,15797047918722.0,1042684809557.0,941059659894.0,12349095948022.0,15786236174085.0,492796782190.0,10831793828854.0,14372246601418.0,1413989572667.0,13330201556726.0,294873631596.0,106666082947.0,5436688415777.0,1399362118340.0,2021,3
22932260319759.0,6191988254552.0,215587813650.0,16933627636037.0,749934869189.0,638326800607.0,10212318139294.0,11643197241720.0,1018387535165.0,11289063078039.0,10617051295410.0,1026145946310.0,14810351326627.0,295061908021.0,75432057646.0,4955736107983.0,1011518491983.0,2021,4
