totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
404279247198.0,8539274674.0,14167811199.0,693942155296.0,0,10604838069.0,7172895640.0,177437872613.0,25542549090.0,214330877215.0,23248330209.0,154189542404.0,667963729941.0,0,160834636.0,2000000000.0,0,2017,1
450813921874.0,7978323933.0,14087555742.0,392850623668.0,0,10300485409.0,4362924895.0,229650124901.0,28178098440.0,208653299603.0,126210292995.0,103439831906.0,366120157453.0,0,464622661.0,0,0,2017,2
465761710280.0,7453872157.0,14007300285.0,200385191444.0,0,7458704201.0,8710574007.0,242639209106.0,36342188217.0,210612003804.0,114875234101.0,127763975005.0,170760439259.0,0,779527033.0,76469245776.0,0,2017,3
466596226468.0,6949648550.0,13927044828.0,351954581035.0,0,8525445270.0,3993883246.0,234948280026.0,38966670009.0,219137449072.0,130316310325.0,104631969701.0,323366492227.0,0,778957913.0,99011067863.0,0,2017,4
480257549586.0,9062839967.0,13846789371.0,581637498492.0,0,8964766651.0,8068891541.0,245144836493.0,33727631825.0,222602215723.0,90287278732.0,154857557761.0,552539006035.0,0,830544328.0,59372597766.0,0,2018,1
494107649205.0,11381052742.0,13766533914.0,589208375770.0,0,10320019328.0,8640312079.0,260242861053.0,35979535612.0,221354290782.0,125933950010.0,134308911043.0,558837395604.0,0,898646830.0,63345640000.0,0,2018,2
596507033457.0,10898185707.0,13686278457.0,451727446499.0,0,11416408565.0,8061861545.0,354525836740.0,43839890395.0,229470699347.0,204229076554.0,150296760186.0,418817976054.0,0,898646830.0,88207058723.0,0,2018,3
559991756040.0,10486273898.0,13606023000.0,825912824690.0,0,10151829390.0,5902027214.0,311158729933.0,44176523011.0,236322528737.0,161482378719.0,149676351214.0,792847418618.0,0,1036389626.0,72041000000.0,0,2018,4
511062178416.0,12072412911.0,13525767543.0,356478668753.0,0,7927903849.0,7807889951.0,254301248460.0,37788039187.0,244250432586.0,103731761821.0,150569486639.0,329442259302.0,0,1109183780.0,78086924521.0,0,2019,1
487891880624.0,11547805722.0,29901273586.0,522291692729.0,0,10444644080.0,5846879139.0,235993024663.0,27508909380.0,239388358591.0,82251486764.0,153741537899.0,491663212947.0,0,1029822019.0,50008556000.0,0,2019,2
500639059478.0,11177025254.0,29821018129.0,247325569110.0,0,10940672311.0,8739817732.0,244399531205.0,31572161172.0,243729030903.0,89365035494.0,155034495711.0,212152308894.0,0,1029822019.0,51959141800.0,0,2019,3
476654020828.0,10647554016.0,29740762672.0,749005496831.0,0,9608879122.0,7420939526.0,214105613434.0,20234941727.0,250037910024.0,57617723578.0,156487889856.0,717214409092.0,0,1029822019.0,29480800000.0,0,2019,4
475599921522.0,12061758654.0,29660507215.0,462186470884.0,0,9346005657.0,2546260697.0,207005508471.0,17728419791.0,256083915681.0,49804623606.0,157200884865.0,431877305869.0,0,503457155.0,25638800000.0,0,2020,1
491275126927.0,12710432054.0,29687911906.0,515358219073.0,0,9207562890.0,4663734146.0,221333616167.0,18228268835.0,257431013390.0,63791644932.0,157541971235.0,484652590916.0,0,480440278.0,33298773000.0,0,2020,2
504194771287.0,12461213869.0,29661486523.0,303258558409.0,0,11349897927.0,5353138913.0,229503362600.0,19421705684.0,262180911317.0,71915012492.0,157588350108.0,271815721678.0,0,588958746.0,36394800000.0,0,2020,3
520999860825.0,13777141774.0,29168686492.0,312056910378.0,0,11579956819.0,5741587718.0,239554645253.0,27156262985.0,268934718202.0,90522690680.0,149031954573.0,280229533967.0,0,656447867.0,54003969496.0,0,2020,4
527352678711.0,13194078537.0,29135863108.0,483805915559.0,0,10144305397.0,8956988232.0,244184769853.0,34598397626.0,270657411488.0,53143827958.0,191040941895.0,450691351735.0,0,571393129.0,18780700000.0,0,2021,1
577474143509.0,12620470922.0,29103039724.0,383290898074.0,0,19681112274.0,7168102408.0,289411544322.0,21683889632.0,275552101817.0,62867631003.0,226543913319.0,351132007050.0,0,101218393.0,3500000000.0,0,2021,2
561042164648.0,12062968756.0,29070216340.0,182127759378.0,0,-151016249.0,5313173226.0,276430581710.0,16218658356.0,272101085568.0,49886668391.0,226543913319.0,180219252412.0,0,30931507.0,0,0,2021,3
593588391817.0,13837653246.0,29037392956.0,315569559958.0,0,5037138439.0,7971485460.0,307239670440.0,28958736338.0,273838224007.0,196905877602.0,110333792838.0,297733072504.0,0,185250791.0,29200000000.0,0,2021,4
610301743725.0,14143119056.0,29004569572.0,230846316018.0,0,8098092390.0,40053806447.0,324870073692.0,22305644291.0,272921172663.0,215216280854.0,109653792838.0,205629910615.0,0,447101797.0,36988400000.0,0,2022,1
622341359138.0,15067595969.0,28971746188.0,664732301372.0,0,10456599900.0,46334454024.0,333481297117.0,28750612366.0,276349564651.0,224508152452.0,108973144665.0,635262912413.0,0,430743340.0,33500000000.0,0,2022,2
617040667727.0,16033278332.0,28938922804.0,260418863539.0,0,5312428107.0,35451852818.0,330234113917.0,31578135387.0,274296056440.0,221117675602.0,109116438315.0,233373410483.0,0,392878767.0,23000000000.0,0,2022,3
617040667727.0,16033278332.0,28938922804.0,260418863539.0,0,5312428107.0,35451852818.0,330234113917.0,31578135387.0,274296056440.0,221117675602.0,109116438315.0,233373410483.0,0,392878767.0,23000000000.0,0,2022,4
