totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
369234505325.0,34182407898.0,631567570.0,126450997724.0,2378719950.0,1902975960.0,214357712778.0,142687773044.0,13966169942.0,226546732281.0,141557625096.0,1130147948.0,117200159535.0,1247319411.0,169618215.0,0,0,2017,1
426154777525.0,35231802581.0,624287569.0,208303566811.0,4082843408.0,3266274727.0,238701186284.0,214339770517.0,53940660082.0,211815007008.0,213218151825.0,1121618692.0,191072718296.0,1286812294.0,5060021.0,0,0,2017,2
426262241209.0,47615896536.0,620999933.0,220367110839.0,5547871144.0,4438295435.0,253613072639.0,210008938766.0,14909466225.0,216253302443.0,208895656729.0,1113282037.0,198968321645.0,1322664122.0,345575316.0,47921770800.0,0,2017,3
539589938909.0,51263355379.0,620999933.0,250674655819.0,21858514048.0,16130042225.0,329338639916.0,307206594241.0,12583037934.0,232383344668.0,306022283750.0,1184310491.0,217537714189.0,1420555532.0,1020266976.0,106109208750.0,0,2017,4
483247704087.0,50444467200.0,621000000.0,150054015446.0,17080964249.0,-919035751.0,321084259287.0,268817088383.0,7986986569.0,214430615704.0,267632777892.0,1184310491.0,137152839826.0,1533734757.0,1592744111.0,145079875000.0,0,2018,1
515790119291.0,53553902924.0,621000000.0,213511883725.0,-15435699123.0,2234227196.0,331459298702.0,323125276391.0,25283049567.0,192664842900.0,321484113191.0,1641163200.0,204590455467.0,1591119936.0,1840342838.0,161468785805.0,0,2018,2
447090576170.0,52051376221.0,621000000.0,190873159486.0,-809858816.0,-809858816.0,278424848683.0,255235592086.0,17390058207.0,191854984084.0,253594428886.0,1641163200.0,179006884545.0,1710544505.0,1726178821.0,120073579829.0,0,2018,3
429532786873.0,51228261414.0,621000000.0,231136713300.0,7434700633.0,5009429921.0,255260310317.0,232668372868.0,14344829860.0,196864414005.0,231027209668.0,1641163200.0,212161875592.0,1248887266.0,1580919769.0,73684450880.0,0,2018,4
382847609259.0,49616280593.0,0,209374407289.0,11470942145.0,9176160720.0,189633475374.0,176669850145.0,40950217684.0,206177759114.0,175028686945.0,1641163200.0,179920994203.0,1733036061.0,1580919769.0,52291497224.0,0,2019,1
384751189568.0,47878844117.0,0,194873845218.0,6671230480.0,5287540897.0,217229179497.0,197285889557.0,10737639294.0,187465300011.0,195644726357.0,1641163200.0,177515024558.0,1737436476.0,46294231.0,26030683047.0,0,2019,2
344143173104.0,44625923866.0,0,194813126954.0,-15949068292.0,6463384079.0,184069501892.0,150214429014.0,7190580920.0,193928744090.0,148575709314.0,1638719700.0,172483481540.0,1109191433.0,308211156.0,28456879499.0,0,2019,3
379614677213.0,43132701029.0,0,224462740681.0,24771780357.0,-170061825.0,184542096818.0,186409916336.0,23082963292.0,193204760877.0,184771196636.0,1638719700.0,210000785017.0,2274477068.0,642291215.0,33708191845.0,0,2019,4
314281601241.0,41627736943.0,0,147850766027.0,-1589308775.0,-1589308775.0,165239246111.0,122666076077.0,15456224071.0,191615525164.0,122201676077.0,464400000.0,139600884650.0,1504964086.0,815928842.0,14195968369.0,0,2020,1
331235205090.0,40432350707.0,0,172158146637.0,3611326762.0,3182949052.0,168906649765.0,142436730874.0,35166822591.0,188798474216.0,141274652424.0,1162078450.0,159543375861.0,1465883442.0,231460577.0,258712408.0,0,2020,2
313580045270.0,40863248155.0,0,148515680975.0,7713223420.0,11572779030.0,176506911266.0,113185110878.0,26563392751.0,200394934392.0,111596724928.0,1588385950.0,135265721983.0,0,17458056.0,7723855333.0,0,2020,3
360356638401.0,43686730319.0,0,312898602040.0,19477934727.0,11178345257.0,159857207963.0,173160611106.0,57551165771.0,187196027295.0,171572225156.0,1588385950.0,285237439849.0,0,236673761.0,35496605060.0,0,2020,4
339375246186.0,42095317999.0,0,224844174167.0,7538257644.0,5978851351.0,146552120568.0,147067726018.0,31725253332.0,192307520168.0,145479340068.0,1588385950.0,205899542853.0,1504964086.0,192898806.0,25670207520.0,0,2021,1
412052443711.0,41287583873.0,0,254997371824.0,7475590082.0,5915365617.0,230471644784.0,213829613837.0,20466615634.0,198222829874.0,212241227887.0,1588385950.0,236132882031.0,1943682542.0,199308161.0,46407428510.0,0,2021,2
390668898723.0,39539044909.0,0,55283647131.0,-972690562.0,-968549457.0,220245441325.0,193415351571.0,15566806014.0,197253547152.0,191826965621.0,1588385950.0,51915526999.0,1748538964.0,141530154.0,120465756797.0,0,2021,3
342523421935.0,38040375747.0,0,370668770635.0,8055482023.0,16232434613.0,153150318842.0,141015465560.0,55264345864.0,201507956375.0,139635532441.0,1379933119.0,338926793178.0,0,952042692.0,18707183651.0,0,2021,4
339167526117.0,36517632328.0,0,272107809098.0,4397020154.0,3493075800.0,152928725173.0,134324198932.0,42789911934.0,204843327185.0,133408665813.0,915533119.0,256506899299.0,1522743419.0,17220858.0,9876187274.0,0,2022,1
333456397193.0,37689818685.0,0,305025753410.0,18362028647.0,14682256071.0,167880367849.0,119930829899.0,42198590485.0,213525567294.0,119015296780.0,915533119.0,279698375818.0,1525072173.0,84637572.0,0,0,2022,2
348618646747.0,35377386051.0,406627312.0,233161144664.0,6094455692.0,9682980542.0,196970360356.0,125410095223.0,33742659541.0,223208551524.0,124549232979.0,860862244.0,212335875139.0,1550480635.0,0,0,0,2022,3
348618646747.0,35377386051.0,406627312.0,233161144664.0,6094455692.0,9682980542.0,196970360356.0,125410095223.0,33742659541.0,223208551524.0,124549232979.0,860862244.0,212335875139.0,1550480635.0,0,0,0,2022,4
