totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
21723455558.0,3762778738.0,609140000.0,3696125955.0,0,499561474.0,637729403.0,2129025595.0,1134935194.0,19594429963.0,2129025595.0,0,2664048117.0,0,0,0,0,2017,1
22143622387.0,3580048342.0,609140000.0,3908517400.0,0,466361551.0,704530890.0,2141427773.0,3334752888.0,20002194614.0,2141427773.0,0,3088730561.0,0,0,0,0,2017,2
21829104369.0,3397317946.0,609140000.0,2165126488.0,0,268247460.0,564945902.0,1500065395.0,14352656066.0,20329038974.0,1500065395.0,0,1610030727.0,0,0,0,0,2017,3
21042265101.0,3214587534.0,609140000.0,1678627039.0,0,-188573764.0,641738892.0,901799891.0,13152242562.0,20140465210.0,901799891.0,0,1709851835.0,0,0,0,0,2017,4
21416201519.0,3063791124.0,609140000.0,2478402858.0,0,221675063.0,612067237.0,1112658146.0,13610365270.0,20303543373.0,1112658146.0,0,1980313655.0,0,0,0,0,2018,1
21472371580.0,2912994714.0,609140000.0,4169095734.0,0,597786269.0,671497418.0,1558389938.0,2294201211.0,19913981642.0,1558389938.0,0,3185393155.0,0,0,0,0,2018,2
20751325370.0,2762198304.0,609140000.0,595839692.0,0,-139795797.0,608094984.0,918542625.0,2083644426.0,19832782745.0,918542625.0,0,941193843.0,0,0,0,0,2018,3
19815662672.0,2611401888.0,609140000.0,76468130.0,0,-487115989.0,923748375.0,469995916.0,1508429218.0,19345666756.0,469995916.0,0,723946111.0,0,0,0,0,2018,4
20918409318.0,2510870948.0,609140000.0,2377068039.0,0,229236723.0,1000072310.0,1398047796.0,990984720.0,19520361522.0,1398047796.0,0,1858098289.0,0,0,0,0,2019,1
21308109940.0,2309809068.0,609140000.0,3640442791.0,0,199276045.0,780568338.0,1588472373.0,1510919105.0,19719637567.0,1588472373.0,0,3299456055.0,0,0,0,0,2019,2
20176953885.0,2159012658.0,609140000.0,913800674.0,0,-41751288.0,784427099.0,499067606.0,1648221046.0,19677886279.0,499067606.0,0,984526450.0,0,0,0,0,2019,3
20433008532.0,2008216243.0,609140000.0,1077040917.0,0,121364527.0,1297741099.0,633761577.0,555115565.0,19799246955.0,633761577.0,0,817660474.0,0,0,0,0,2019,4
21199896174.0,1876467451.0,609140000.0,2687754870.0,0,144342302.0,1065095430.0,1439875013.0,622348850.0,19760021161.0,1439875013.0,0,2374678331.0,0,0,0,0,2020,1
21736604737.0,1744718659.0,609140000.0,2908206441.0,0,133904610.0,940512877.0,1842678966.0,287193204.0,19893925771.0,1842678966.0,0,2620409197.0,0,0,0,0,2020,2
20378162300.0,1612969867.0,609140000.0,1396329052.0,0,-104435252.0,507373368.0,588671699.0,916668358.0,19789490601.0,588671699.0,0,1210297029.0,0,0,0,0,2020,3
20802925793.0,1481221073.0,609140000.0,973092208.0,0,60645702.0,1233287991.0,952789490.0,3158680390.0,19850136303.0,952789490.0,0,831634343.0,0,0,0,0,2020,4
4699765827837.0,6186047776.0,691625000.0,2315277224.0,56012172994.0,55973836342.0,2985207657.0,2366683475493.0,261038478745.0,2333082352344.0,228734910767.0,2137948564726.0,1851071622.0,214068696.0,0,5300000000.0,1422856249999.0,2021,1
4710314101502.0,5806449692.0,678935000.0,1711157487.0,-3839549306.0,-1924744103.0,837662904.0,2377907085450.0,160759151480.0,2332407016052.0,231714770725.0,2146192314725.0,1935136878.0,-55728517728.0,529681061.0,20950000000.0,1431099999998.0,2021,2
5259605147312.0,5609673722.0,672590000.0,2640836610.0,693080226.0,336788229.0,573960809.0,2926700233212.0,478662811626.0,2332904914100.0,183476668485.0,2743223564727.0,1059278882.0,203120971.0,601666540.0,950000000.0,2028131250000.0,2021,3
5438741596768.0,5451988661.0,666245000.0,17152562346.0,4901335733.0,1260317811.0,1044001513.0,3103555287719.0,89454914244.0,2335186309049.0,348934961826.0,2754620325893.0,1025098058.0,203120970.0,26481125789.0,950000000.0,2039528011166.0,2021,4
5530843613511.0,5795860226.0,659900000.0,8721603496.0,1623797451.0,705478837.0,377119704.0,3194626126899.0,101997159548.0,2336217486612.0,433741134972.0,2760884991927.0,4291254184.0,201870969.0,18068746241.0,950000000.0,2045792677200.0,2022,1
5908488285436.0,8791950990.0,871024000.0,23482987063.0,2818238255.0,-430983330.0,657485399.0,3572021166872.0,159265766608.0,2336467118564.0,1787675711765.0,1784345455107.0,3342249574.0,300182325.0,19111022143.0,620058098538.0,1454253140380.0,2022,2
6309261398639.0,8506166184.0,853805551.0,15662881871.0,2264195075.0,232915834.0,692632680.0,3971942508536.0,194363187011.0,2337318890103.0,2138078859904.0,1833863648632.0,2813465892.0,337263255.0,7951266186.0,644576073397.0,1503771333905.0,2022,3
6309261398639.0,8506166184.0,853805551.0,15662881871.0,2264195075.0,232915834.0,692632680.0,3971942508536.0,194363187011.0,2337318890103.0,2138078859904.0,1833863648632.0,2813465892.0,337263255.0,7951266186.0,644576073397.0,1503771333905.0,2022,4
