totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
446130876811.0,315813086932.0,16507495.0,175807607744.0,0,11665868114.0,28968321939.0,290343343783.0,1999627262.0,155787533028.0,175734779288.0,114608564495.0,134517519206.0,0,4418903845.0,103144875938.0,114608564495.0,2017,1
455517492039.0,301298686038.0,247256180.0,211548136635.0,0,13237623123.0,62703081297.0,302353986010.0,6057105913.0,153163506029.0,217073421515.0,85280564495.0,166287309742.0,0,3599349806.0,112630435799.0,85280564495.0,2017,2
445663049087.0,280416220606.0,222763014.0,203905052763.0,0,11850003625.0,54330176108.0,280649539433.0,13972442125.0,165013509654.0,225467474938.0,55182064495.0,157656778072.0,0,3533763055.0,108640238693.0,55182064495.0,2017,3
476116749725.0,264931941576.0,198269847.0,210621126573.0,0,34329771300.0,70039460868.0,293255557271.0,45898554680.0,182861192454.0,213597492776.0,79658064495.0,136063582333.0,0,3090377205.0,117229426750.0,74158064495.0,2017,4
443947733696.0,244607468660.0,173776680.0,213674597155.0,0,21190916729.0,65214372798.0,239895624513.0,17103975422.0,204052109183.0,194410060018.0,45485564495.0,159243410078.0,0,3020013136.0,105630254872.0,39985564495.0,2018,1
514429451798.0,226154453602.0,149283513.0,241981189038.0,0,21055892452.0,80365255311.0,322744508955.0,79765781196.0,191684942843.0,286624950255.0,36119558700.0,188272294548.0,0,2605314197.0,132037932694.0,30619558700.0,2018,2
429395038307.0,208957779348.0,128091846.0,257218502630.0,0,23250497461.0,60212346641.0,214459598003.0,27322505447.0,214935440304.0,187886598003.0,26573000000.0,202146684098.0,0,1027003631.0,68456671345.0,21073000000.0,2018,3
468797101784.0,193992006222.0,106900179.0,278270652859.0,0,25913699099.0,99766555463.0,266406168881.0,20146590970.0,202390932903.0,221167123206.0,45239045675.0,215633959766.0,0,1372187271.0,93775022389.0,39739045675.0,2018,4
400055589867.0,175904925818.0,85708512.0,208873574590.0,0,14019928290.0,67094841122.0,183644728674.0,5781126972.0,216410861193.0,141161582999.0,42483145675.0,171210342231.0,0,1485991182.0,39420617288.0,0,2019,1
415700716017.0,157827722992.0,64516845.0,219470005557.0,0,20715100545.0,56047112230.0,204464568353.0,44288103064.0,211236147664.0,171306468353.0,33158100000.0,169564157689.0,0,1098962472.0,40739895000.0,27658100000.0,2019,2
493393452453.0,164468915540.0,43325178.0,219701280248.0,0,9542485789.0,64099489279.0,272614819000.0,37213815446.0,220778633453.0,217624255022.0,54990563978.0,185258399941.0,0,1412856922.0,61313032471.0,49490563978.0,2019,3
518776063354.0,247508039620.0,22133511.0,327071072486.0,0,11608842710.0,58956134738.0,302870675691.0,8683612842.0,215905387663.0,232696466641.0,70174209050.0,284847244757.0,0,1753235147.0,76355537113.0,64674209050.0,2019,4
477326281124.0,227581354555.0,941844.0,172857719518.0,0,4889727166.0,47844341921.0,256317530257.0,18537864929.0,221008750867.0,183657754017.0,72659776240.0,146859346561.0,0,2606254685.0,67674574387.0,67159776240.0,2020,1
478051124775.0,245142058809.0,0,171743250387.0,0,8531457239.0,57699249597.0,264020110267.0,14232403157.0,214031014508.0,195880226577.0,68139883690.0,138556454342.0,0,2708938928.0,80783616956.0,62639883690.0,2020,2
480082598427.0,228319636198.0,0,180382865957.0,0,8393959844.0,70501586255.0,257658920999.0,33539975586.0,222423677428.0,197195416509.0,60463504490.0,147149636954.0,0,2292640898.0,63982398049.0,54963504490.0,2020,3
458527107589.0,240163669273.0,0,185766554766.0,0,6383622035.0,66038202194.0,235213837626.0,18026098865.0,223313269963.0,182187840036.0,53025997590.0,150624547786.0,0,2094278112.0,72191938895.0,47525997590.0,2020,4
418663909055.0,225066413519.0,0,152747504954.0,0,9315107319.0,56165489310.0,184683245323.0,18805985248.0,233980663732.0,144267217533.0,40416027790.0,122365275407.0,0,1689865862.0,61831378426.0,34916027790.0,2021,1
440794110697.0,213215893628.0,0,191376846657.0,0,16047929155.0,42283638737.0,198716547310.0,19039733233.0,242077563387.0,160048393920.0,38668153390.0,151073102940.0,0,1685472066.0,51258553592.0,33168153390.0,2021,2
479989761789.0,201938786836.0,0,215739628803.0,0,23276252623.0,37444397165.0,214635941561.0,24151937047.0,265353820228.0,181991006383.0,32644935178.0,165465741049.0,0,1469429269.0,66122462320.0,27144935178.0,2021,3
517398730694.0,209132038969.0,0,258827746039.0,0,19661811185.0,78635950044.0,233774864828.0,5249797956.0,283623865866.0,207596438560.0,26178426268.0,197558161492.0,0,1456364548.0,66955809000.0,22227521890.0,2021,4
509022575556.0,198134619342.0,0,296556980785.0,0,35983404252.0,44711563834.0,189329420975.0,41407658442.0,319693154581.0,166249121641.0,23080299334.0,221696029062.0,0,1244824406.0,41678471100.0,21127607190.0,2022,1
648891727079.0,193291431896.0,0,328636794950.0,0,42391959541.0,101946336764.0,310343400353.0,30428713506.0,338548326726.0,298922938719.0,11420461634.0,241868531174.0,0,1154959188.0,63637319928.0,9467769490.0,2022,2
619235923969.0,191575516097.0,0,363845603339.0,0,47420436040.0,94826193044.0,233267161203.0,34630037982.0,385968762766.0,228469767769.0,4797393434.0,266839659077.0,0,1127671265.0,44635306400.0,2844701290.0,2022,3
619235923969.0,191575516097.0,0,363845603339.0,0,47420436040.0,94826193044.0,233267161203.0,34630037982.0,385968762766.0,228469767769.0,4797393434.0,266839659077.0,0,1127671265.0,44635306400.0,2844701290.0,2022,4
