totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
1150903304511.0,732970832891.0,4638398296.0,244358461702.0,1752806898.0,1396965518.0,117865110563.0,701602560617.0,18690970444.0,449300743894.0,397861867952.0,303740692665.0,225630221701.0,12528820008.0,8201307389.0,77439725498.0,303510000000.0,2017,1
1055040077113.0,720514280952.0,4593410872.0,188956438353.0,4745597088.0,3585723919.0,121658638755.0,603936609300.0,27038742766.0,451103467813.0,312968203469.0,290968405831.0,166527877461.0,10339174068.0,7691384848.0,57062339565.0,290710000000.0,2017,2
1061853366859.0,711751952132.0,4548423448.0,201175783892.0,228212544.0,108711857.0,157500891744.0,610641187189.0,33681826893.0,451212179670.0,326072781358.0,284568405831.0,182241482255.0,14671685905.0,7392148137.0,60116835223.0,284310000000.0,2017,3
1027352165182.0,700071961627.0,4503436024.0,173960869775.0,-4544075013.0,-3711758188.0,158612911456.0,579768635310.0,34103316812.0,447583529872.0,289429544179.0,290339091131.0,163522138833.0,12485766143.0,7017453637.0,64110161663.0,277910000000.0,2017,4
1041310487577.0,687938300846.0,4458448600.0,161234476262.0,-964964852.0,-964964852.0,150040898587.0,595910176380.0,7234116752.0,445400311197.0,317741770549.0,278168405831.0,147281722048.0,12178648205.0,7351266885.0,148478459656.0,277910000000.0,2018,1
1002392546457.0,676812094891.0,4413461176.0,222804123194.0,1215108566.0,1128442860.0,122703624153.0,568321367400.0,14425663626.0,434071179057.0,305452961569.0,262868405831.0,210136287981.0,11171193379.0,3542470083.0,144235669599.0,262610000000.0,2018,2
987258315000.0,664092877344.0,4368473752.0,309767567585.0,177518334.0,111296185.0,103697627098.0,553075839758.0,27198281560.0,434182475242.0,336944813927.0,216131025831.0,284725008699.0,13075804971.0,12528860056.0,156976197693.0,215872620000.0,2018,3
944741407776.0,652528222074.0,4323486328.0,286386091825.0,8911443928.0,7105827648.0,117915183062.0,503453104885.0,26724721269.0,441288302891.0,292296777278.0,211156327607.0,260238508747.0,12020587694.0,3098580257.0,133339083803.0,210872620000.0,2018,4
980884438502.0,640905032192.0,4278498904.0,210847547644.0,1768114086.0,1406091269.0,117410382868.0,538084070278.0,12289752171.0,442800368224.0,328152440895.0,209931629383.0,190203765592.0,11823177306.0,7015219927.0,154730098665.0,209622620000.0,2019,1
926814473707.0,629491049356.0,4233511480.0,201752340050.0,-1146643071.0,-933923830.0,125737255089.0,495253079313.0,9005081589.0,431561394394.0,305444069930.0,189809009383.0,186275743733.0,11720970260.0,7081856398.0,143556482148.0,189500000000.0,2019,2
