totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
5290362602209.0,310984243511.0,162082911508.0,947183670334.0,0,24384051199.0,425967496407.0,3113973938712.0,361371593204.0,2176388663497.0,2542628260555.0,571345678157.0,867364791158.0,0,32423956886.0,2127159675756.0,571345678157.0,2017,1
5371972575070.0,302544489560.0,161350982470.0,1350107909162.0,0,50529509385.0,527012930537.0,3144194444418.0,273306405289.0,2227778130652.0,2528880527256.0,615313917162.0,1220799747023.0,0,55684776446.0,2146770776033.0,615285084213.0,2017,2
5483296954434.0,296536180796.0,160748464964.0,1484856451388.0,0,146041219332.0,788902854211.0,3108230924472.0,359432706655.0,2375066029962.0,2477286702420.0,630944222052.0,1249252193650.0,0,46792659993.0,2103042059457.0,630915316894.0,2017,3
5673296562721.0,322211780498.0,160264227888.0,1547987350402.0,0,128027013418.0,526293779238.0,3440717074704.0,437221597794.0,2232579488017.0,2836567367364.0,604149707340.0,1346192953569.0,0,43262784309.0,2466197151195.0,604120802182.0,2017,4
5866284011839.0,314387769679.0,179693636746.0,1252882631668.0,0,165622040730.0,491229397240.0,3478369679989.0,367800279273.0,2387914331850.0,2887129898899.0,591239781090.0,1025231637242.0,0,39517204013.0,2418706142658.0,591215962735.0,2018,1
6018637740742.0,310949664379.0,178910328070.0,1583389592543.0,0,147344563553.0,603433621257.0,3481696189007.0,437404337770.0,2536941551735.0,2903212727780.0,578483461227.0,1336325178976.0,0,47845603512.0,2468751857752.0,578452634586.0,2018,2
6282687435646.0,308979865838.0,178141053122.0,1428919363132.0,0,141951371839.0,875365336558.0,3601105425213.0,437404337770.0,2681582010433.0,3003344484349.0,597760940864.0,1192920357029.0,0,47572115054.0,2464316170095.0,597738517352.0,2018,3
6607967451090.0,626627123582.0,177371676224.0,2736322601006.0,0,172910311462.0,787981159104.0,3950581770640.0,437404337770.0,2657385680450.0,3413945040899.0,536636729741.0,2451625683910.0,0,48561767161.0,2636821314097.0,536614306229.0,2018,4
6568160784717.0,593624123134.0,176602299326.0,1774015316165.0,171648793482.0,153984752321.0,946248733706.0,3746805655916.0,318352396658.0,2821355128801.0,3365322680362.0,381482975554.0,1518759244552.0,23263907952.0,50290286660.0,2756225115608.0,381467265268.0,2019,1
6872506004875.0,568622353916.0,175832922428.0,1937623148632.0,77002694953.0,66460557544.0,1124812634005.0,3982032622879.0,259433124464.0,2890473381996.0,3622414607992.0,359618014887.0,1768635602023.0,22292254503.0,53235484626.0,2922364821000.0,359600549776.0,2019,2
7388131905217.0,702121804376.0,175133027011.0,1742138731721.0,69252579681.0,58279611660.0,1405717192899.0,4435164628851.0,236102448773.0,2952967276366.0,4080321416392.0,354843212459.0,1590059497023.0,25969762823.0,52741687547.0,3226463603242.0,354827215618.0,2019,3
7503053211774.0,700951079318.0,197971306641.0,2278932401310.0,32814305631.0,32960084472.0,1408092847140.0,4612924314886.0,581065301194.0,2890128896888.0,4106403208350.0,506521106536.0,2158618327274.0,29188132152.0,61586906214.0,3442766404020.0,506505109695.0,2019,4
7435151264424.0,686174264880.0,197041356651.0,1462560004824.0,15770835731.0,13284368403.0,1481889958452.0,4531374325878.0,253401993787.0,2903776938546.0,4013464254774.0,517910071104.0,1377924298601.0,29444204547.0,66845871761.0,3514249603961.0,517896926235.0,2020,1
7540156979337.0,735902593427.0,196184550272.0,1471943854321.0,29007741213.0,23373775965.0,1606839042985.0,4614015380839.0,459991759867.0,2926141598498.0,4132629749533.0,481385631306.0,1358192367817.0,29606665747.0,70559857550.0,3576622588993.0,481372486437.0,2020,2
7295664316137.0,752948484266.0,195279766634.0,1514646716844.0,35324634592.0,28523987774.0,1609151619264.0,4323084672109.0,308034506796.0,2958370648228.0,3860183503688.0,462901168421.0,1400813490037.0,30620247920.0,66915699724.0,3550274120001.0,462888023552.0,2020,3
7726326563058.0,705627520365.0,188355179136.0,1917605803479.0,40855333663.0,30616060679.0,1507786406159.0,4717489028131.0,539544086322.0,2992628539127.0,4268450169569.0,449038858562.0,1772398137932.0,31209620691.0,70865491109.0,3810258425140.0,449025713693.0,2020,4
7527154548377.0,687198103692.0,187450395498.0,1370810381326.0,23883088641.0,18922495432.0,1504424738202.0,4507358589272.0,400698247524.0,3013060304605.0,4086789590091.0,420568999181.0,1265268209563.0,32600689248.0,60920056794.0,3622971115550.0,420568999181.0,2021,1
7488603944469.0,671438494394.0,193935751655.0,1829857815730.0,40964628172.0,23732983574.0,1363133017875.0,4442116249348.0,580998623172.0,3039752040621.0,4080848987667.0,361267261681.0,1685695391403.0,31118664080.0,65834538271.0,3673023268388.0,361267261681.0,2021,2
7354331265310.0,670570121073.0,193030968017.0,1110944023208.0,15276203149.0,9426857990.0,1126181551074.0,4297933369605.0,520691007253.0,3049662241205.0,3946016042090.0,351917327515.0,1011280124072.0,30642413943.0,63204329091.0,3622881022493.0,351917327515.0,2021,3
7553939072564.0,654052262847.0,192126184379.0,1407235395724.0,100985468746.0,84548186246.0,1278604020897.0,4411331189124.0,520731018067.0,3134977862240.0,4075729348326.0,335601840798.0,1246095304224.0,29983672218.0,36110345779.0,3604353836123.0,335601840798.0,2021,4
