totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
357665972423.0,3237812941.0,16412410974.0,5460389371.0,-1143379641.0,-1143263805.0,33082333637.0,91432995838.0,12346441153.0,266232976585.0,88147195744.0,3285800094.0,5497654339.0,976094223.0,32454098.0,0,0,2017,1
323938491232.0,3190888117.0,16368325608.0,147005106611.0,7037651650.0,7037397523.0,55223490.0,50552201162.0,15667851032.0,273386290070.0,47285608684.0,3266592478.0,140025731758.0,909146273.0,-4261161.0,4412957930.0,0,2017,2
315955521340.0,3143963293.0,16324240242.0,79779241675.0,-3558066727.0,-3558066727.0,100678035.0,46127416222.0,7327874282.0,269828105118.0,42299753716.0,3827662506.0,82595162399.0,875672298.0,28192937.0,2135958892.0,0,2017,3
321882018679.0,3097038469.0,16280154876.0,69571399474.0,1396952213.0,1401717275.0,132496217.0,51107757226.0,6612174307.0,270774261453.0,47558059531.0,3549697695.0,66923527344.0,875672298.0,97786726.0,2807846082.0,0,2017,4
313706305906.0,3050113645.0,16236069510.0,43576446224.0,-215977021.0,-215878885.0,14430149680.0,43702184740.0,4150319325.0,270004121166.0,40306381284.0,3395803456.0,42403869609.0,875672298.0,26420454.0,7000000000.0,0,2018,1
370022052555.0,3003188821.0,16191984144.0,77860401916.0,1550504433.0,1550657244.0,14430149680.0,98582481616.0,5055369078.0,271439570939.0,93694277164.0,4888204452.0,74970073942.0,875672298.0,11932677.0,6773900826.0,0,2018,2
333302158145.0,2956263997.0,16147898778.0,21622971708.0,-700851526.0,-700731312.0,14430149680.0,62563438732.0,6162593348.0,270738719413.0,57600606730.0,4962832002.0,20726582403.0,875672298.0,38353131.0,4500000000.0,0,2018,3
435512754028.0,2909339173.0,16103813412.0,102091848224.0,54274426824.0,49247104692.0,20406160680.0,115395485267.0,12779811309.0,320117268761.0,110338729170.0,5056756097.0,44856597305.0,875672298.0,38353131.0,7900143000.0,0,2018,4
477514142854.0,2862414349.0,29198347853.0,40238286645.0,528423795.0,528558142.0,99977349741.0,155145440745.0,5519785469.0,322368702109.0,144098063248.0,11047377497.0,38793739645.0,875672298.0,523937699.0,48500000000.0,0,2019,1
739425041165.0,2815489525.0,29154262487.0,38628892159.0,691269293.0,244956053.0,23356031398.0,414114733964.0,46089098137.0,325310307201.0,139208182450.0,274906551514.0,36485692099.0,944665805.0,-78340282.0,9873823800.0,0,2019,2
1047764317104.0,2768564701.0,29110177121.0,144878385303.0,5844889276.0,4475479274.0,9906085458.0,718032089423.0,81509479004.0,329732227681.0,141756517894.0,576275571529.0,136814571123.0,875672298.0,93181651.0,53700000000.0,10000000000.0,2019,3
