totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
1526919260417.0,194737098886.0,70497595097.0,224325282509.0,32392025430.0,25913620344.0,228775246972.0,161909644462.0,119457216110.0,1365009615955.0,140447150544.0,21462493918.0,132328182041.0,8055499781.0,203336250.0,0,0,2017,1
1604589695560.0,199916184667.0,72478071476.0,275821072843.0,42232559391.0,33886347044.0,302739619724.0,245152577134.0,57771905003.0,1359437118426.0,224687205440.0,20465371694.0,154431733401.0,7987539050.0,56000000.0,20000000000.0,0,2017,2
1605513874297.0,195669975580.0,72711047860.0,250697852837.0,36407303628.0,29125842902.0,288901477484.0,217059671053.0,158942430047.0,1388454203244.0,196659299359.0,20400371694.0,150178905196.0,7707937703.0,359397252.0,0,0,2017,3
1773630879890.0,195155353779.0,72352698615.0,414611441709.0,35526692381.0,28434230496.0,282178900566.0,378316621650.0,106457131642.0,1395314258240.0,343855235956.0,34461385694.0,270542112095.0,7628111526.0,0,0,0,2017,4
1654543892221.0,199580722569.0,72015031448.0,253196411467.0,41098038401.0,32878430721.0,263827787393.0,238351203260.0,52021556963.0,1416192688961.0,203996684232.0,34354519028.0,148655178536.0,7293377884.0,930756426.0,0,0,2018,1
1662832011131.0,196341572908.0,71761862615.0,260376382424.0,38999259601.0,31064263290.0,324698630833.0,218959793224.0,34382507823.0,1443872217907.0,184213607530.0,34746185694.0,154651414687.0,7582842769.0,160095890.0,0,0,2018,2
1685577266684.0,194026130611.0,71420430449.0,296575894697.0,44179792075.0,35343833660.0,291658665204.0,206361215117.0,70548573320.0,1479216051567.0,172075124876.0,34286090241.0,178091445977.0,7680351463.0,185027397.0,0,0,2018,3
1774246689473.0,242576553974.0,72728279949.0,409036424108.0,49492347655.0,39396513957.0,289441723629.0,269634123949.0,190436654283.0,1504612565524.0,236477695853.0,33156428096.0,268156591484.0,7958520296.0,0,0,0,2018,4
1691081875358.0,239354916111.0,72245480782.0,273158800742.0,45402038838.0,36321631070.0,326125397240.0,150147678764.0,54699933760.0,1540934196594.0,130329638252.0,19818040512.0,158643520246.0,8991343506.0,248533117.0,10000000000.0,0,2019,1
1845456540362.0,240984005457.0,72094578634.0,285673308641.0,40936059005.0,32613981868.0,385074911270.0,374878347198.0,130417229768.0,1470578193164.0,360288111686.0,14590235512.0,182238103787.0,9305310091.0,449250124.0,79429192835.0,0,2019,2
1811443760472.0,251602549346.0,71586242265.0,327549481564.0,51043537281.0,41514809766.0,375266954606.0,304490757542.0,89902302626.0,1506953002930.0,296629961254.0,7860796288.0,206592959613.0,9702445967.0,1430543894.0,103554759837.0,0,2019,3
1847174315262.0,405881869551.0,71081861449.0,516072902917.0,65047475507.0,51936264089.0,350457017273.0,288285048243.0,75035614726.0,1558889267019.0,262453980527.0,25831067716.0,327060082844.0,13209558685.0,1599408685.0,37579456821.0,0,2019,4
1817055220512.0,400998131557.0,70985425659.0,303687071836.0,51392763113.0,41114210490.0,348913794139.0,217051743003.0,74700345226.0,1600003477509.0,192846925287.0,24204817716.0,176330803761.0,13213106840.0,970525650.0,60250436664.0,0,2020,1
1940314858656.0,394298756283.0,72220712093.0,288701691915.0,59298668488.0,47311395695.0,416507813325.0,353744041638.0,62826608175.0,1586570817018.0,330060890588.0,23683151050.0,181637325844.0,13400229562.0,782803622.0,79436427996.0,0,2020,2
2072198128470.0,388471239581.0,71845915195.0,290018255245.0,56634030171.0,50892901388.0,436689146946.0,439609437693.0,73019946995.0,1632588690777.0,418510655363.0,21098782330.0,175883784300.0,13337224965.0,1760476553.0,197512066450.0,0,2020,3
2096455266870.0,426699912381.0,76563304686.0,487014695785.0,88115875657.0,70378370716.0,424237469275.0,365969098434.0,85268705365.0,1730486168436.0,346932038104.0,19037060330.0,288524222538.0,13410404666.0,1893932549.0,130927621224.0,0,2020,4
2184511313531.0,455141486146.0,74599108179.0,296437024936.0,55179649468.0,41855494546.0,418195697176.0,412169650549.0,231417096746.0,1772341662982.0,208192590219.0,203977060330.0,172500002448.0,14689502063.0,1006738791.0,59647066183.0,184940000000.0,2021,1
2228838715648.0,461079628469.0,74313111600.0,317424198686.0,61766235346.0,49324501290.0,454201247683.0,532343531771.0,192194835779.0,1696495183877.0,437637392909.0,94706138862.0,180722250608.0,15079589827.0,1699660445.0,107581884350.0,92356000000.0,2021,2
2152587984005.0,448725286278.0,73923698023.0,256218759277.0,38175943329.0,31318990824.0,471327935382.0,424773809304.0,62625580395.0,1727814174701.0,330067670442.0,94706138862.0,167035753883.0,15370646806.0,1157821621.0,140564869184.0,92356000000.0,2021,3
2294700255306.0,436217826957.0,73581406779.0,396516724451.0,83737264077.0,66595888303.0,492074917415.0,500290192302.0,271272865376.0,1794410063004.0,408638192302.0,91652000000.0,258337374148.0,15272383746.0,1632092093.0,172142789243.0,91652000000.0,2021,4
2164190456046.0,437209140192.0,73333360200.0,314245194554.0,65985957162.0,52601305272.0,456457481071.0,317179087770.0,248779823918.0,1847011368276.0,317179087770.0,0,171610514005.0,14966782601.0,1720568848.0,156495025095.0,0,2022,1
2097230925296.0,429685378562.0,73094796393.0,354451561095.0,59256750325.0,46612118909.0,424349426301.0,327110925898.0,67242992545.0,1770119999398.0,327110925898.0,0,213356578851.0,15209620485.0,471826358.0,93600000000.0,0,2022,2
2189034194128.0,426705265713.0,73058605132.0,417849648535.0,72242423909.0,55789566045.0,400305829135.0,363124628685.0,64843710285.0,1825909565443.0,363124628685.0,0,245793796521.0,15166852442.0,653153461.0,131029213561.0,0,2022,3
2189034194128.0,426705265713.0,73058605132.0,417849648535.0,72242423909.0,55789566045.0,400305829135.0,363124628685.0,64843710285.0,1825909565443.0,363124628685.0,0,245793796521.0,15166852442.0,653153461.0,131029213561.0,0,2022,4
