totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
831329556164.0,2948937668.0,1215309847.0,84232586627.0,-8693392545.0,-8545155583.0,363055187055.0,700604186641.0,30570331452.0,130725369523.0,698430768135.0,2173418506.0,79856700603.0,359454649.0,5484155966.0,382438195474.0,667963960.0,2017,1
909622975780.0,2678964407.0,1215309847.0,387336620617.0,12433299893.0,9310099654.0,291432027474.0,773701690415.0,22577596894.0,135921285365.0,771222504878.0,2479185537.0,344202248151.0,357896523.0,9244870259.0,479321548869.0,0,2017,2
853907094725.0,2152097467.0,1215309847.0,190388143833.0,12433299893.0,-763901.0,268026222760.0,712817479580.0,22577596894.0,141089615145.0,710338294043.0,2479185537.0,179263084524.0,357896523.0,4209793991.0,433569038264.0,0,2017,3
884114951112.0,11185852136.0,1215309847.0,217452552694.0,3171881350.0,372815677.0,298588024027.0,706570124488.0,49481617950.0,177544826624.0,705024687442.0,1545437046.0,200398313365.0,1587118883.0,16601076220.0,450370583478.0,0,2017,4
826742846369.0,10479594382.0,1215309847.0,136576329184.0,115845589.0,54255435.0,316972069647.0,651190620777.0,41031925010.0,175552225592.0,651150638277.0,39982500.0,130445369655.0,752327820.0,4629024357.0,406761120147.0,0,2018,1
809228786561.0,10803736782.0,1215309847.0,164401985941.0,979274040.0,110857457.0,299299521347.0,635083821632.0,28177250302.0,174144964929.0,635043839132.0,39982500.0,156590229204.0,869642176.0,3817444210.0,477484095160.0,0,2018,2
808703646306.0,10051153050.0,1215309847.0,207905513150.0,177727221.0,132197468.0,305528248818.0,634426483909.0,25485789309.0,174277162397.0,621926655267.0,12499828642.0,202041510544.0,1701265272.0,2743343163.0,407816224258.0,0,2018,3
720834404932.0,9298569318.0,1215309847.0,288177305798.0,1596157994.0,845400888.0,206499635732.0,545679762971.0,6372946115.0,175154641961.0,545639780471.0,39982500.0,254916555922.0,752583732.0,25156896660.0,392463628822.0,0,2018,4
827082467266.0,8797181946.0,1215309847.0,150283635065.0,2181435006.0,198901389.0,262543080950.0,651664115700.0,31951618563.0,175418351566.0,651624133200.0,39982500.0,141590897028.0,501387372.0,1328626182.0,521846267661.0,0,2019,1
823347778595.0,7793743070.0,1215309847.0,225779300980.0,429315067.0,-128779182.0,215902336903.0,648060927532.0,69345694340.0,175286851063.0,648020945032.0,39982500.0,213922323630.0,1003438876.0,3700928080.0,517435312315.0,0,2019,2
852745021240.0,7650702730.0,1215309847.0,199027411785.0,272932896.0,-66911530.0,202334554125.0,677525081708.0,35947153244.0,175219939532.0,677485099208.0,39982500.0,193398844952.0,746248303.0,1088797233.0,477292335575.0,0,2019,3
