totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
415237931483.0,9717706365.0,1776514000.0,73102955222.0,0,11282049813.0,344048485572.0,315681770780.0,4472059746.0,99556160703.0,315681770780.0,0,53311219491.0,0,883545380.0,45494643935.0,0,2017,1
388273308798.0,9098890365.0,1742425000.0,68578624911.0,0,15116720917.0,329455044577.0,273600427178.0,7437738361.0,114672881620.0,273600427178.0,0,42750237354.0,0,861850981.0,32685815535.0,0,2017,2
349137679300.0,8518085365.0,1708336000.0,81959675169.0,0,17430851504.0,295281968209.0,217033946176.0,3369304768.0,132103733124.0,217033946176.0,0,49258748490.0,0,576462092.0,22740034698.0,0,2017,3
299384313284.0,8115317402.0,1674247000.0,112120576533.0,0,19182300987.0,232510811449.0,154399471495.0,12008372518.0,144984841789.0,154399471495.0,0,73987973501.0,0,457656965.0,20993291563.0,0,2017,4
300380015532.0,7863785767.0,1640158000.0,35829017141.0,0,12240331122.0,230477449911.0,149027364562.0,25319456443.0,151352650970.0,149027364562.0,0,17284385338.0,0,405822424.0,8343814563.0,0,2018,1
428217367870.0,16579304601.0,1606069000.0,65631849380.0,0,25667634383.0,218681383445.0,162162256006.0,45649298806.0,266055111864.0,156662256006.0,5500000000.0,27455013632.0,0,104605368.0,0,5500000000.0,2018,2
423806225422.0,15843554749.0,1571980249.0,76225949837.0,0,26609418105.0,197112212117.0,131141695453.0,23912329796.0,292664529969.0,125916695453.0,5225000000.0,34705169398.0,0,110904109.0,0,0,2018,3
457547312727.0,15149412185.0,1537891498.0,83950486797.0,0,25460073820.0,177455732464.0,137456740234.0,15857669575.0,320090572493.0,132506740234.0,4950000000.0,38190438655.0,0,108194393.0,0,4950000000.0,2018,4
441063903369.0,14503402819.0,1696416509.0,50149473859.0,0,16035401716.0,170543734216.0,104780894152.0,9470677426.0,336283009217.0,100105894152.0,4675000000.0,24513376931.0,0,118587330.0,1419287000.0,4675000000.0,2019,1
463297571433.0,13874370088.0,1672857980.0,67571827058.0,0,22106746564.0,151669060123.0,121854205862.0,9871756551.0,341443365571.0,118554205862.0,3300000000.0,35031870588.0,0,188087465.0,2833778400.0,3300000000.0,2019,2
458874395207.0,13245357722.0,1704792274.0,57266449497.0,0,19202439052.0,140490206077.0,90519577771.0,3582435733.0,368354817436.0,86394577771.0,4125000000.0,27049453948.0,0,185434061.0,12711913800.0,4125000000.0,2019,3
464023826833.0,12616345356.0,1684226278.0,81893526391.0,0,22498111432.0,117786624782.0,81139825452.0,20386457908.0,382884001381.0,77289825452.0,3850000000.0,43837612294.0,0,334054163.0,7539209900.0,3850000000.0,2019,4
457196548323.0,12027878521.0,1663660282.0,29377230885.0,0,7715334950.0,109595428100.0,67083986276.0,9034440736.0,390112562047.0,63508986276.0,3575000000.0,20061408498.0,0,114766089.0,0,3575000000.0,2020,1
464592935317.0,11592048487.0,1643094286.0,20281372499.0,0,7007936194.0,108483174423.0,134669216927.0,15111872045.0,329923718390.0,132469216927.0,2200000000.0,10855697886.0,0,94615068.0,1100000000.0,2200000000.0,2020,2
492854865396.0,11126786530.0,1622528290.0,23423030643.0,0,9881396165.0,111500969819.0,152954674549.0,23689654680.0,339900190847.0,150204674549.0,2750000000.0,12070274632.0,0,87336987.0,275000000.0,2750000000.0,2020,3
511134803217.0,10757860997.0,1601962294.0,43686589173.0,0,10261163721.0,111359944365.0,164436794636.0,11129627586.0,346698008581.0,162786794636.0,1650000000.0,25617790318.0,0,79188698.0,1100000000.0,1650000000.0,2020,4
558768012988.0,10306482040.0,6256278628.0,22258978324.0,0,8336500215.0,118639133671.0,203523953129.0,13801207990.0,355244059859.0,202148953129.0,1375000000.0,13059706659.0,0,71198630.0,1100000000.0,1375000000.0,2021,1
592887460697.0,9866233083.0,6155114407.0,60469047329.0,0,22833098204.0,102769480165.0,165606213687.0,121320875323.0,427281247010.0,164506213687.0,1100000000.0,24506624521.0,0,65502740.0,1100000000.0,1100000000.0,2021,2
729676607293.0,18281414737.0,6040094608.0,27921365886.0,0,11899411796.0,108570584786.0,287504254801.0,26634768283.0,442172352492.0,280708854801.0,6795400000.0,13618176874.0,0,1648217509.0,113932951328.0,6795400000.0,2021,3
1162987930443.0,21332210009.0,5925074809.0,56028089836.0,0,171612935207.0,122667345270.0,409836212149.0,83228860376.0,753151718294.0,402112132149.0,7724080000.0,40403367187.0,0,8864090599.0,164578192011.0,7724080000.0,2021,4
1281990001000.0,30240603644.0,5810055010.0,29065076063.0,0,61546255153.0,140241050912.0,416882057623.0,194213346887.0,865107943377.0,405696190200.0,11185867423.0,12111333578.0,0,4505218224.0,121133163487.0,11185867423.0,2022,1
551907026664.0,21700927248.0,30665000.0,64951985175.0,0,-85276470685.0,117823504063.0,189497667927.0,87233350615.0,362409358737.0,181160147927.0,8337520000.0,26186762121.0,0,-3876398191.0,5956165425.0,8337520000.0,2022,2
551907026664.0,21700927248.0,30665000.0,64951985175.0,0,-85276470685.0,117823504063.0,189497667927.0,87233350615.0,362409358737.0,181160147927.0,8337520000.0,26186762121.0,0,-3876398191.0,5956165425.0,8337520000.0,2022,3
551907026664.0,21700927248.0,30665000.0,64951985175.0,0,-85276470685.0,117823504063.0,189497667927.0,87233350615.0,362409358737.0,181160147927.0,8337520000.0,26186762121.0,0,-3876398191.0,5956165425.0,8337520000.0,2022,4
