totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
94155103594.0,12725090542.0,16267626377.0,50674894670.0,0,1044378179.0,29032494090.0,66810151586.0,2038331989.0,27344952008.0,54702637524.0,12107514062.0,46722556909.0,0,834423966.0,32516411435.0,4075726246.0,2017,1
87379243526.0,12487500362.0,16267626377.0,14773478683.0,0,709678110.0,31390741987.0,60695157270.0,831067570.0,26684086256.0,48095934617.0,12599222653.0,10559944637.0,0,587864939.0,25670137470.0,4075726246.0,2017,2
86737703279.0,11841027694.0,16267626377.0,15662054300.0,0,452084394.0,32280067079.0,59601532629.0,782360564.0,27136170650.0,48575601586.0,11025931043.0,12639970352.0,0,527053155.0,24285533499.0,3075726246.0,2017,3
90320232740.0,11006819812.0,16267626377.0,10541574500.0,0,334634823.0,36118914060.0,62849427267.0,7835938614.0,27470805473.0,53719988640.0,9129438627.0,7315780353.0,0,645968011.0,36294719277.0,1450787000.0,2017,4
86338759552.0,13109587404.0,16267626377.0,16954109164.0,0,405241456.0,31895195717.0,58475712623.0,469566344.0,27863046929.0,49291522205.0,9184190418.0,14039211131.0,0,596349025.0,32438794630.0,1450787000.0,2018,1
89779996445.0,12765002567.0,16267626377.0,10345692088.0,0,200766851.0,36620776760.0,62868927216.0,668304350.0,26911069229.0,51924246965.0,10944680251.0,7019133127.0,0,808155155.0,33107788203.0,3429304500.0,2018,2
88813159162.0,12645306320.0,16267626377.0,14718423127.0,0,322474426.0,34362407858.0,61725198403.0,1185790845.0,27087960759.0,50076328678.0,11648869725.0,11899957084.0,0,693072960.0,33515186324.0,4263539500.0,2018,3
90457760364.0,11659572514.0,16267626377.0,15339977293.0,0,867109763.0,39957547365.0,62631512240.0,5685076284.0,27826248124.0,55883222615.0,6748289625.0,13668396912.0,0,787276451.0,32725365137.0,2408352500.0,2018,4
102406897134.0,10670672026.0,16267626377.0,8434117613.0,0,263585285.0,51964081454.0,74317063725.0,315396882.0,28089833409.0,67840988614.0,6476075111.0,6348121103.0,0,741129510.0,35304116273.0,2408352500.0,2019,1
104494530839.0,9879704350.0,16267626377.0,41425293111.0,0,661089999.0,36545286426.0,76373150181.0,861698491.0,28121380658.0,69296975070.0,7076175111.0,38912832905.0,0,888175871.0,37788361691.0,1928452500.0,2019,2
101692869019.0,8913578968.0,16267626377.0,5982410691.0,0,71626934.0,39365748025.0,73499861427.0,2767184548.0,28193007592.0,68560828259.0,4939033168.0,5204811565.0,0,900832158.0,38680180547.0,1928452500.0,2019,3
107194310333.0,8106480846.0,16267626377.0,10487239276.0,0,393677999.0,49281677247.0,78607624742.0,3050167633.0,28586685591.0,74594464824.0,4013159918.0,6782581010.0,0,966121334.0,41643831505.0,1151567500.0,2019,4
90511820951.0,7848981591.0,16267626377.0,37826246368.0,0,905052432.0,29032582372.0,61020082928.0,246663848.0,29491738023.0,57006923010.0,4013159918.0,34030029021.0,0,690623713.0,33664887048.0,1151567500.0,2020,1
94331353150.0,7488151485.0,16267626377.0,15867814996.0,0,379147337.0,29995970834.0,65046243312.0,4843478967.0,29285109838.0,61285483394.0,3760759918.0,12660527225.0,0,800541215.0,36365022694.0,899167500.0,2020,2
122702344866.0,8323070474.0,16267626377.0,7187862454.0,0,101086488.0,60947900052.0,93316148540.0,670065001.0,29386196326.0,89212751797.0,4103396743.0,4366513735.0,0,935704549.0,40438701207.0,1379067500.0,2020,3
154284232736.0,7727706695.0,16267626377.0,72825505135.0,0,1605847827.0,44015569399.0,123734510771.0,134567397.0,30549721965.0,118667144028.0,5067366743.0,68108726137.0,0,1116348575.0,50083328330.0,2343037500.0,2020,4
152692399378.0,7039918936.0,16267626377.0,78151837670.0,0,1863041660.0,26998531320.0,120279635753.0,1584515237.0,32412763625.0,113457813410.0,6821822343.0,72605411935.0,0,997019296.0,48754973728.0,1449522500.0,2021,1
142877288150.0,6402597556.0,16267626377.0,13567351205.0,0,103496169.0,24175483275.0,111110125264.0,3190903243.0,31767162886.0,104943495421.0,6166629843.0,10331368821.0,0,1199582064.0,51025483935.0,794330000.0,2021,2
142229868209.0,5917721789.0,16267626377.0,6919936135.0,0,47089967.0,25270308329.0,110415615356.0,2523495723.0,31814252853.0,104089798306.0,6325817050.0,4765296316.0,0,1032184938.0,50285529011.0,1449522500.0,2021,3
141088988253.0,5521220576.0,16267626377.0,8415615712.0,0,81418983.0,30235964904.0,109510248464.0,1540009145.0,31578739789.0,104006063914.0,5504184550.0,4600456639.0,0,1057959385.0,50789571971.0,627890000.0,2021,4
132843522979.0,5082994460.0,16267626377.0,6607423565.0,0,95033767.0,30026599194.0,101169749423.0,3860912681.0,31673773556.0,96110386212.0,5059363211.0,3546825292.0,0,1000694362.0,50298162382.0,627890000.0,2022,1
134110290167.0,4646434716.0,16267626377.0,15132731043.0,0,36199774.0,23193989891.0,103110546356.0,379134143.0,30999743811.0,100951246481.0,2159299875.0,13323745391.0,0,1073984996.0,50256807251.0,461450000.0,2022,2
134581195779.0,4855537392.0,16267626377.0,5505841962.0,0,2412449.0,24778885461.0,103579039520.0,1941489280.0,31002156259.0,101253299645.0,2325739875.0,2714913334.0,0,1049334626.0,53426445802.0,627890000.0,2022,3
