totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
489110541150.0,153778308006.0,2684624376.0,90506167937.0,12877519956.0,4820070941.0,39440904905.0,189848053018.0,61017309716.0,299262488132.0,181652804607.0,8195248411.0,64295234588.0,9087599063.0,79440951.0,3836462500.0,7208748411.0,2017,1
480110828032.0,150320964267.0,2640954972.0,175711375454.0,27638981118.0,12109559144.0,38300054344.0,183093373336.0,45457959501.0,297017454696.0,175549034925.0,7544338411.0,131346289163.0,9857595208.0,127487615.0,4244762500.0,6557838411.0,2017,2
515692718196.0,157661836686.0,20597285568.0,145605240402.0,18603271920.0,8765155507.0,42358638608.0,204369535745.0,37893202607.0,311323182451.0,196877497334.0,7492038411.0,110033950556.0,10215594461.0,177262781.0,24031409279.0,6505538411.0,2017,3
538732477930.0,166865898389.0,21261990154.0,301582185298.0,12663388122.0,4608891494.0,47713043352.0,216654125415.0,70632789562.0,322078352515.0,211324624443.0,5329500972.0,268567227187.0,10612941759.0,177262781.0,2577762500.0,4343000972.0,2017,4
492330730880.0,166277050662.0,21005927616.0,147607557749.0,15364277584.0,7539037109.0,66986422684.0,158665612143.0,31280871454.0,333665118737.0,155241830949.0,3423781194.0,119235271880.0,10677238259.0,44923585.0,3480022500.0,2437281194.0,2018,1
524041580073.0,192455832320.0,20999865078.0,264776188591.0,31392061195.0,14446684736.0,73674274948.0,177599223041.0,40511342323.0,346442357032.0,176612723041.0,986500000.0,211375242453.0,11348909536.0,122137403.0,5883604752.0,0,2018,2
509334258231.0,186023559167.0,20993802540.0,209284122925.0,18052678765.0,6726990230.0,55511161222.0,149387706579.0,53108062533.0,359946551652.0,147699406579.0,1688300000.0,178864631296.0,11403900211.0,38505604.0,3045639500.0,701800000.0,2018,3
554591042585.0,188284306397.0,24288938023.0,266461175008.0,19995734590.0,10415974162.0,46868461240.0,190341109871.0,84646130506.0,364249932714.0,189354609871.0,986500000.0,231298989630.0,11834809560.0,36223154.0,1831365000.0,0,2018,4
545208756126.0,198206394009.0,22450038853.0,144992228092.0,28315709311.0,16467277793.0,72485332810.0,161318374514.0,48572900077.0,383890381612.0,160118458014.0,1199916500.0,116441136422.0,11681486170.0,61394746.0,17077941406.0,213416500.0,2019,1
605321249139.0,225047716345.0,22411139683.0,226964249996.0,23629428662.0,11051178112.0,72491816084.0,210090991474.0,77241008774.0,395230257665.0,208476502014.0,1614489460.0,183457852362.0,12285614815.0,166355572.0,2671816100.0,298339460.0,2019,2
604128361628.0,239196234391.0,22372240513.0,169881253663.0,18464304070.0,8781860459.0,74008209362.0,194263516969.0,63052009969.0,409864844659.0,193098677509.0,1164839460.0,138645101890.0,13428053278.0,41831209.0,1941816100.0,178339460.0,2019,3
642402666568.0,244570210450.0,24736832578.0,211875382531.0,28529314428.0,15577258805.0,63807410681.0,223945869442.0,111380755556.0,418456797126.0,222162029982.0,1783839460.0,164791042437.0,13092392054.0,29832017.0,1271300000.0,797339460.0,2019,4
638466052388.0,238631073860.0,24669766293.0,149450401209.0,20569703441.0,10112870970.0,80506810100.0,205944500030.0,76862245731.0,432521552358.0,204785460570.0,1159039460.0,115729777053.0,14076739238.0,33720828.0,1975400000.0,172539460.0,2020,1
657196768499.0,240753752331.0,24607536405.0,243943271412.0,38788116709.0,22133614996.0,66842479579.0,206271916009.0,112786621335.0,450924852490.0,205285416009.0,986500000.0,186421102414.0,14107732866.0,31532042.0,2094900000.0,0,2020,2
650915359305.0,228171686414.0,25961476931.0,164844939784.0,24371120949.0,13276738317.0,71552171493.0,184767057597.0,102796231614.0,466148301708.0,183780557597.0,986500000.0,124122282865.0,14454987776.0,0,715000000.0,0,2020,3
732477536634.0,277751842842.0,25890817457.0,286380928675.0,26800204252.0,16440140307.0,67971122955.0,258252520827.0,108412908793.0,474225015807.0,257266020827.0,986500000.0,232072268013.0,14727338240.0,12750833.0,1055000000.0,0,2020,4
703465794161.0,297447311741.0,33418534739.0,221134329442.0,29435098665.0,15319337107.0,79202192720.0,224808223851.0,89423353624.0,478657570310.0,213949628117.0,10858595734.0,173556239189.0,16002748097.0,17237639.0,965000000.0,5650000000.0,2021,1
735507813717.0,319306716402.0,40550237826.0,289323742941.0,42352911002.0,22614079384.0,88446329975.0,228619034327.0,77702005023.0,506888779390.0,217036019793.0,11583014534.0,219529999541.0,17154915017.0,20373036.0,2104116842.0,6350000000.0,2021,2
801192394837.0,338651263239.0,40217167938.0,260286809071.0,34121590565.0,18000188108.0,87003621289.0,266736141030.0,104367912930.0,534456253807.0,259377545296.0,7358595734.0,202349320824.0,18283110882.0,6920420.0,1500000000.0,2150000000.0,2021,3
914321238584.0,328493515361.0,40155869505.0,287516503595.0,3892712178.0,5451237914.0,96193602447.0,396162219656.0,195260303772.0,518159018928.0,390953623922.0,5208595734.0,257582060282.0,18518230934.0,40245672.0,1375000000.0,0,2021,4
865483507826.0,323956267311.0,40038800403.0,237593531601.0,25855935223.0,12698624602.0,116422828311.0,328674800541.0,71802753356.0,536808707285.0,323466204807.0,5208595734.0,191694407199.0,18766578376.0,14315000.0,1242000000.0,0,2022,1
