totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
1796082886567.0,229851173143.0,6126051393.0,134063976289.0,0,1131122619.0,394105224052.0,1279694106825.0,98990922157.0,516388779742.0,1172104921424.0,107589185401.0,111445753798.0,0,11927184867.0,595104387111.0,50616305254.0,2017,1
1821360992996.0,224731444847.0,6111397878.0,299316469892.0,0,-879869231.0,375016540786.0,1310544521999.0,23679056072.0,510816470997.0,1227066666919.0,83477855080.0,280040428575.0,0,13856627515.0,589367755517.0,74496870583.0,2017,2
1880445222557.0,228569529968.0,6321406482.0,275091756670.0,0,109064828.0,416878265588.0,1367197782331.0,9201016673.0,513247440226.0,1292955846184.0,74241936147.0,251798088108.0,0,13673198856.0,627649577362.0,62081948169.0,2017,3
2180129215384.0,223396274147.0,6292389895.0,490235537803.0,0,4374537108.0,433712465322.0,1669382008257.0,92383571988.0,510747207127.0,1553630517540.0,115751490717.0,470647598342.0,0,5723767949.0,633492972405.0,54530208348.0,2017,4
2223547794311.0,215819348738.0,3685843267.0,290422477334.0,0,2161191179.0,454271793087.0,1702532082579.0,48399360776.0,521015711732.0,1519355079425.0,183177003154.0,272445626513.0,0,8759708261.0,704091039491.0,106209995397.0,2018,1
2569177514835.0,210156185955.0,3652548128.0,450672209401.0,0,153784223.0,443413280421.0,2046691732548.0,72279266824.0,522485782287.0,1889044322827.0,157647409721.0,432010590810.0,0,18981863997.0,781782067594.0,69170832906.0,2018,2
2875644405383.0,205466022606.0,3619252989.0,276917188346.0,0,1277343022.0,562309079432.0,2334244080365.0,103824401390.0,541400325018.0,2135007303131.0,199236777234.0,253337355736.0,0,12089052440.0,860879472677.0,72625653697.0,2018,3
3499882429449.0,210017399859.0,3585957850.0,696614359852.0,0,16751955844.0,609195771553.0,2938862395730.0,49712969380.0,561020033719.0,2500790082746.0,438072312984.0,639432526459.0,0,23128631662.0,859973977625.0,373132453405.0,2018,4
3705150754539.0,208312068927.0,4005507123.0,509793228024.0,0,2046483574.0,606070849015.0,3140544794646.0,31578323664.0,564605959893.0,2475641187113.0,664903607533.0,480175788921.0,0,12387842298.0,872824976390.0,616313939489.0,2019,1
3951181516138.0,203924582943.0,3981532797.0,544451098130.0,0,3135904936.0,500532637944.0,3381239166307.0,26393524983.0,569942349831.0,2491696900589.0,889542265718.0,509783580396.0,0,18126745630.0,893241498128.0,821757108800.0,2019,2
4040354812672.0,1130215002497.0,3957558471.0,407420701280.0,0,844343036.0,485109041729.0,3468451833581.0,31444431954.0,571902979091.0,2492989126430.0,975462707151.0,374754196058.0,0,18817096053.0,882152568589.0,888030468789.0,2019,3
4290189662404.0,1177232699432.0,3933584145.0,763305829737.0,0,22798756512.0,425008166095.0,3695575706285.0,34417111883.0,594613956119.0,2679103799915.0,1016471906370.0,673835496550.0,0,57715586108.0,902348036116.0,938282160373.0,2019,4
4605136529072.0,1157418444343.0,3878345091.0,227199890132.0,0,176453526.0,852596433195.0,4042026455657.0,22690287597.0,563110073415.0,2091467663161.0,1950558792496.0,183374208046.0,0,31943637736.0,909429950911.0,981129277339.0,2020,1
4529417622154.0,1140673563578.0,3853187091.0,856377466572.0,0,9055161513.0,613450349021.0,3958499261167.0,19338759787.0,570918360987.0,2274437848790.0,1684061412377.0,784323667950.0,0,45597671372.0,899231160230.0,977077503902.0,2020,2
