totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
232282288072.0,45570558597.0,639631983.0,47246328250.0,4986415871.0,3989132697.0,23343813917.0,56515541395.0,6412397484.0,175766746677.0,51867874279.0,4647667116.0,35577264016.0,1358279196.0,408637553.0,20860104102.0,4647667116.0,2017,1
238461496029.0,44831160994.0,637631982.0,46391268206.0,1309585746.0,1053167997.0,28244293817.0,71339211668.0,9567024553.0,167122284361.0,69725044962.0,1614166706.0,38740491517.0,1383138514.0,492731814.0,24501812191.0,1614166706.0,2017,2
246971964647.0,43689582535.0,635631981.0,56377234235.0,3537789357.0,2830231486.0,28175317118.0,77019448800.0,9992820238.0,169952515847.0,74921781664.0,2097667136.0,46864494590.0,1376136231.0,529746018.0,26901047896.0,2097667136.0,2017,3
238453439783.0,43500387354.0,633632000.0,45201913630.0,9703223635.0,8096402955.0,28822795321.0,60404520981.0,10190386135.0,178048918802.0,59575353830.0,829167151.0,38937081806.0,1376714696.0,549839109.0,22912681143.0,829167151.0,2017,4
239974015106.0,42131566971.0,633632000.0,47865830936.0,3415125703.0,2744583962.0,36719590538.0,59070807056.0,12212073308.0,180903208050.0,58241639905.0,829167151.0,39199081055.0,1395474817.0,421115569.0,23743682379.0,829167151.0,2018,1
238879355190.0,40731026700.0,633632000.0,38183525172.0,2248857501.0,2047648201.0,38802470577.0,55928498939.0,7432197581.0,182950856251.0,55772943357.0,155555582.0,33011880040.0,1405085737.0,462114035.0,25527458119.0,155555582.0,2018,2
252507493361.0,40391701640.0,633632000.0,46812072705.0,2981637775.0,2383902220.0,39270123743.0,68028154310.0,15738310548.0,184479339051.0,68028154310.0,0,38522881825.0,1393815179.0,629526469.0,33874440658.0,0,2018,3
244585877865.0,37746626617.0,633632000.0,47806839376.0,4315747203.0,3501081162.0,40060443035.0,56605457652.0,14985555770.0,187980420213.0,56605457652.0,0,39157212583.0,1365364530.0,440707035.0,26012884727.0,0,2018,4
262661645539.0,36761298783.0,633632000.0,47512032066.0,5383107182.0,4316472466.0,39402264566.0,70305512532.0,18110931173.0,192356133007.0,70305512532.0,0,40398986146.0,1347556611.0,556674035.0,30104357573.0,0,2019,1
259300500433.0,35477867585.0,633632000.0,35114763318.0,2432494755.0,2112795922.0,38527164121.0,73475090004.0,17333094097.0,185825410429.0,73475090004.0,0,30160803071.0,1345614607.0,496008095.0,23453998568.0,0,2019,2
257975111857.0,34186417998.0,633632000.0,41296105106.0,3761873566.0,3009465574.0,39037362109.0,69140235854.0,11040178992.0,188834876003.0,69140235854.0,0,34803276696.0,1337078047.0,443731345.0,23451804822.0,0,2019,3
256684017057.0,32979292566.0,633632000.0,33190821003.0,3189467752.0,2556470974.0,40748421459.0,65292670080.0,20604167597.0,191391346977.0,65292670080.0,0,25817041358.0,1316945432.0,443654130.0,26336017375.0,0,2019,4
246972765621.0,32030022700.0,633632000.0,30610769793.0,19538327.0,15630662.0,43948150734.0,63094651329.0,8426333816.0,183878114292.0,63094651329.0,0,25740972077.0,1292808396.0,545458374.0,27147884286.0,0,2020,1
234775321683.0,30763976911.0,633632000.0,21240229108.0,-643212269.0,-639304604.0,37392766298.0,55759082404.0,11936149001.0,179016239279.0,55759082404.0,0,20104013623.0,1301085789.0,425573103.0,19612299592.0,0,2020,2
240617643324.0,29471950627.0,633632000.0,36738304833.0,247408885.0,247408885.0,35653577781.0,61353995160.0,12045583521.0,179263648164.0,61353995160.0,0,32118322121.0,1292026284.0,361580529.0,14506817630.0,0,2020,3
229459656992.0,30380906304.0,633632000.0,27123097587.0,1581324665.0,1405196943.0,31287169900.0,48790811885.0,7414808575.0,180668845107.0,48790811885.0,0,23047120612.0,1301344057.0,229344724.0,10516613340.0,0,2020,4
230939906268.0,28523192035.0,633632000.0,22001929521.0,-2099998780.0,-2099998780.0,28590849587.0,52289492857.0,13547407959.0,178650413411.0,52289492857.0,0,21074388646.0,1340836122.0,229579402.0,12585699646.0,0,2021,1
226935212778.0,26929910388.0,633632000.0,23069461453.0,-2099998780.0,-1882551463.0,27728539362.0,50501672820.0,13547407959.0,176433539958.0,50501672820.0,0,20173854734.0,1340836122.0,152189561.0,7434058612.0,0,2021,2
218887487583.0,25583425580.0,1966521000.0,27410773437.0,-505607583.0,-505607583.0,13332102340.0,70561383961.0,7837573626.0,148326103622.0,70561383961.0,0,25142145642.0,1405937808.0,83494459.0,0,0,2021,3
183428712454.0,24215457417.0,1933370000.0,17147477557.0,-5306088884.0,-5306088887.0,13195504553.0,40408697716.0,13274944125.0,143020014738.0,40408697716.0,0,18555754566.0,1401119163.0,0,0,0,2021,4
177404380075.0,23046873254.0,1727615000.0,17022064984.0,-625052466.0,-625052466.0,13050600789.0,38279376750.0,5936681509.0,139125003325.0,38279376750.0,0,15380987281.0,1374339163.0,27026540.0,586405566.0,0,2022,1
154909708017.0,22043930820.0,1628162000.0,19717050809.0,-3784004517.0,-3784004517.0,12751762627.0,19568709209.0,5993893521.0,135340998808.0,19568709209.0,0,16228847982.0,1362118504.0,33705731.0,1076072181.0,0,2022,2
168339316673.0,22512991547.0,1528709000.0,20797904393.0,12553218642.0,12553218642.0,12113297318.0,20445099224.0,4916976459.0,147894217449.0,20445099224.0,0,17872283878.0,-3956400614.0,28119384.0,0,0,2022,3
168339316673.0,22512991547.0,1528709000.0,20797904393.0,12553218642.0,12553218642.0,12113297318.0,20445099224.0,4916976459.0,147894217449.0,20445099224.0,0,17872283878.0,-3956400614.0,28119384.0,0,0,2022,4
