totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
132331916454.0,5122194925.0,0,56053847818.0,1088939114.0,871151291.0,23289138892.0,32613675613.0,11391472066.0,99718240841.0,32438675613.0,175000000.0,53828021074.0,342738003.0,0,131250000.0,175000000.0,2017,1
228916102009.0,24388198164.0,0,95822438053.0,393322029.0,309857623.0,20393053471.0,8971603545.0,11317445857.0,219944498464.0,8763791045.0,207812500.0,93986650383.0,698916425.0,46043142.0,1565625000.0,207812500.0,2017,2
228754803008.0,23536136043.0,0,108313395830.0,100446199.0,39533866.0,38537649348.0,8770770678.0,17891577459.0,219984032330.0,8562958178.0,207812500.0,106587182838.0,852062121.0,15488822.0,32812500.0,207812500.0,2017,3
25882788384614.0,22687888740.0,0,179163641202.0,100446199.0,782077040.0,21847376954.0,38081800677.0,17891577459.0,220746083169.0,38081800677.0,0,176654294637.0,852062121.0,12252811.0,0,0,2017,4
302526986848.0,21839641437.0,0,127181772049.0,100446199.0,140160327.0,61172137652.0,81780070462.0,17891577459.0,220746916386.0,81780070462.0,0,125521538421.0,852062121.0,90855705.0,6700000000.0,0,2018,1
255476016188.0,23659659966.0,0,140618175924.0,100446199.0,2293669331.0,38073207924.0,32727735555.0,17891577459.0,222748280633.0,32727735555.0,0,136371123387.0,852062121.0,152470467.0,8450000000.0,0,2018,2
255864486426.0,22735176495.0,0,64617563031.0,100446199.0,7204387686.0,40573594525.0,24727118107.0,17891577459.0,231137368319.0,24727118107.0,0,54610315804.0,852062121.0,0,8450000000.0,0,2018,3
504662677581.0,22162159675.0,0,167250484231.0,100446199.0,4517543780.0,47427561741.0,70285637680.0,17891577459.0,434377039901.0,70285637680.0,0,160110794150.0,852062121.0,0,8450000000.0,0,2018,4
566815330604.0,21246298419.0,0,127326010415.0,100446199.0,906724626.0,61569574518.0,91435256430.0,17891577459.0,475380074174.0,91435256430.0,0,125066264363.0,852062121.0,0,7550000000.0,0,2019,1
518625280888.0,20332381614.0,0,112101887776.0,100446199.0,1690912788.0,58131757130.0,41525164523.0,17891577459.0,477100116365.0,41525164523.0,0,108560457936.0,852062121.0,252892437.0,8000000000.0,0,2019,2
503300188695.0,19418464809.0,0,110216973093.0,100446199.0,3921677853.0,64927279778.0,22255072855.0,17891577459.0,481045115840.0,22255072855.0,0,103998234535.0,852062121.0,0,8000000000.0,0,2019,3
520478242458.0,54641280509.0,0,313297654162.0,100446199.0,14660468826.0,45556401876.0,65086282308.0,17891577459.0,455391960150.0,64139448976.0,946833332.0,296860537653.0,852062121.0,0,16500000000.0,946833332.0,2019,4
554448006088.0,52535890484.0,0,165669094828.0,100446199.0,12858145198.0,67868839467.0,86201965722.0,17891577459.0,468246040366.0,85502132398.0,699833324.0,148318041528.0,852062121.0,0,18783250006.0,699833324.0,2020,1
527200619350.0,50430500459.0,0,198549319640.0,100446199.0,12603862041.0,86409587755.0,46350716943.0,17891577459.0,480849902407.0,45774383623.0,576333320.0,181104800103.0,852062121.0,726473117.0,18375000008.0,576333320.0,2020,2
544669076527.0,48337261163.0,0,76625100216.0,100446199.0,1501690629.0,97518928495.0,62317483491.0,17891577459.0,482351593036.0,61802900173.0,514583318.0,72626414572.0,852062121.0,0,16937000008.0,514583318.0,2020,3
786256078132.0,46260423142.0,0,276392788859.0,100446199.0,1739487954.0,92832258191.0,52454786979.0,17891577459.0,733801291153.0,52001953663.0,452833316.0,272723680551.0,852062121.0,0,12870000008.0,452833316.0,2020,4
766760789882.0,48799335114.0,0,197288403961.0,100446199.0,1583848880.0,94253279027.0,31375649849.0,17891577459.0,735385140033.0,28673866533.0,2701783316.0,193541907483.0,852062121.0,0,9248250006.0,2701783316.0,2021,1
800437347955.0,46685913753.0,0,127354220408.0,100446199.0,11234363561.0,112629065249.0,53817844360.0,17891577459.0,746619503595.0,51821186048.0,1996658312.0,111637252252.0,852062121.0,288771221.0,712300008.0,1996658312.0,2021,2
843875028010.0,60528017154.0,0,228673434825.0,100446199.0,15540601557.0,117170258550.0,81714922859.0,17891577459.0,762160105151.0,79718264547.0,1996658312.0,207817933806.0,852062121.0,0,13296225006.0,1996658312.0,2021,3
904545301238.0,57837890079.0,0,330175036254.0,100446199.0,53662305568.0,191936313594.0,89010199869.0,17891577459.0,815535101369.0,87013541557.0,1996658312.0,269655752437.0,852062121.0,0,27297950004.0,1996658312.0,2021,4
918477041534.0,55147540762.0,0,196417248194.0,100446199.0,24282844499.0,193022285258.0,78659095666.0,17891577459.0,839817945868.0,77018587358.0,1640508308.0,169605110983.0,852062121.0,0,8986025006.0,1640508308.0,2022,1
1333645762803.0,52467413686.0,0,367652506264.0,100446199.0,25826530264.0,259900614642.0,68133694078.0,17891577459.0,1265512068725.0,66849335774.0,1284358304.0,333883189977.0,852062121.0,609782426.0,25364100008.0,1284358304.0,2022,2
1428518843355.0,50238478494.0,200340000.0,353582448891.0,100446199.0,24351022893.0,327319942940.0,136665219215.0,17891577459.0,1291853624140.0,135558935913.0,1106283302.0,321272419159.0,852062121.0,421351605.0,21626100008.0,1106283302.0,2022,3
1428518843355.0,50238478494.0,200340000.0,353582448891.0,100446199.0,24351022893.0,327319942940.0,136665219215.0,17891577459.0,1291853624140.0,135558935913.0,1106283302.0,321272419159.0,852062121.0,421351605.0,21626100008.0,1106283302.0,2022,4
