totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
535713277488.0,5523967059.0,746493800.0,18801417182.0,7302425462.0,5998155237.0,4957500.0,44805934545.0,8396127781.0,490907342943.0,44544232518.0,261702027.0,16945277355.0,582853543.0,625674459.0,26181713869.0,0,2017,1
625104477547.0,5302564905.0,0,22419066344.0,4133137132.0,3496024539.0,0,133001110065.0,11718711807.0,492103367482.0,32230907038.0,100770203027.0,19942411816.0,608581725.0,467855967.0,10729545754.0,100518501000.0,2017,2
641189761423.0,6872805071.0,0,14823936961.0,4293447631.0,3336203081.0,4700000.0,145750190860.0,13833890624.0,495439570563.0,45834864753.0,99915326107.0,13458422127.0,670362495.0,3165945294.0,19527470725.0,99654000000.0,2017,3
641908420531.0,6558731762.0,0,14358655022.0,-258535051.0,-339275732.0,0,149665698776.0,13278714670.0,492242721755.0,49325706749.0,100339992027.0,13270700882.0,706190576.0,2792110714.0,19373618555.0,100102010000.0,2017,4
637559823309.0,6244658453.0,0,12624892874.0,15448208798.0,12359258164.0,4535000.0,132956344797.0,8939847452.0,504603478512.0,33026422256.0,99929922541.0,11956941557.0,699606992.0,3673419331.0,656255000.0,99675000000.0,2018,1
647545822649.0,5930585144.0,0,14581159514.0,13825506104.0,11717898081.0,0,131874446056.0,9014086972.0,515671376593.0,31368454237.0,100505991819.0,14014037294.0,698784048.0,2938592349.0,145830000.0,100261010000.0,2018,2
664237167343.0,5616511835.0,0,14864699620.0,22811577416.0,19398455712.0,4789000.0,145534880038.0,7643338159.0,518702287305.0,45458178219.0,100076701819.0,14407070520.0,698784048.0,2809860519.0,7244136549.0,99868500000.0,2018,3
766318459430.0,5302438526.0,0,12854731810.0,-8503045318.0,-6937119107.0,1460167.0,255106211714.0,6413169093.0,511212247716.0,154319754148.0,100786457566.0,12468149824.0,698784048.0,3215453703.0,121082825451.0,99913500000.0,2018,4
763932100717.0,3677497126.0,0,9844582178.0,-4774233266.0,-4822309981.0,4801167.0,258400964045.0,9363041905.0,505531136672.0,157455582376.0,100945381669.0,9317641397.0,624761535.0,6178378036.0,127057652730.0,99958500000.0,2019,1
676431309069.0,3451495901.0,0,8169118927.0,11918899277.0,10839587778.0,0,160758488354.0,10041519269.0,515672820715.0,159784370215.0,974118139.0,7768238551.0,610711964.0,6520185811.0,139717775513.0,0,2019,2
691995507700.0,3231955100.0,0,7612970530.0,-5796180011.0,-4846875228.0,421000.0,181169562213.0,8528619266.0,510825945487.0,180058139206.0,1111423007.0,7469882041.0,604251540.0,3594047747.0,160159010558.0,0,2019,3
753328830432.0,3053580965.0,0,7810126766.0,16404055064.0,11071816898.0,459000.0,235406412457.0,9041123871.0,517922417975.0,234350994238.0,1055418219.0,7585246440.0,607993965.0,4723254156.0,188060915328.0,0,2019,4
579425993777.0,2830297739.0,0,8190740980.0,-126864960754.0,-126869681813.0,459000.0,188346907864.0,7116693048.0,391079085913.0,187316136566.0,1030771298.0,7965208796.0,607993965.0,5922944246.0,146193323209.0,0,2020,1
856958564468.0,2607014513.0,0,5967368329.0,50739051751.0,48795850507.0,0,417083628048.0,10635673665.0,439874936420.0,214672792803.0,202410835245.0,5890006533.0,434253631.0,7114750925.0,193435305702.0,199805844749.0,2020,2
948505577017.0,2466294010.0,0,4495818769.0,63434875392.0,63341943150.0,0,442476406010.0,39522383788.0,506029171007.0,242009680505.0,200466725505.0,4436699999.0,225720503.0,10068036352.0,215267244900.0,199622648402.0,2020,3
869082330873.0,2239469116.0,0,4106723200.0,14776700016.0,13562345207.0,0,349651839902.0,12482983503.0,519430490971.0,87167692821.0,262484147081.0,4061178804.0,226824894.0,8565597561.0,56341613716.0,259839452055.0,2020,4
1038878030674.0,2185550827.0,0,3693551089.0,128589599904.0,102592035159.0,0,416476753004.0,147278084529.0,622401277670.0,155046656153.0,261430096851.0,3885063129.0,232525789.0,6845438839.0,93037334022.0,259855707763.0,2021,1
1085362051232.0,11453412236.0,0,7064058336.0,25737929482.0,21450235310.0,0,440423661426.0,129392801808.0,644938389806.0,102119923024.0,338303738402.0,4521712795.0,433325591.0,6065839212.0,0,336184114494.0,2021,2
1362116641896.0,11075639872.0,0,4078858560.0,-51586663179.0,-41105431122.0,0,758460487304.0,12768433606.0,603656154592.0,122905631611.0,635554855693.0,4075366048.0,791132364.0,14016665879.0,19159304173.0,633710260612.0,2021,3
1474691348238.0,10278766273.0,0,9062190805.0,-42001656809.0,-34587253792.0,358106364.0,905749238668.0,142180441420.0,568942109570.0,272748974472.0,633000264196.0,7415615009.0,796873599.0,14485764079.0,53334952471.0,629181789730.0,2021,4
1318900035133.0,9651607401.0,0,5265591613.0,1051141140.0,337063427.0,385376364.0,749573233066.0,10935665001.0,569326802067.0,170199090413.0,579374142653.0,4976304042.0,799617392.0,13240572454.0,2039319689.0,575403940976.0,2022,1
1202923608615.0,8869995537.0,0,4375627168.0,-59204035244.0,-59070912172.0,249026364.0,692993276000.0,29399007488.0,509930332615.0,112042637525.0,580950638475.0,4642356869.0,773780906.0,13136925720.0,38056243490.0,576250781158.0,2022,2
1130320492777.0,8150164462.0,0,20196200802.0,13957836061.0,15257473257.0,139940909.0,625767501168.0,64043796554.0,504552991609.0,45738988906.0,580028512262.0,20918814805.0,719831075.0,13433013325.0,5316377892.0,574696899878.0,2022,3
1130320492777.0,8150164462.0,0,20196200802.0,13957836061.0,15257473257.0,139940909.0,625767501168.0,64043796554.0,504552991609.0,45738988906.0,580028512262.0,20918814805.0,719831075.0,13433013325.0,5316377892.0,574696899878.0,2022,4
