totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
604047627223.0,11015914777.0,26394435915.0,36303488127.0,0,11787948585.0,133344329335.0,88859569575.0,18533419426.0,515188057648.0,82378588540.0,6480981035.0,24122637247.0,0,105805224.0,6041523441.0,0,2017,1
623932320436.0,10814722759.0,26176931766.0,33637656812.0,0,15390871859.0,138656417643.0,124377032442.0,22930628557.0,499555287994.0,118974361951.0,5402670491.0,25445565579.0,0,152601946.0,9928845663.0,879000000.0,2017,2
731083421015.0,10613530741.0,26161148517.0,55601130415.0,0,25512939626.0,154787291036.0,212016361555.0,34300873806.0,519067059460.0,206670843196.0,5345518359.0,26817830468.0,0,193253942.0,9928845663.0,879000000.0,2017,3
776191852835.0,10412338723.0,26145365268.0,105010306003.0,0,35660597275.0,174340707045.0,217116274290.0,74500617542.0,559075578545.0,186109607982.0,31006666308.0,99668804226.0,0,218407170.0,9997796937.0,26492958000.0,2017,4
900885939572.0,10211146705.0,26182911969.0,66434311295.0,0,27801632121.0,183216659480.0,322558373675.0,52033807718.0,578327565897.0,273497161912.0,49061211763.0,41661624203.0,0,633775195.0,9622866582.0,46492958000.0,2018,1
1245894740111.0,6628246829.0,549187705.0,77667677644.0,0,20104151489.0,227890353930.0,667099670340.0,19768323888.0,578795069771.0,637882465202.0,29217205138.0,63750023122.0,0,-227650532.0,9622866582.0,26492958000.0,2018,2
1449147024132.0,47756152508.0,597180712.0,17595102612.0,0,34662600978.0,289199689289.0,836443292735.0,106693270808.0,612703731397.0,807296433690.0,29146859045.0,14592078133.0,0,0,0,26442958000.0,2018,3
1698208757434.0,46240189546.0,580660518.0,10482726099.0,0,8663765050.0,403098657839.0,1126678558368.0,41300589552.0,571530199066.0,1097467773790.0,29210784578.0,5412046455.0,0,0,0,26392958000.0,2018,4
2032369302934.0,45666641588.0,562986219.0,3603780385.0,0,15814032813.0,455664704123.0,1444431363105.0,26069616014.0,587937939829.0,1417335443306.0,27095919799.0,2176373636.0,0,932515536.0,25900000000.0,23992958000.0,2019,1
2136211293294.0,44899104156.0,545311920.0,20188351094.0,0,26289711563.0,523715901090.0,1492281367413.0,64672582593.0,643929925881.0,1466585107734.0,25696259679.0,16208091035.0,0,809356740.0,2600000000.0,22592958000.0,2019,2
2147476428406.0,44528124952.0,527637621.0,6294149592.0,0,15411137926.0,618478887209.0,1491956106265.0,8941827514.0,655520322141.0,1464459559702.0,27496546563.0,5626715995.0,0,633247236.0,600000000.0,23992958000.0,2019,3
2187458172930.0,44153074016.0,512064476.0,11455785766.0,0,12064346412.0,745601904594.0,1515692374737.0,10418876707.0,671765798193.0,1491387660512.0,24304714225.0,8774501375.0,0,557402324.0,2800000000.0,21192958000.0,2019,4
2176623771588.0,43782183967.0,497541926.0,6971899180.0,0,3711845089.0,798912065618.0,1501077218004.0,6313502975.0,675546553584.0,1474697049234.0,26380168770.0,5148449195.0,0,0,0,23292958000.0,2020,1
2357784600594.0,43411340609.0,487229876.0,208294207469.0,0,76791669819.0,875159661910.0,1606723584734.0,108752334261.0,751061015860.0,1583317961417.0,23405623317.0,135069336358.0,0,1165871209.0,1600000000.0,19592958001.0,2020,2
2332725263697.0,43040450560.0,485338826.0,481779401982.0,0,173748201791.0,646923542607.0,1413432047894.0,63000066021.0,919293215803.0,1388750970032.0,24681077862.0,287621691335.0,0,513397383.0,1600000000.0,19592958001.0,2020,3
2220388354334.0,42513719491.0,483447776.0,165040728717.0,0,71276584990.0,575288378995.0,1238980626406.0,17855312006.0,981407727928.0,1214433093999.0,24547532407.0,98835241998.0,0,484994160.0,1600000000.0,19592958001.0,2020,4
2239971479042.0,5081846609.0,468319376.0,49826953677.0,0,48133281566.0,544432768685.0,1214593187416.0,11430589597.0,1025378291626.0,1211412278326.0,3180909090.0,32669543406.0,0,2170857173.0,0,0,2021,1
2123291376579.0,4934555417.0,468319376.0,184664621629.0,0,84840256918.0,424784969481.0,1200007493035.0,58392464284.0,923283883544.0,1196941129400.0,3066363635.0,114163820694.0,0,-1928027321.0,0,0,2021,2
1812414476608.0,4787264225.0,468319376.0,202593112724.0,0,81392266734.0,306503967151.0,785928929830.0,21529089521.0,1026485546778.0,782937111650.0,2991818180.0,119388111145.0,0,3082250558.0,0,0,2021,3
1591018712187.0,4639973033.0,468319376.0,72342013342.0,0,21326790297.0,282756240063.0,543166118918.0,11088720234.0,1047852593269.0,540198846193.0,2967272725.0,46443073911.0,0,1533569502.0,0,0,2021,4
1522000032978.0,4492681841.0,468319376.0,144280692.0,0,23462862913.0,288318141065.0,577945236483.0,38987514568.0,944054796495.0,575052509213.0,2892727270.0,-34166996.0,0,0,0,0,2022,1
1394793498484.0,4345390649.0,468319376.0,1123856495.0,0,-118683869360.0,289399050932.0,569422571349.0,13710705934.0,825370927135.0,568438498626.0,984072723.0,444632236.0,0,0,0,0,2022,2
1412774419297.0,4198099457.0,468319376.0,1113751719.0,0,-28765142046.0,291227709374.0,616168634208.0,5173147644.0,796605785089.0,614091072604.0,2077561604.0,273710396.0,0,85890411.0,0,0,2022,3
1412774419297.0,4198099457.0,468319376.0,1113751719.0,0,-28765142046.0,291227709374.0,616168634208.0,5173147644.0,796605785089.0,614091072604.0,2077561604.0,273710396.0,0,85890411.0,0,0,2022,4
