totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
172638730174.0,28126118654.0,4623025194.0,24214058980.0,4385950002.0,3754730616.0,30328729460.0,29497422119.0,14121614744.0,143141308055.0,27508350319.0,1989071800.0,13397455885.0,1611819570.0,133801404.0,7616101868.0,0,2017,1
172638730174.0,28126118654.0,4623025194.0,24214058980.0,4385950002.0,3754730616.0,30328729460.0,29497422119.0,14121614744.0,143141308055.0,27508350319.0,1989071800.0,13397455885.0,1611819570.0,133801404.0,7616101868.0,0,2017,2
172638730174.0,28126118654.0,4623025194.0,24214058980.0,4385950002.0,3754730616.0,30328729460.0,29497422119.0,14121614744.0,143141308055.0,27508350319.0,1989071800.0,13397455885.0,1611819570.0,133801404.0,7616101868.0,0,2017,3
238541795112.0,27519911150.0,5675400594.0,24214058980.0,4385950002.0,3754730616.0,30311886645.0,89015374256.0,14121614744.0,149526420856.0,32878898770.0,56136475486.0,13397455885.0,1611819570.0,133801404.0,0,0,2017,4
238541795112.0,27519911150.0,5675400594.0,24214058980.0,4385950002.0,3754730616.0,30311886645.0,89015374256.0,14121614744.0,149526420856.0,32878898770.0,56136475486.0,13397455885.0,1611819570.0,133801404.0,0,0,2018,1
238541795112.0,27519911150.0,5675400594.0,24214058980.0,4385950002.0,3754730616.0,30311886645.0,89015374256.0,14121614744.0,149526420856.0,32878898770.0,56136475486.0,13397455885.0,1611819570.0,133801404.0,0,0,2018,2
238541795112.0,27519911150.0,5675400594.0,24214058980.0,4385950002.0,3754730616.0,30311886645.0,89015374256.0,14121614744.0,149526420856.0,32878898770.0,56136475486.0,13397455885.0,1611819570.0,133801404.0,0,0,2018,3
268167328903.0,27223090584.0,5452612242.0,24214058980.0,4385950002.0,3754730616.0,28286275443.0,108987443503.0,14121614744.0,159179885400.0,49312130466.0,59675313037.0,13397455885.0,1611819570.0,133801404.0,0,0,2018,4
268167328903.0,27223090584.0,5452612242.0,24214058980.0,4385950002.0,3754730616.0,28286275443.0,108987443503.0,14121614744.0,159179885400.0,49312130466.0,59675313037.0,13397455885.0,1611819570.0,133801404.0,0,0,2019,1
268167328903.0,27223090584.0,5452612242.0,24214058980.0,4385950002.0,3754730616.0,28286275443.0,108987443503.0,14121614744.0,159179885400.0,49312130466.0,59675313037.0,13397455885.0,1611819570.0,133801404.0,0,0,2019,2
268167328903.0,27223090584.0,5452612242.0,24214058980.0,4385950002.0,3754730616.0,28286275443.0,108987443503.0,14121614744.0,159179885400.0,49312130466.0,59675313037.0,13397455885.0,1611819570.0,133801404.0,0,0,2019,3
262189703196.0,36444252441.0,5229823890.0,24214058980.0,4385950002.0,3754730616.0,30223967726.0,50129094473.0,14121614744.0,212060608723.0,45991961673.0,4137132800.0,13397455885.0,1611819570.0,133801404.0,0,0,2019,4
262189703196.0,36444252441.0,5229823890.0,24214058980.0,4385950002.0,3754730616.0,30223967726.0,50129094473.0,14121614744.0,212060608723.0,45991961673.0,4137132800.0,13397455885.0,1611819570.0,133801404.0,0,0,2020,1
262189703196.0,36444252441.0,5229823890.0,24214058980.0,4385950002.0,3754730616.0,30223967726.0,50129094473.0,14121614744.0,212060608723.0,45991961673.0,4137132800.0,13397455885.0,1611819570.0,133801404.0,0,0,2020,2
262189703196.0,36444252441.0,5229823890.0,24214058980.0,4385950002.0,3754730616.0,30223967726.0,50129094473.0,14121614744.0,212060608723.0,45991961673.0,4137132800.0,13397455885.0,1611819570.0,133801404.0,0,0,2020,3
267414887979.0,32771288307.0,5147539280.0,24214058980.0,4385950002.0,3754730616.0,25051617418.0,49462028159.0,14121614744.0,217952859820.0,46093020359.0,3369007800.0,13397455885.0,1611819570.0,133801404.0,1015287926.0,0,2020,4
267414887979.0,32771288307.0,5147539280.0,24214058980.0,4385950002.0,3754730616.0,25051617418.0,49462028159.0,14121614744.0,217952859820.0,46093020359.0,3369007800.0,13397455885.0,1611819570.0,133801404.0,1015287926.0,0,2021,1
267414887979.0,32771288307.0,5147539280.0,24214058980.0,4385950002.0,3754730616.0,25051617418.0,49462028159.0,14121614744.0,217952859820.0,46093020359.0,3369007800.0,13397455885.0,1611819570.0,133801404.0,1015287926.0,0,2021,2
267414887979.0,32771288307.0,5147539280.0,24214058980.0,4385950002.0,3754730616.0,25051617418.0,49462028159.0,14121614744.0,217952859820.0,46093020359.0,3369007800.0,13397455885.0,1611819570.0,133801404.0,1015287926.0,0,2021,3
272785725674.0,27104577227.0,4873492516.0,24214058980.0,4385950002.0,3754730616.0,29015955822.0,47972088291.0,14121614744.0,224813637383.0,44987580491.0,2984507800.0,13397455885.0,1611819570.0,133801404.0,932228055.0,0,2021,4
272785725674.0,27104577227.0,4873492516.0,24214058980.0,4385950002.0,3754730616.0,29015955822.0,47972088291.0,14121614744.0,224813637383.0,44987580491.0,2984507800.0,13397455885.0,1611819570.0,133801404.0,932228055.0,0,2022,1
272785725674.0,27104577227.0,4873492516.0,24214058980.0,4385950002.0,3754730616.0,29015955822.0,47972088291.0,14121614744.0,224813637383.0,44987580491.0,2984507800.0,13397455885.0,1611819570.0,133801404.0,932228055.0,0,2022,2
272785725674.0,27104577227.0,4873492516.0,24214058980.0,4385950002.0,3754730616.0,29015955822.0,47972088291.0,14121614744.0,224813637383.0,44987580491.0,2984507800.0,13397455885.0,1611819570.0,133801404.0,932228055.0,0,2022,3
272785725674.0,27104577227.0,4873492516.0,24214058980.0,4385950002.0,3754730616.0,29015955822.0,47972088291.0,14121614744.0,224813637383.0,44987580491.0,2984507800.0,13397455885.0,1611819570.0,133801404.0,932228055.0,0,2022,4
