totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
399629387146.0,94203913408.0,0,132259276533.0,-1099650867.0,-879720694.0,77862792319.0,243868950970.0,2736072599.0,155760436176.0,237547960670.0,6320990300.0,114841308847.0,6353659265.0,1569511216.0,91001392935.0,6320990300.0,2017,1
432691383162.0,91000385562.0,0,54116174398.0,-596107334.0,-816037507.0,107982109595.0,277527054320.0,12664633895.0,155164328842.0,273279044020.0,4248010300.0,40337710275.0,3845843346.0,1615693493.0,141516398442.0,4248010300.0,2017,2
566596797628.0,85159876152.0,0,126620147344.0,3937281830.0,3937281830.0,192156077413.0,407495186956.0,9095301664.0,159101610672.0,388242656656.0,19252530300.0,101368323948.0,5001612394.0,3038229968.0,252738135972.0,19252530300.0,2017,3
458983375240.0,80794440215.0,0,246418570631.0,13803573838.0,11992423992.0,134483910829.0,287889340576.0,10236501108.0,171094034664.0,259464340576.0,28425000000.0,207566233206.0,4891734028.0,2201757608.0,140541331783.0,28425000000.0,2017,4
402631961971.0,81125952728.0,0,98142172048.0,-3504385098.0,-3504385098.0,146185402390.0,234490706608.0,4815352398.0,168141255363.0,202895012644.0,31595693964.0,93363437310.0,3626378360.0,1466383624.0,165468654594.0,31595693964.0,2018,1
438827983376.0,80662411775.0,0,68577390836.0,-416339432.0,-416339432.0,173659121375.0,277166890049.0,5929903941.0,161661093327.0,242109868637.0,35057021412.0,53666956982.0,6874314542.0,2616902292.0,192228071174.0,35057021412.0,2018,2
548891473802.0,108037914612.0,0,234615616479.0,6873037544.0,6282574941.0,194486109562.0,380947805534.0,1091134993.0,167943668268.0,345167110729.0,35780694805.0,200519366820.0,6454286201.0,5085485560.0,257046716328.0,35780694805.0,2018,3
406185822297.0,112007475548.0,689667447.0,210372725147.0,13774308729.0,11000724145.0,154249660336.0,227241429884.0,2928878802.0,178944392413.0,204856507504.0,22384922380.0,159862672689.0,6834996877.0,4086987666.0,136321534832.0,22384922380.0,2018,4
519148626588.0,106108397121.0,684132288.0,53385508604.0,-3250154568.0,-3250154568.0,290935934265.0,343504513223.0,4161152791.0,175644113365.0,321484837775.0,22019675448.0,41803887856.0,6490014950.0,3151945981.0,238323210746.0,22019675448.0,2019,1
529233819113.0,100794564696.0,678597129.0,198728351807.0,45499865.0,45499865.0,254520886747.0,366733989894.0,6096859615.0,162499829219.0,344978311378.0,21755678516.0,176186982100.0,7326711520.0,4297929586.0,228759853718.0,21755678516.0,2019,2
561636100906.0,96942888329.0,671272418.0,372061178102.0,9554586886.0,8284600449.0,283621488981.0,390851671238.0,7890761840.0,170784429668.0,369550489654.0,21301181584.0,326373624016.0,5512632996.0,5939738583.0,263440365315.0,21301181584.0,2019,3
535471116907.0,99132110392.0,665737259.0,391447998769.0,12199903664.0,9759922931.0,130074646435.0,354926764308.0,2308866748.0,180544352599.0,328864123110.0,26062641198.0,329858909255.0,6282219480.0,5744597137.0,252830227387.0,26062641198.0,2019,4
486362112073.0,94477804307.0,660202100.0,177512366757.0,-10294581851.0,-10294581851.0,132827324213.0,316191961324.0,41818302983.0,170170150749.0,290770130149.0,25421831175.0,172742459534.0,6227728789.0,4724505037.0,162353198439.0,25421831175.0,2020,1
472434223507.0,90051884696.0,654666941.0,55677872793.0,-5931521209.0,-5931521209.0,230970707182.0,320712226667.0,20411063438.0,151721996840.0,293170656872.0,27541569795.0,46933041277.0,6055480042.0,2673001940.0,228613263304.0,27541569795.0,2020,2
490387417597.0,102305086258.0,649131782.0,349951958481.0,16814575264.0,16696880823.0,86076849319.0,321968539934.0,16009765520.0,168418877663.0,295523585349.0,26444954585.0,303313979155.0,6292249149.0,4707492937.0,212879640079.0,26444954585.0,2020,3
355500296570.0,96309349689.0,643596623.0,57449017000.0,636188859.0,508951087.0,70803840676.0,186572467820.0,7620422959.0,168927828750.0,165577890717.0,20994577103.0,43939653704.0,6166280343.0,1949075467.0,10702907098.0,20994577103.0,2020,4
274557759292.0,90176793010.0,638061464.0,69542393173.0,-5065788361.0,-5065788361.0,103181608756.0,110786709621.0,10366868193.0,163771049671.0,91985362938.0,18801346683.0,61766670424.0,6217544882.0,701074487.0,35040629489.0,18801346683.0,2021,1
439176800288.0,87051368796.0,632526305.0,112901759651.0,3002396898.0,3002396898.0,257938321933.0,273069907318.0,2539274252.0,166106892970.0,254290310635.0,18779596683.0,100165383287.0,6264306298.0,1498367000.0,175778254082.0,18779596683.0,2021,2
451872146957.0,81627534176.0,626991146.0,255711937183.0,7702243564.0,6574473144.0,202526242535.0,279190780843.0,6788835477.0,172681366114.0,261507799370.0,17682981473.0,213221901538.0,6332078840.0,2681200410.0,179709748108.0,17682981473.0,2021,3
311995489668.0,76219842508.0,621455987.0,217753597624.0,2519458220.0,1850355623.0,59832220605.0,137463767931.0,3681143165.0,174531721737.0,120898151668.0,16565616263.0,181979051076.0,6255485160.0,1360952779.0,27500945132.0,16565616263.0,2021,4
205978815802.0,70927923086.0,615920828.0,50053427314.0,-5221496151.0,-5221496151.0,52756826247.0,36668590216.0,3513342238.0,169310225586.0,33396411057.0,3272179159.0,43976810622.0,6319686781.0,414052583.0,5756250000.0,3272179159.0,2022,1
381084694015.0,65488016187.0,952073169.0,26075983509.0,-7590878959.0,-7590878959.0,240189430241.0,225815473288.0,8260424449.0,155269220727.0,223361338919.0,2454134369.0,21559340030.0,6387304558.0,525980882.0,142539632581.0,2454134369.0,2022,2
398523746386.0,61678747418.0,922475511.0,311631121586.0,23561101771.0,21411356439.0,133050194694.0,221843169220.0,4037806137.0,176680577166.0,219798057245.0,2045111975.0,263141573883.0,4870666127.0,3141705706.0,170029543411.0,2045111975.0,2022,3
398523746386.0,61678747418.0,922475511.0,311631121586.0,23561101771.0,21411356439.0,133050194694.0,221843169220.0,4037806137.0,176680577166.0,219798057245.0,2045111975.0,263141573883.0,4870666127.0,3141705706.0,170029543411.0,2045111975.0,2022,4
