totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
6057164471441.0,1274372734029.0,106243471881.0,203315223242.0,12523031586.0,4579162460.0,303995652086.0,4850292633076.0,217797349666.0,1206871838365.0,3078900364827.0,1771392268249.0,113184687197.0,18144224894.0,22412258925.0,1010916906117.0,361403449503.0,2017,1
5715299234676.0,1268354929034.0,105642690603.0,215415120501.0,-286826421426.0,-278665571440.0,283738359864.0,4824531267837.0,269402087104.0,890767966839.0,3056675516126.0,1767855751711.0,137031222972.0,35712236789.0,45213869285.0,1010186413630.0,352341531142.0,2017,2
5890396545462.0,1251709092286.0,105065615931.0,479742457689.0,89181585681.0,20993945149.0,277629889519.0,4937834406577.0,303305072459.0,952562138885.0,3169441682633.0,1768392723944.0,227741370563.0,25629734306.0,34100771111.0,1001917882403.0,352341549142.0,2017,3
5350161262610.0,1243632003815.0,104530696478.0,235373542258.0,-235424380123.0,-212430091177.0,267961200632.0,4562461158112.0,452141039553.0,787700104498.0,2794447674862.0,1768013483250.0,46222274907.0,25772042171.0,-98904376636.0,980417673603.0,333341531142.0,2017,4
4940244172397.0,1226758591314.0,104088642424.0,214085166051.0,25853873212.0,18987337726.0,287917192846.0,4076773170480.0,262673160459.0,863471001917.0,2337058175616.0,1739714994864.0,128865691043.0,26889223610.0,9805788968.0,589158514200.0,393554204745.0,2018,1
4834995700448.0,1219845107433.0,103558446692.0,214043972258.0,-26548057913.0,-31667797376.0,288378433651.0,4017801285299.0,209056025941.0,817194415149.0,2337884629508.0,1679916655791.0,128880765897.0,27521247482.0,12504920589.0,602897097950.0,355554204745.0,2018,2
4948025585027.0,1208651385705.0,103058214115.0,529834016076.0,93576514696.0,39979474541.0,287776357428.0,4064988973859.0,266127147634.0,883036611168.0,2430318073828.0,1634670900031.0,250929616451.0,27856719976.0,7464111291.0,594692970950.0,345554204745.0,2018,3
4715561273823.0,1205574841349.0,102524440703.0,280029140002.0,-3911585882.0,-1260496840.0,284878679198.0,3839457260128.0,396021510275.0,876104013695.0,2328757352243.0,1510699907885.0,208966634793.0,27499664235.0,56874558583.0,711782370950.0,211670924745.0,2018,4
4623896873581.0,1190934009891.0,102000407503.0,197988682289.0,8934075941.0,13020397240.0,282987776325.0,3742719123854.0,249499498697.0,881177749727.0,2310996002963.0,1431723120891.0,133665211824.0,28126177191.0,18217263228.0,659460052950.0,211670924745.0,2019,1
4435072692928.0,1176693184663.0,101498161658.0,224646132137.0,-30979118566.0,-17084870490.0,286239068235.0,3629499338271.0,282899689740.0,805573354657.0,2295811142101.0,1333688196170.0,144204468702.0,28742299705.0,19626848438.0,666017135395.0,185031166911.0,2019,2
