totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
4060701500928.0,600805769379.0,115902061.0,412308892642.0,85773024577.0,65868156127.0,165404982439.0,1624775876372.0,271801198561.0,2435925624556.0,1059155996211.0,565619880161.0,355658069087.0,12100046868.0,9940940466.0,747136444533.0,231280503760.0,2017,1
4234277097232.0,949620547033.0,104490388.0,245387963168.0,85975109972.0,72868873456.0,271989267838.0,1954737860002.0,364647760443.0,2281664550585.0,1305515889851.0,649221970151.0,176730801818.0,12464607608.0,10841970100.0,836767635573.0,217123041564.0,2017,2
4225629899005.0,925724993304.0,93625478.0,462926241397.0,134536503824.0,107690584966.0,221439900902.0,1839952618799.0,275017748613.0,2387831309872.0,1099120097478.0,740832521321.0,435693861660.0,18858471300.0,11793752485.0,721979357346.0,230080504155.0,2017,3
4293296047655.0,922671764311.0,309798700.0,533077028970.0,105202542185.0,80407463418.0,257173722903.0,1884436590868.0,240787336443.0,2408859446787.0,1062251397390.0,822185193478.0,405164406622.0,14482485897.0,16317859040.0,462881360022.0,238858117315.0,2017,4
4218795466071.0,911807887249.0,297302782.0,268048351915.0,113767490262.0,92397700106.0,224515191778.0,1706596225522.0,193316189149.0,2512199240549.0,731983574286.0,974612651236.0,220770477384.0,13175380705.0,5879883072.0,315631223711.0,294659405188.0,2018,1
4497743522740.0,1220596702912.0,282539591.0,264793363629.0,155504276641.0,124471863521.0,293491669668.0,1924186373036.0,331060334548.0,2576753787385.0,817977825519.0,1106208547517.0,205810910174.0,21496808916.0,4416289334.0,210353782356.0,318388408174.0,2018,2
4713280881152.0,1197340999386.0,265496045.0,351119600578.0,216284524673.0,173712048344.0,324663471461.0,1973345381847.0,317080773568.0,2743158442148.0,500341161714.0,1473004220133.0,279124247644.0,17872977561.0,2971468416.0,104972912815.0,365085208604.0,2018,3
5086509112518.0,1211863072530.0,252295854.0,673835996780.0,274315124210.0,231106191716.0,294555124545.0,2409641123546.0,362430068707.0,2676827988262.0,797740917999.0,1611900205547.0,596200118262.0,18152208404.0,14882418193.0,127252779034.0,377364909783.0,2018,4
5222997343995.0,1197600251602.0,237790794.0,291630078342.0,135951459324.0,104869889896.0,328090887362.0,2424609460697.0,343214672402.0,2799265904742.0,596756159881.0,1827853300816.0,219715369082.0,19215878963.0,2896212731.0,94914059946.0,402669270900.0,2019,1
5287042569023.0,1452058637712.0,217873371.0,278165844568.0,81066522905.0,60793521252.0,292181801173.0,2514538166503.0,231523612216.0,2775155613470.0,602917955392.0,1911620211111.0,255351902453.0,10750640725.0,3431453113.0,185914701165.0,402232387407.0,2019,2
5769414253872.0,1493047905547.0,198671755.0,589313699332.0,577660354064.0,444807839806.0,383548399015.0,2579677952907.0,509364166561.0,3191630610926.0,679337041794.0,1900340911113.0,395292364015.0,33541646788.0,3249240853.0,135538343373.0,454905535100.0,2019,3
5904572830635.0,1435088158249.0,182809765.0,473989064018.0,-149896809423.0,-135142719838.0,373784822166.0,3262824241719.0,668749069861.0,2641631613936.0,1254579572819.0,2008244668900.0,374131588832.0,24000319354.0,23171662896.0,99235832636.0,419182417164.0,2019,4
5595427293464.0,1487051503363.0,178802368.0,220926814972.0,255208086099.0,206337945015.0,311764455582.0,2821944182821.0,242223102000.0,2771489587295.0,758852306379.0,2063091876442.0,162987610435.0,25973285116.0,6823140795.0,82167789353.0,439322687628.0,2020,1
5964051649776.0,1793644178142.0,170426272.0,274521852888.0,426999304939.0,329726173997.0,294148254031.0,2870148386111.0,112406502001.0,3093875553437.0,831822743389.0,2038325642722.0,187079254526.0,25762422986.0,1967469669.0,186135461081.0,431578465922.0,2020,2
6107826609924.0,1766799783117.0,299548091.0,390840160178.0,204555142715.0,164978317369.0,327544480974.0,2837084146032.0,158361206540.0,3271894671869.0,804479608313.0,2032604537719.0,332809605681.0,29473562178.0,8095632699.0,118253436492.0,431306486275.0,2020,3
6545107408580.0,1779590533817.0,288353837.0,746189375780.0,493910679503.0,379376118626.0,293135767347.0,3237617210683.0,426963672949.0,3304232343042.0,1146979676042.0,2090637534641.0,559055551475.0,28460010017.0,33506533958.0,116371134241.0,528041106930.0,2020,4
