totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
442937304044.0,365081100212.0,0,117326455261.0,11021045978.0,8770935724.0,22185140032.0,286528420615.0,19503556987.0,156408883429.0,90577920615.0,195950500000.0,100586670596.0,7618916782.0,1599562092.0,32597550000.0,195806500000.0,2017,1
454979580768.0,356074526038.0,0,152951532845.0,10056806515.0,8004849468.0,18906079952.0,260983087271.0,33828618380.0,193996493497.0,83833287271.0,177149800000.0,132491560369.0,10143764130.0,3848740648.0,20221500000.0,177005800000.0,2017,2
450668770601.0,344113028381.0,0,175371615921.0,15977583968.0,12739876904.0,28060725114.0,243932400200.0,35803921038.0,206736370401.0,66791050200.0,177141350000.0,153245552186.0,10699227010.0,3466193974.0,10109900000.0,176997350000.0,2017,3
421714887834.0,333652780735.0,0,117519515880.0,5359472146.0,4240423159.0,23735919913.0,210738094274.0,23750128718.0,210976793560.0,74066644274.0,136671450000.0,103911610557.0,10523247646.0,3296843836.0,40419200000.0,136527450000.0,2017,4
416057805991.0,323132737946.0,0,121654980393.0,10119205542.0,8041125531.0,27844025571.0,197039886900.0,21828391683.0,219017919091.0,60282586900.0,136757300000.0,103360935753.0,10520042789.0,3110222774.0,30357750000.0,136613300000.0,2018,1
409642337862.0,312620417383.0,0,270309333211.0,16414060694.0,21132601548.0,22800039959.0,206720437554.0,38011433947.0,202921900308.0,69781337554.0,136939100000.0,228366465422.0,10512320563.0,6413225395.0,20299700000.0,136795100000.0,2018,2
416838015221.0,302742878683.0,0,156085606623.0,9976335495.0,7918557663.0,29483225529.0,205997557250.0,52868348332.0,210840457971.0,68684757250.0,137312800000.0,137036338153.0,10513070557.0,3161081921.0,10212750000.0,137168800000.0,2018,3
390860264058.0,296326102832.0,0,199920118276.0,9236971181.0,7306417759.0,34602135984.0,172713388328.0,27868315944.0,218146875730.0,76292838328.0,96420550000.0,180990705882.0,10423620396.0,2992210904.0,40766000000.0,96276550000.0,2018,4
381450408390.0,285882874809.0,0,221299402270.0,9883066447.0,7856090788.0,42687489890.0,155447441872.0,29124285193.0,226002966518.0,59025241872.0,96422200000.0,203794460695.0,10443228023.0,2792047725.0,30577050000.0,96278200000.0,2019,1
376288881609.0,298102811782.0,0,132618709438.0,10233543671.0,8105691150.0,35776406140.0,171588152941.0,17912108559.0,204700728668.0,75132952941.0,96455200000.0,114231339987.0,10132462943.0,2654957916.0,20418700000.0,96311200000.0,2019,2
