totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
292533568450.0,43381845771.0,2994275758.0,112492492033.0,22577078861.0,18061663089.0,80142489984.0,40527124278.0,103416346185.0,252006444172.0,40527124278.0,0,66592257849.0,2617388224.0,0,0,0,2017,1
296983017172.0,51363757766.0,2931969607.0,95377188954.0,21288637535.0,16936304828.0,86061100641.0,47464587791.0,83302931293.0,249518429381.0,47464587791.0,0,54875794046.0,2784783295.0,0,0,0,2017,2
303111063553.0,49462181383.0,2869663456.0,112601090489.0,24429187809.0,19543350247.0,89228439262.0,48130856925.0,41128993913.0,254980206628.0,48130856925.0,0,63913588191.0,2916888898.0,0,0,0,2017,3
332445913053.0,48673979981.0,3990591371.0,109131401471.0,23221291408.0,18195960932.0,90195718147.0,63691745493.0,95853949695.0,268754167560.0,63691745493.0,0,64364692274.0,2864911487.0,0,0,0,2017,4
322321455943.0,48164555026.0,3885569906.0,115575228488.0,23744160811.0,18995328649.0,87426431199.0,39187959734.0,140129134802.0,283133496209.0,39187959734.0,0,70199200061.0,2925806547.0,0,0,0,2018,1
326443123808.0,45915315484.0,3904993241.0,106489189421.0,22008781712.0,17529619188.0,87808147037.0,45069675967.0,130903307109.0,281373447841.0,45069675967.0,0,64511652903.0,2860476207.0,0,0,0,2018,2
336629732586.0,45693153510.0,3789306176.0,112822608863.0,22559775028.0,18047820022.0,91858354405.0,50926037723.0,146838696561.0,285703694863.0,50926037723.0,0,69267340277.0,2799083663.0,0,0,0,2018,3
354514981820.0,45694701565.0,3948952454.0,119685318261.0,24247733769.0,19076197026.0,89056723699.0,54370089931.0,169939889304.0,300144891889.0,54370089931.0,0,73120965636.0,2871842758.0,0,0,0,2018,4
347264401198.0,45014808117.0,3819265388.0,112778978691.0,21692653699.0,17354122959.0,87131191663.0,35971606869.0,154797459334.0,311292794329.0,35971606869.0,0,71824752060.0,2858585969.0,0,0,0,2019,1
354353899884.0,45550175209.0,3692999359.0,108639856546.0,22472516632.0,17940355306.0,90407349409.0,42545352449.0,144282899970.0,311808547435.0,42545352449.0,0,66311212108.0,2816782392.0,0,0,0,2019,2
364463322206.0,45132701250.0,3573612484.0,116673591605.0,24011761407.0,19209409126.0,98735628870.0,47444938645.0,148649390419.0,317018383561.0,47444938645.0,0,70288968765.0,2850692607.0,0,0,0,2019,3
384110270220.0,44155555933.0,3454225628.0,126679080907.0,25280390483.0,19916292975.0,93282147625.0,52014593684.0,169724389520.0,332095676536.0,52014593684.0,0,78209060127.0,2867270173.0,0,0,0,2019,4
400240800997.0,69761254009.0,3372219269.0,128484057967.0,25772606852.0,20618085481.0,95554435651.0,54548487679.0,165840751244.0,345692313318.0,54548487679.0,0,80564678222.0,3439709389.0,0,0,0,2020,1
400530374826.0,68512286915.0,3290257826.0,90600378730.0,20310426571.0,16248341257.0,110956142156.0,55603322451.0,159721014327.0,344927052375.0,55603322451.0,0,52321028922.0,3614527264.0,0,0,0,2020,2
412696918717.0,66094559812.0,3244871487.0,112079877536.0,23014402338.0,18411521870.0,103102241859.0,53832344472.0,184071068709.0,358864574245.0,53832344472.0,0,67948222580.0,3657563442.0,0,0,0,2020,3
429052637422.0,65178873975.0,3165320363.0,129599880815.0,24602895636.0,19340264973.0,89414149701.0,64879371204.0,115025778178.0,364173266218.0,64879371204.0,0,83441797293.0,3641053778.0,0,0,0,2020,4
413536375351.0,63180444257.0,3088556732.0,116540733740.0,21660759975.0,17328607979.0,85709582181.0,51327021021.0,29692795350.0,362209354330.0,51327021021.0,0,74946663641.0,3590128349.0,0,0,0,2021,1
437061173668.0,60128497211.0,3015335501.0,112631333033.0,25062646691.0,19938398580.0,93327851474.0,59758420758.0,7525992617.0,377302752910.0,59758420758.0,0,69158571895.0,3556783277.0,0,0,0,2021,2
424530218320.0,56715000686.0,3063237470.0,46015623471.0,3796255501.0,3037004401.0,79828077529.0,44928461009.0,18178161408.0,379601757311.0,44928461009.0,0,35110128150.0,3485594556.0,0,0,0,2021,3
451493874509.0,53900322008.0,2991139452.0,139044270056.0,30201237814.0,24005137969.0,71378651185.0,63067552229.0,29429914666.0,388426322280.0,63067552229.0,0,87524188478.0,3335676696.0,0,0,0,2021,4
448710759332.0,52522089503.0,2919041421.0,116764490546.0,23099472369.0,18479577894.0,70514236924.0,60754029295.0,40214851642.0,387956730037.0,60754029295.0,0,70424576208.0,3247290536.0,0,0,0,2022,1
471782358808.0,49439198709.0,2878887835.0,107149678350.0,27064772622.0,21556905173.0,94148221868.0,67506723598.0,13606069228.0,404275635210.0,67506723598.0,0,61549363593.0,3156377713.0,0,0,0,2022,2
481799316244.0,47026389620.0,2804706472.0,121510683543.0,25466839208.0,20373471366.0,99064422063.0,71433782668.0,18443824239.0,410365533576.0,71433782668.0,0,73188169171.0,3136605452.0,0,0,0,2022,3
481799316244.0,47026389620.0,2804706472.0,121510683543.0,25466839208.0,20373471366.0,99064422063.0,71433782668.0,18443824239.0,410365533576.0,71433782668.0,0,73188169171.0,3136605452.0,0,0,0,2022,4
