totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
1083198011272.0,92023178036.0,1975594127.0,178866067483.0,5643508854.0,4518131146.0,310388851023.0,785509418460.0,89393580073.0,297688592812.0,491808782529.0,293700635931.0,145060346829.0,3256950670.0,3397621870.0,280408733702.0,14845667736.0,2017,1
1307715231025.0,89588708930.0,1933396406.0,542786091293.0,12293813957.0,9775708779.0,266796622069.0,1000559390586.0,88287085918.0,307155840439.0,699088233930.0,301471156656.0,481248409597.0,3919295598.0,5453561365.0,331912534791.0,13586057736.0,2017,2
1971874584617.0,88112858443.0,1912675955.0,504803836296.0,12610590692.0,10104101118.0,265872180084.0,1654647725006.0,126099765453.0,317226859611.0,1333330795065.0,321316929941.0,444094877666.0,2561386880.0,6002123610.0,422997825776.0,20354410479.0,2017,3
1865228180441.0,87512967859.0,1870478234.0,498581043059.0,9032330809.0,7366283925.0,241589095829.0,1536368030488.0,164567258370.0,324589143513.0,1067672473828.0,468695556660.0,427207062885.0,3316602577.0,8470588442.0,536103855471.0,170775864305.0,2017,4
2060652687609.0,85239041699.0,2059116162.0,219338240860.0,5988224793.0,4787239834.0,303574347333.0,1755501601761.0,84613530173.0,300880079408.0,1272283649927.0,483217951834.0,183292963954.0,3212722414.0,7841109089.0,623463250187.0,168567870268.0,2018,1
1863644089987.0,84869048586.0,2018407077.0,304140823716.0,8800976810.0,7003895365.0,342695676387.0,1551540289603.0,167934649513.0,307832793944.0,1076845095952.0,474695193651.0,253451669555.0,3772070369.0,9137126140.0,663929678803.0,146774259932.0,2018,2
1945643904023.0,86099446108.0,1977698004.0,610059628536.0,13201503072.0,10536911349.0,304441500266.0,1627999704633.0,127644798284.0,313373192950.0,1138788781798.0,489210922835.0,537620383070.0,2818013683.0,9341173727.0,589162336601.0,149296187932.0,2018,3
2349415676605.0,93559411302.0,1941988920.0,510612060870.0,16533861289.0,10295280019.0,300938881439.0,2023032400727.0,130935470431.0,323668472968.0,982143260649.0,1040889140078.0,473099914597.0,3571612887.0,8538889437.0,613716198391.0,107544783260.0,2018,4
2360243065370.0,90239403767.0,1949234376.0,230033044798.0,5413220642.0,4326708841.0,252179845063.0,2047107952003.0,161728415231.0,310420310457.0,1000083416787.0,1047024535216.0,200996360538.0,3602662080.0,9198848203.0,600028754279.0,127956233596.0,2019,1
2087144034912.0,86835131827.0,1935002562.0,239665192964.0,4272302700.0,3341728947.0,259975573305.0,1773224142968.0,50805324599.0,313762039403.0,747701242355.0,1025522900613.0,199779632405.0,4163726289.0,10675819040.0,486928092544.0,107374623260.0,2019,2
