totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
93484638302.0,57372844127.0,1455124316.0,191691586585.0,1015153928.0,748025225.0,6891617336.0,62577898154.0,951132455.0,30906740148.0,30683955995.0,31893942159.0,180204724355.0,1542133100.0,286834069.0,24004349022.0,0,2017,1
93484638302.0,57372844127.0,1455124316.0,191691586585.0,1015153928.0,748025225.0,6891617336.0,62577898154.0,951132455.0,30906740148.0,30683955995.0,31893942159.0,180204724355.0,1542133100.0,286834069.0,24004349022.0,0,2017,2
93484638302.0,57372844127.0,1455124316.0,191691586585.0,1015153928.0,748025225.0,6891617336.0,62577898154.0,951132455.0,30906740148.0,30683955995.0,31893942159.0,180204724355.0,1542133100.0,286834069.0,24004349022.0,0,2017,3
100229933756.0,58072226774.0,1413754776.0,191691586585.0,1015153928.0,748025225.0,5936626115.0,66009360612.0,951132455.0,34220573144.0,33969240335.0,32040120277.0,180204724355.0,1542133100.0,286834069.0,21446876890.0,0,2017,4
100229933756.0,58072226774.0,1413754776.0,191691586585.0,1015153928.0,748025225.0,5936626115.0,66009360612.0,951132455.0,34220573144.0,33969240335.0,32040120277.0,180204724355.0,1542133100.0,286834069.0,21446876890.0,0,2018,1
100229933756.0,58072226774.0,1413754776.0,191691586585.0,1015153928.0,748025225.0,5936626115.0,66009360612.0,951132455.0,34220573144.0,33969240335.0,32040120277.0,180204724355.0,1542133100.0,286834069.0,21446876890.0,0,2018,2
100229933756.0,58072226774.0,1413754776.0,191691586585.0,1015153928.0,748025225.0,5936626115.0,66009360612.0,951132455.0,34220573144.0,33969240335.0,32040120277.0,180204724355.0,1542133100.0,286834069.0,21446876890.0,0,2018,3
116407139564.0,73231734340.0,1378412036.0,191691586585.0,1015153928.0,748025225.0,9851837123.0,78700430261.0,951132455.0,37706709303.0,36298006145.0,42402424116.0,180204724355.0,1542133100.0,286834069.0,20425742089.0,10619998000.0,2018,4
116407139564.0,73231734340.0,1378412036.0,191691586585.0,1015153928.0,748025225.0,9851837123.0,78700430261.0,951132455.0,37706709303.0,36298006145.0,42402424116.0,180204724355.0,1542133100.0,286834069.0,20425742089.0,10619998000.0,2019,1
116407139564.0,73231734340.0,1378412036.0,191691586585.0,1015153928.0,748025225.0,9851837123.0,78700430261.0,951132455.0,37706709303.0,36298006145.0,42402424116.0,180204724355.0,1542133100.0,286834069.0,20425742089.0,10619998000.0,2019,2
116407139564.0,73231734340.0,1378412036.0,191691586585.0,1015153928.0,748025225.0,9851837123.0,78700430261.0,951132455.0,37706709303.0,36298006145.0,42402424116.0,180204724355.0,1542133100.0,286834069.0,20425742089.0,10619998000.0,2019,3
124194700249.0,75760598369.0,1343069296.0,191691586585.0,1015153928.0,748025225.0,12095461991.0,73017432224.0,951132455.0,51177268025.0,41721876483.0,31295555741.0,180204724355.0,1542133100.0,286834069.0,24875489786.0,5899990000.0,2019,4
124194700249.0,75760598369.0,1343069296.0,191691586585.0,1015153928.0,748025225.0,12095461991.0,73017432224.0,951132455.0,51177268025.0,41721876483.0,31295555741.0,180204724355.0,1542133100.0,286834069.0,24875489786.0,5899990000.0,2020,1
124194700249.0,75760598369.0,1343069296.0,191691586585.0,1015153928.0,748025225.0,12095461991.0,73017432224.0,951132455.0,51177268025.0,41721876483.0,31295555741.0,180204724355.0,1542133100.0,286834069.0,24875489786.0,5899990000.0,2020,2
124194700249.0,75760598369.0,1343069296.0,191691586585.0,1015153928.0,748025225.0,12095461991.0,73017432224.0,951132455.0,51177268025.0,41721876483.0,31295555741.0,180204724355.0,1542133100.0,286834069.0,24875489786.0,5899990000.0,2020,3
102576807575.0,66705006704.0,1307726556.0,191691586585.0,1015153928.0,748025225.0,9760013742.0,52352217290.0,951132455.0,50224590285.0,33647784302.0,18704432988.0,180204724355.0,1542133100.0,286834069.0,22276253468.0,0,2020,4
102576807575.0,66705006704.0,1307726556.0,191691586585.0,1015153928.0,748025225.0,9760013742.0,52352217290.0,951132455.0,50224590285.0,33647784302.0,18704432988.0,180204724355.0,1542133100.0,286834069.0,22276253468.0,0,2021,1
102576807575.0,66705006704.0,1307726556.0,191691586585.0,1015153928.0,748025225.0,9760013742.0,52352217290.0,951132455.0,50224590285.0,33647784302.0,18704432988.0,180204724355.0,1542133100.0,286834069.0,22276253468.0,0,2021,2
102576807575.0,66705006704.0,1307726556.0,191691586585.0,1015153928.0,748025225.0,9760013742.0,52352217290.0,951132455.0,50224590285.0,33647784302.0,18704432988.0,180204724355.0,1542133100.0,286834069.0,22276253468.0,0,2021,3
