totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
178792061467.0,117968785728.0,0,58536056362.0,1700673740.0,1354392612.0,15657421635.0,89487708271.0,8510215578.0,89304353196.0,25639328008.0,63848380263.0,50958241598.0,3807448777.0,1247429961.0,6632000000.0,53052000000.0,2017,1
176331263935.0,114361666033.0,0,54152368013.0,1156095841.0,944163782.0,15149123138.0,90040585421.0,15404125511.0,86290678514.0,27211492938.0,62829092483.0,47482361990.0,3809619695.0,1341232000.0,6632000000.0,51394000000.0,2017,2
181552244090.0,110621415383.0,0,67659256944.0,1670286097.0,1345882925.0,21216642931.0,93931947757.0,15573400703.0,87620296333.0,33511921227.0,60420026530.0,60501854324.0,3740250650.0,1332940000.0,6632000000.0,49736000000.0,2017,3
177592371125.0,107017779344.0,0,68900263565.0,1876820060.0,1497388564.0,17407754773.0,88490723262.0,14753357329.0,89101647863.0,29680936732.0,58809786530.0,60578847653.0,3698292409.0,1294391500.0,6632000000.0,48078000000.0,2017,4
179765951594.0,103373217315.0,0,63216985714.0,815679492.0,662598777.0,18211415009.0,90030280138.0,19116250709.0,89735671456.0,33099096218.0,56931183920.0,55445625329.0,3644562029.0,1259395650.0,9632000000.0,46420000000.0,2018,1
193581384684.0,99761056598.0,0,73719904362.0,2413100106.0,1938885568.0,17901681175.0,106424218014.0,20518742471.0,87157166670.0,50766034094.0,55658183920.0,65394627267.0,3612160717.0,1255084792.0,21063684000.0,44762000000.0,2018,2
349977351985.0,277843626265.0,0,73580808001.0,81309225.0,76194233.0,18269519799.0,262763781436.0,8258651379.0,87213570549.0,126813597516.0,135950183920.0,66523481004.0,4146885303.0,1856767637.0,14812000000.0,124924000000.0,2018,3
339353428347.0,272452195373.0,0,98124828513.0,3138819796.0,2435720316.0,15849675256.0,249723912545.0,2365102252.0,89629515802.0,55271128625.0,194452783920.0,84985760825.0,6665794528.0,4247796523.0,20250612583.0,183221000000.0,2018,4
330984923171.0,265796408689.0,0,80126784384.0,1858527515.0,1476576726.0,19318247964.0,239923103403.0,6331963610.0,91061819768.0,110873319483.0,129049783920.0,68095417166.0,6655786684.0,3932591691.0,19885640000.0,117518000000.0,2019,1
330649237777.0,259154215353.0,0,86398043412.0,147860625.0,65082795.0,17644437244.0,244048863437.0,7214385716.0,86600374340.0,116446079517.0,127602783920.0,76334743681.0,6642193336.0,3788180340.0,19812000000.0,113815000000.0,2019,2
314236286898.0,252572299668.0,0,92485827091.0,1341816378.0,1047125394.0,17596578378.0,226589347447.0,6907348067.0,87646939451.0,100236791327.0,126352556120.0,82789320513.0,6623015685.0,3720783569.0,14812000000.0,110112000000.0,2019,3
305062393487.0,245947357459.0,0,87063094025.0,3896050745.0,3203484369.0,23712013762.0,214237061922.0,3046343066.0,90825331565.0,92018152002.0,122218909920.0,74258990499.0,6624942209.0,3576871175.0,40637442343.0,106409000000.0,2019,4
305227742882.0,238588301281.0,0,81247534478.0,1750359016.0,1322559018.0,27157445521.0,213758256232.0,9291946649.0,91469486650.0,95242346312.0,118515909920.0,70777033044.0,7632919814.0,2922960173.0,14812000000.0,102706000000.0,2020,1
