totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
1368519274258.0,448551344054.0,2544939765.0,896739572900.0,3105027792.0,3105027792.0,42126381753.0,983480006766.0,32630394691.0,385039267492.0,905235083674.0,78244923092.0,777157535204.0,15010556707.0,3626471035.0,404953318861.0,0,2017,1
1250241358153.0,450081083694.0,2534196019.0,734925548696.0,1531833002.0,1531833002.0,52911936233.0,863694257658.0,22941153481.0,386547100495.0,774379037697.0,89315219961.0,614419954494.0,6514838080.0,4389167863.0,361419313702.0,0,2017,2
1389112271507.0,428053573032.0,2487842527.0,903975576676.0,260702366.0,260702366.0,53310615554.0,1002304468646.0,52046320127.0,386807802861.0,912500624883.0,89803843763.0,780567225667.0,7977202997.0,5195924011.0,414078232161.0,0,2017,3
1442140998811.0,419127531055.0,2626193404.0,1016707719102.0,9539105166.0,8170690808.0,78118066831.0,1047121705142.0,48990526119.0,395019293669.0,955045466294.0,92076238848.0,877093953668.0,4400000000.0,5215954816.0,423668087158.0,0,2017,4
1431804076800.0,422435849054.0,2585020011.0,962708083168.0,2834681491.0,2267745193.0,63773447701.0,1034416754483.0,46261171605.0,397387322317.0,941061885728.0,93354868755.0,842037990666.0,9641494114.0,4951165019.0,369222738446.0,0,2018,1
1523771962562.0,417678588999.0,4113676637.0,1000170208917.0,4299149344.0,3539319475.0,84236108177.0,1123037011948.0,54229301763.0,400734950614.0,1029958976910.0,93078035038.0,878321137437.0,9668306292.0,4185735158.0,324316419779.0,0,2018,2
1430391169461.0,413115411866.0,4062421066.0,1021491022597.0,3459598415.0,2625878732.0,57200374604.0,1026822640115.0,113043087124.0,403568529346.0,936196574270.0,90626065845.0,898654588901.0,17521048606.0,4650134249.0,438852806931.0,0,2018,3
1450305333060.0,401898763122.0,3626342023.0,1070565076604.0,4428923777.0,3622952482.0,71016763169.0,1043373551232.0,33918432649.0,406931781828.0,937643841453.0,105729709779.0,941685954982.0,6403254933.0,3912451245.0,417323536103.0,0,2018,4
1458679052465.0,390549045809.0,3505168630.0,917993822101.0,4543106498.0,4543106498.0,32970835454.0,1048315029510.0,44462197573.0,410364022955.0,942610465336.0,105704564174.0,808262563968.0,10222048424.0,5465899276.0,415281137137.0,0,2019,1
1365183604680.0,387758624265.0,3271556461.0,788579130862.0,-3933405745.0,-4107669120.0,69573749735.0,884040285377.0,51384527942.0,481143319303.0,776617558344.0,107422727033.0,721618569059.0,5044358715.0,5658768261.0,354990399166.0,0,2019,2
1293764225478.0,380075793930.0,3361015340.0,794835578427.0,-11241661702.0,-11241661702.0,55578295054.0,823475073671.0,68241580587.0,470289151807.0,714838285692.0,108636787979.0,701683640131.0,7706048270.0,4886542249.0,318206453870.0,0,2019,3
1282895131809.0,369024472884.0,2916770900.0,979053161293.0,10838813577.0,8671050862.0,50507222659.0,805089960929.0,72571656159.0,477805170880.0,700105586947.0,104984373982.0,877092811913.0,9260812828.0,3516326198.0,118673626966.0,0,2019,4
1332029001788.0,361980250726.0,2556679777.0,833163768128.0,-11599451905.0,-11599451905.0,33887877891.0,862725548436.0,193448586840.0,469303453352.0,760675143392.0,102050405044.0,764626782509.0,10327550162.0,873072297.0,0,0,2020,1
1331893487882.0,369086165333.0,3029682123.0,658106069112.0,3978961436.0,3978961436.0,43807457482.0,858647073094.0,95245092896.0,473246414788.0,755520184188.0,103126888906.0,570272792762.0,4317675084.0,59534247.0,70000000000.0,0,2020,2
1328707966985.0,353001048196.0,3104515015.0,837951165203.0,-997949805.0,-1397949805.0,16753493055.0,860144683396.0,231151053228.0,468563283589.0,756743270016.0,103401413380.0,754551209533.0,11005454789.0,223243131.0,114041996385.0,0,2020,3
1533396859299.0,341676007813.0,2905196829.0,1095635806456.0,9579609974.0,9454209974.0,36222914169.0,1052051672712.0,350247044314.0,481345186587.0,942384917987.0,109666754725.0,980038357629.0,8300673102.0,916033640.0,50000000000.0,0,2020,4
1642667201387.0,336018957960.0,2686956149.0,1237454431336.0,6206311625.0,4965049300.0,31172884250.0,1156356965500.0,537046819772.0,486310235887.0,1042263305883.0,114093659617.0,1130841683762.0,10400803405.0,24332601.0,0,0,2021,1
1523780412952.0,327189274563.0,2589997828.0,813376239969.0,6064385571.0,5791247896.0,23299422428.0,1031720929169.0,412703570722.0,492059483783.0,914058469078.0,117662460091.0,696878164045.0,8796945153.0,0,0,0,2021,2
1612287195007.0,318785372684.0,2506216033.0,986580070320.0,2275586837.0,885586837.0,26331346517.0,1119329224387.0,618295837389.0,492957970620.0,995780955889.0,123548268498.0,899532821197.0,9125433681.0,0,0,0,2021,3
1858868243241.0,303793295745.0,2422434238.0,1075286722079.0,4073919503.0,2201305844.0,115420233789.0,1363708966777.0,37110753901.0,495159276464.0,1233062743452.0,130646223325.0,969597314144.0,15807032765.0,0,0,0,2021,4
1770957471327.0,293930412053.0,2338652443.0,1214115447325.0,3758442853.0,3006754282.0,40038058161.0,1271984249803.0,523566404890.0,498973221524.0,1118733178853.0,153251070950.0,1125701304683.0,9611562440.0,0,16914693397.0,0,2022,1
1676423974199.0,284830964554.0,2254870648.0,1156805132051.0,4850127158.0,3838041527.0,68015092110.0,1187062711148.0,489744756464.0,489361263051.0,1026745941357.0,160316769791.0,1073374928364.0,10348703689.0,0,0,0,2022,2
1463804699651.0,318556021142.0,2169630513.0,1100785080441.0,5423045690.0,4287171126.0,54192999406.0,970456265474.0,382637441653.0,493348434177.0,801676642924.0,168779622550.0,1013733355197.0,5698336862.0,0,0,0,2022,3
1463804699651.0,318556021142.0,2169630513.0,1100785080441.0,5423045690.0,4287171126.0,54192999406.0,970456265474.0,382637441653.0,493348434177.0,801676642924.0,168779622550.0,1013733355197.0,5698336862.0,0,0,0,2022,4
