totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
1018084838086.0,144897222571.0,106249954.0,46993080803.0,-663039860.0,-377988563.0,207338753018.0,521515756756.0,18494833971.0,496569081330.0,385759365696.0,135756391060.0,35158232227.0,6544902611.0,6442159188.0,214100121483.0,132723412337.0,2017,1
1341182344388.0,145847995165.0,103124953.0,128180089696.0,4287121065.0,3604479899.0,242599599519.0,841538919895.0,164314507996.0,499643424493.0,626705058953.0,214833860942.0,108461400275.0,6553757862.0,11508921854.0,286807719123.0,211800882219.0,2017,2
1410909455150.0,143487829206.0,99999952.0,122265816255.0,-9706931985.0,-14068841134.0,267801225410.0,782400066172.0,40244195291.0,628509388978.0,497573263485.0,284826802687.0,117097594948.0,6569071640.0,7511810671.0,212322797117.0,281793823964.0,2017,3
1585357192769.0,168370100518.0,96874951.0,280972897123.0,-6480306497.0,-1752801561.0,207935888619.0,962137379802.0,55357583690.0,623219812967.0,532355148614.0,429782231188.0,269924785119.0,7323500235.0,8997522498.0,201494046320.0,426749252465.0,2017,4
1606588802531.0,163233044530.0,93749950.0,155656574734.0,9120328146.0,7295516532.0,223517952642.0,974942502803.0,30342986000.0,631646299728.0,605982213203.0,368960289600.0,141104438376.0,7642361898.0,7425315168.0,311278312319.0,367237857414.0,2018,1
1774405661532.0,171304124152.0,193749948.0,157076955662.0,23793334612.0,12864748559.0,297871838764.0,1124926916107.0,65081905018.0,649478745425.0,657067822237.0,467859093870.0,125659685681.0,8181265998.0,8016834889.0,344112786249.0,466136661684.0,2018,2
2023955677491.0,166045838199.0,183749946.0,170777826315.0,14844336704.0,8986634277.0,307940012362.0,1362824474723.0,166641725165.0,661131202768.0,881386731270.0,481437743453.0,142099848170.0,8166043613.0,24327986756.0,378663613664.0,479715311267.0,2018,3
2152250213054.0,169818751361.0,173749944.0,321839123336.0,31934008625.0,16640304376.0,303381162922.0,1461975621436.0,99471158297.0,690274591618.0,910141845963.0,551833775473.0,272388657837.0,8357835295.0,6535544711.0,252677108524.0,550050109708.0,2018,4
2577316225828.0,732568192437.0,154583274.0,480776539463.0,32243808512.0,16939066973.0,519524778023.0,1861351568443.0,32750057498.0,715964657385.0,1266517312980.0,594834255463.0,425781591335.0,29358757194.0,14627421498.0,370000431774.0,567296780170.0,2019,1
2342212161777.0,689822117403.0,142291605.0,478779243701.0,30836271996.0,17559592467.0,361309867459.0,1604340813672.0,505142196198.0,737871348105.0,1014354736218.0,589986077454.0,411512342189.0,31591070446.0,21250431992.0,320103828131.0,573232239789.0,2019,2
1983875426095.0,914111231977.0,129999936.0,208969684641.0,6564632523.0,3800137779.0,259697570710.0,1243342855756.0,118593225872.0,740532570339.0,662650234620.0,580692621136.0,183708602690.0,29822512583.0,57196698162.0,429953711462.0,565843468039.0,2019,3
2134251763533.0,884253459611.0,117708267.0,130846774143.0,-31552206986.0,-13495034531.0,265184112757.0,1417852731648.0,109105242200.0,716399031885.0,726202248972.0,691650482676.0,115251002617.0,31284772624.0,82521189187.0,349908269554.0,680524435603.0,2019,4
