totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
177421773569.0,14325286892.0,19739036000.0,236787664951.0,0,8379158137.0,73466269939.0,58765811281.0,38666371578.0,118655962288.0,58765811281.0,0,209583673759.0,0,0,0,0,2017,1
162408750085.0,14492998623.0,19739036000.0,239600859869.0,0,7711146987.0,62061046973.0,62850181182.0,36655822846.0,99558568903.0,62850181182.0,0,213774243115.0,0,0,0,0,2017,2
179104725978.0,14513592974.0,19739036000.0,237124771125.0,0,7877785213.0,58772483496.0,71668371862.0,50780451247.0,107436354116.0,71668371862.0,0,209188217431.0,0,0,0,0,2017,3
166349914301.0,15160600450.0,19739036000.0,217523053380.0,0,8927405468.0,48870963395.0,49986154717.0,54441380433.0,116363759584.0,49986154717.0,0,189569991431.0,0,0,0,0,2017,4
185436839643.0,19741695702.0,19739036000.0,254921356755.0,0,11144136757.0,35311116436.0,57928943302.0,54315320027.0,127507896341.0,57928943302.0,0,220241335428.0,0,0,0,0,2018,1
181763271571.0,18544836211.0,19739036000.0,251100149177.0,0,9692701084.0,48859613795.0,74438319623.0,19590580695.0,107324951948.0,74438319623.0,0,219642622717.0,0,0,0,0,2018,2
209207529190.0,18895196269.0,19739036000.0,246345640889.0,0,9774699193.0,72761265277.0,92107878049.0,19875358274.0,117099651141.0,92107878049.0,0,215999667775.0,0,0,0,0,2018,3
198107493743.0,25127233413.0,19739036000.0,258915475557.0,0,9654236309.0,74583402367.0,71353606293.0,11835327315.0,126753887450.0,71353606293.0,0,223377578783.0,0,0,0,0,2018,4
210787548007.0,29508577700.0,19739036000.0,265529850396.0,0,11853985590.0,78105397453.0,72179674967.0,28867783710.0,138607873040.0,72179674967.0,0,229728933302.0,0,0,0,0,2019,1
210253166207.0,29850114745.0,19739036000.0,249127115309.0,0,9835452076.0,101093793864.0,92956122415.0,8047379391.0,117297043792.0,92956122415.0,0,218272956697.0,0,0,0,0,2019,2
221808515829.0,25368598297.0,19739036000.0,266081607061.0,0,9676094707.0,95184660460.0,94835377330.0,25030321641.0,126973138499.0,94835377330.0,0,234645696509.0,0,0,0,0,2019,3
211771827260.0,22890407807.0,19739036000.0,282748899747.0,0,10623846240.0,89327160281.0,74174842521.0,9577715109.0,137596984739.0,74174842521.0,0,247974802912.0,0,16753294000.0,0,0,2019,4
223562869625.0,19848731610.0,19739036000.0,293071700580.0,0,12132285187.0,67878656948.0,73833599699.0,43782712280.0,149729269926.0,73833599699.0,0,256514188594.0,0,0,0,0,2020,1
222055059033.0,19627434474.0,19739036000.0,262528821356.0,0,11068185592.0,87439680850.0,92701034388.0,21884515403.0,129354024645.0,92701034388.0,0,226275214906.0,0,0,0,0,2020,2
246711070781.0,18277761460.0,19739036000.0,279568401061.0,0,12200331135.0,83213008939.0,105156715001.0,35610338556.0,141554355780.0,105156715001.0,0,243943253929.0,0,0,0,0,2020,3
223823272438.0,16853209485.0,19739036000.0,250799574185.0,0,11358044549.0,86030188175.0,70910872109.0,19157309802.0,152912400329.0,70910872109.0,0,216669345302.0,0,0,0,0,2020,4
242554692945.0,15031301518.0,19739036000.0,294938199110.0,0,13434355658.0,66647825694.0,76207936958.0,51246801869.0,166346755987.0,76207936958.0,0,254861661711.0,0,0,0,0,2021,1
241244057230.0,14589929666.0,19739036000.0,217465578084.0,0,11135236909.0,91361943928.0,102490656464.0,15738849224.0,138753400766.0,102490656464.0,0,181133551185.0,0,0,0,0,2021,2
275082723785.0,13442128760.0,19739036000.0,259205390488.0,0,15505111815.0,37395132853.0,120824211204.0,58340068805.0,154258512581.0,120824211204.0,0,211586787499.0,0,0,0,0,2021,3
257131313561.0,14428362465.0,19889036000.0,194528301116.0,0,9337327534.0,39839293371.0,93535473446.0,47523486911.0,163595840115.0,93535473446.0,0,159938889866.0,0,0,0,0,2021,4
278459894715.0,13147227850.0,19870286000.0,189405386324.0,0,13590002800.0,43698012040.0,101274051800.0,47073662333.0,177185842915.0,101274051800.0,0,146846934599.0,0,0,0,0,2022,1
254200208703.0,12850407868.0,19851536000.0,192060641230.0,0,11799580269.0,61997463734.0,104400786821.0,33869765757.0,149799421882.0,104400786821.0,0,158214529391.0,0,0,0,0,2022,2
279185231045.0,13479055498.0,19832786000.0,225472274648.0,0,14397579032.0,62433288855.0,114988230131.0,32106616878.0,164197000914.0,114988230131.0,0,187127226348.0,0,0,0,0,2022,3
279185231045.0,13479055498.0,19832786000.0,225472274648.0,0,14397579032.0,62433288855.0,114988230131.0,32106616878.0,164197000914.0,114988230131.0,0,187127226348.0,0,0,0,0,2022,4
