totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
1140785776566.0,199839074050.0,0,182971170775.0,7003287883.0,5782455270.0,348324675894.0,982178896580.0,13390370508.0,158606879986.0,891446628732.0,90732267848.0,150515393323.0,6344480473.0,11020437027.0,515332079377.0,90732267848.0,2017,1
1228782128531.0,198681472106.0,0,280370434419.0,11116049006.0,9713541182.0,343322556288.0,1062900303266.0,20530827987.0,165881825265.0,973340856013.0,89559447253.0,240048433301.0,6483907791.0,11487652957.0,578262168589.0,89559447253.0,2017,2
1233280111684.0,192215015301.0,0,240976539971.0,8237184663.0,7450024179.0,282705888418.0,1059948262240.0,12200272133.0,173331849444.0,972948403974.0,86999858266.0,206371092996.0,6593531095.0,12457323784.0,611950682563.0,86999858266.0,2017,3
1267129130268.0,193248443068.0,0,173728071886.0,7737823381.0,7009541238.0,355535838981.0,1087026900286.0,13285162483.0,180102229982.0,998481041424.0,88545858862.0,138826165400.0,6521173323.0,13231883225.0,588857502482.0,88545858862.0,2017,4
1275768700736.0,187471459346.0,0,225417860981.0,4025306917.0,3263080898.0,341083559232.0,1093573027934.0,15532905616.0,182195672802.0,1009400426582.0,84172601352.0,194257916365.0,6488620274.0,12564284895.0,561988721778.0,84172601352.0,2018,1
1300037791281.0,182115108664.0,0,193102813384.0,4115429192.0,3419807195.0,363538016134.0,1132631274420.0,9764084393.0,167406516861.0,1051512002455.0,81119271965.0,163465304613.0,6504650682.0,12276728495.0,565884656751.0,81119271965.0,2018,2
1264553342936.0,175717586354.0,0,197937436145.0,2051354769.0,2051354770.0,316012028731.0,1095095471306.0,58950139781.0,169457871630.0,1014956988970.0,80138482336.0,170267006453.0,6397522309.0,12959930147.0,546065527580.0,80138482336.0,2018,3
1343622656287.0,169513473468.0,0,175323527969.0,9765847863.0,6643351868.0,337950373920.0,1168845488508.0,39813246060.0,174777167779.0,1092608418309.0,76237070199.0,142249847011.0,6284112886.0,13340431913.0,565048194556.0,76237070199.0,2018,4
1418749911407.0,166720793575.0,0,200830119214.0,3171409123.0,2705853311.0,373209709813.0,1241636752762.0,32656487538.0,177113158645.0,1167048949009.0,74587803753.0,171208429382.0,6310625348.0,12683386455.0,580959596745.0,74587803753.0,2019,1
1435259584572.0,160602605896.0,0,256434676989.0,4024013759.0,2836534404.0,428006085448.0,1256900641004.0,35936614590.0,178358943568.0,1185773937780.0,71126703224.0,220106179739.0,6371096770.0,13261236340.0,584972460597.0,71126703224.0,2019,2
1353554263557.0,154577007542.0,0,278783133688.0,1867681038.0,1867681038.0,349328071745.0,1173327638951.0,15916221176.0,180226624606.0,1105312418000.0,68015220951.0,249348934107.0,6285198354.0,13455715210.0,551308957020.0,68015220951.0,2019,3
1342552934153.0,150111077891.0,0,197871863089.0,3160232596.0,3419900580.0,383841615982.0,1158906408967.0,6129248515.0,183646525186.0,1093232778366.0,65673630601.0,163790329322.0,5089597833.0,13251078924.0,554615665348.0,65673630601.0,2019,4
1330021203340.0,145035539766.0,0,228086873480.0,1155524298.0,1006933999.0,365261894070.0,1149689176703.0,13193364462.0,180332026637.0,1084144522333.0,65544654370.0,203061827507.0,5075538125.0,13696260658.0,547326264075.0,65544654370.0,2020,1
1293859051279.0,139982676619.0,0,244651668604.0,385759146.0,225491508.0,319142209000.0,1114063359973.0,5682758555.0,179795691306.0,1051764761118.0,62298598855.0,217038105660.0,5033331897.0,13802013135.0,521828306627.0,62298598855.0,2020,2
1293859051279.0,139982676619.0,0,244651668604.0,385759146.0,225491508.0,319142209000.0,1114063359973.0,5682758555.0,179795691306.0,1051764761118.0,62298598855.0,217038105660.0,5033331897.0,13802013135.0,521828306627.0,62298598855.0,2020,3
1196386837867.0,129888150291.0,0,218990341207.0,385759146.0,11265743659.0,264507171615.0,1017117403996.0,5682758555.0,179269433871.0,956942383929.0,60175020067.0,183337436832.0,5033331897.0,13193505844.0,459182770618.0,60175020067.0,2020,4
1181159357308.0,124770946799.0,0,120466276684.0,46199295.0,46199295.0,257676672791.0,1005233410747.0,-50374147117.0,175925946561.0,945487923460.0,59745487287.0,101190402852.0,5011372978.0,10748843629.0,446309554098.0,59745487287.0,2021,1
1179123330239.0,119815316130.0,0,140587920373.0,1292672575.0,805105078.0,273439603963.0,999537376484.0,13256228857.0,179585953755.0,941438909465.0,58098467019.0,116354663962.0,4854002831.0,8693698784.0,419175616738.0,58098467019.0,2021,2
1252265525482.0,115290751911.0,0,123607960646.0,-335912901.0,-53503783.0,324398291216.0,1072303261468.0,12948783321.0,179962264014.0,1008598573370.0,63704688098.0,108939262709.0,2579166.0,0,419417466496.0,63704688098.0,2021,3
1346412540916.0,110766187692.0,0,141509782155.0,1226531311.0,-8093345159.0,384836690618.0,1165530081378.0,-7208994047.0,180882459538.0,1109697483498.0,55832597880.0,112605722249.0,4524564219.0,0,410743982435.0,55832597880.0,2021,4
1196649400046.0,106241623473.0,0,178303926162.0,598387352.0,478709882.0,304478422432.0,1015347803799.0,1960787704.0,181301596247.0,953538885946.0,61808917853.0,157395945123.0,4524564219.0,12321018249.0,392897560091.0,61808917853.0,2022,1
1245640338364.0,102412253516.0,0,111566647505.0,183573774.0,50135434.0,316461246512.0,1064370232205.0,1585211214.0,181270106159.0,1008917480668.0,55452751537.0,87766471363.0,4518469957.0,8528955455.0,404378020461.0,55452751537.0,2022,2
1125248366020.0,97887276412.0,0,69184652687.0,-7067241474.0,-7067241474.0,299737661692.0,951045501335.0,2149656203.0,174202864685.0,722650997059.0,228394504276.0,56837719119.0,4524977104.0,11090242986.0,179882498547.0,190580787382.0,2022,3
1125248366020.0,97887276412.0,0,69184652687.0,-7067241474.0,-7067241474.0,299737661692.0,951045501335.0,2149656203.0,174202864685.0,722650997059.0,228394504276.0,56837719119.0,4524977104.0,11090242986.0,179882498547.0,190580787382.0,2022,4
