totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
902039772052.0,689964828330.0,10628499800.0,100574509592.0,0,54595068528.0,2654951714.0,460517218425.0,14573489132.0,441522553627.0,121104128574.0,339413089851.0,24078863661.0,0,8003110015.0,39874673834.0,339413089851.0,2017,1
913307145217.0,680050266541.0,10599366839.0,91122826570.0,0,48806176866.0,2602411219.0,421729211274.0,51071540987.0,491577933943.0,101005442134.0,320723769140.0,24371559242.0,0,7219888090.0,35703269938.0,317766421700.0,2017,2
883088432714.0,670227929443.0,10570233878.0,43229359022.0,0,14255959364.0,2327964233.0,410959317502.0,58683059811.0,472129115212.0,91658673362.0,319300644140.0,21416804173.0,0,6829842436.0,36357705875.0,316343296700.0,2017,3
875800505894.0,660251218307.0,10652434250.0,83143406259.0,0,39216933445.0,2237802354.0,416631843691.0,37736745829.0,459168662203.0,116261743167.0,300370100524.0,27012367945.0,0,8215974808.0,51589821527.0,300370100524.0,2017,4
916964871705.0,650165198369.0,10613180077.0,105037017713.0,0,59341929997.0,2241529191.0,392543532814.0,58179893723.0,524421338891.0,95094369790.0,297449163024.0,26122381796.0,0,5382114529.0,37436216408.0,297449163024.0,2018,1
892959102150.0,640145323344.0,10573925904.0,76799141373.0,0,39226873677.0,2263595810.0,361375561670.0,70187691039.0,531583540480.0,83214406863.0,278161154807.0,22760401766.0,0,6602503474.0,44332296404.0,278161154807.0,2018,2
842776947988.0,630092375862.0,10534671735.0,14805005298.0,0,-8670465946.0,2163273929.0,356726785802.0,14562945866.0,486050162186.0,80002505995.0,276724279807.0,18348176267.0,0,7663084983.0,47488235771.0,276724279807.0,2018,3
841701012160.0,620039428380.0,10498334229.0,46333957937.0,0,16591549744.0,2525601324.0,339965300270.0,14038878169.0,501735711890.0,82576841181.0,257388459089.0,20706968044.0,0,5388792749.0,52204344785.0,257388459089.0,2018,4
853750180040.0,610025210519.0,10461996723.0,69963357380.0,0,34703442142.0,2497054304.0,348743442158.0,18717262340.0,505006737882.0,92807795569.0,255935646589.0,21701696173.0,0,6267953211.0,45100934027.0,255935646589.0,2019,1
842679116330.0,599974867181.0,10425659217.0,73731741798.0,0,40500049147.0,2504138520.0,326581398369.0,2168597960.0,516097717961.0,92187725751.0,234393672618.0,21570707776.0,0,5383533795.0,63143217369.0,234393672618.0,2019,2
776747955103.0,589996369676.0,10389321711.0,18118031227.0,0,-2934914579.0,2485608414.0,304152173956.0,1939952719.0,472595781147.0,71217876338.0,232934297618.0,19675930000.0,0,4547593094.0,48336210842.0,232934297618.0,2019,3
824617970358.0,625483634979.0,10352984209.0,69367976081.0,0,38304497192.0,2473419586.0,314325593686.0,38613323586.0,510292376672.0,103162343672.0,211163250014.0,18455051977.0,0,6876651749.0,68501835842.0,211163250014.0,2019,4
827420179271.0,614955974825.0,10331063370.0,66976001834.0,0,31792125647.0,3064786321.0,300967958435.0,72867123808.0,526452220836.0,91256583421.0,209711375014.0,21906183332.0,0,5827789115.0,57446739246.0,209711375014.0,2020,1
774281232619.0,604428314671.0,10309142531.0,54476209194.0,0,24337597484.0,3120767468.0,284029976395.0,38076636262.0,490251256224.0,95922140079.0,188107836316.0,21860823884.0,0,4892941186.0,66002739246.0,188107836316.0,2020,2
740836024697.0,593914553410.0,10287221691.0,26539668527.0,0,2017909723.0,3064816494.0,275412108676.0,23587443500.0,465423916021.0,88759897360.0,186652211316.0,22270406012.0,0,5358555727.0,60612464109.0,186652211316.0,2020,3
773880583167.0,583508600103.0,10275422064.0,112218783568.0,0,60691899795.0,3525449413.0,267788699615.0,30585350075.0,506091883552.0,68360173802.0,199428525813.0,32482850653.0,0,5055647353.0,30897500000.0,199428525813.0,2020,4
797970622436.0,559067484005.0,10263622437.0,96350523165.0,0,51581243159.0,3717437976.0,235178848891.0,59094455608.0,562791773545.0,49199698078.0,185979150813.0,26179087019.0,0,4310817269.0,17797500000.0,185979150813.0,2021,1
760236253277.0,548576826328.0,10251822810.0,76383131433.0,0,39686803470.0,3718792522.0,208359524946.0,56310495782.0,551876728331.0,50468641485.0,157890883461.0,23514053864.0,0,3668192678.0,21380000000.0,157890883461.0,2021,2
707930025284.0,538086168651.0,10240023183.0,26115508506.0,0,2164526651.0,3621535247.0,188085600740.0,42440030298.0,519844424544.0,44439717279.0,143645883461.0,20255792983.0,0,3294455980.0,20580000000.0,143645883461.0,2021,3
751512353107.0,527596038866.0,10228223556.0,107305815167.0,0,56161853237.0,3088789576.0,195384184522.0,71672184667.0,556128168585.0,54369422067.0,141014762455.0,32091466776.0,0,3193126719.0,20130000000.0,141014762455.0,2021,4
777468509353.0,521665557006.0,10216423929.0,111265535168.0,0,59082981152.0,3048604706.0,156762826502.0,75734074912.0,620705682851.0,51483263466.0,105279563036.0,27216392588.0,0,2419853077.0,15930000000.0,105279563036.0,2022,1
741604266148.0,511078233614.0,10204624302.0,91831797558.0,0,46712127937.0,3032169277.0,120788417925.0,77203375217.0,620815848223.0,46590080400.0,74198337525.0,25598173276.0,0,1785605383.0,13053750000.0,74198337525.0,2022,2
715407911156.0,502150381068.0,10192824675.0,66079570000.0,0,27958609031.0,2330222794.0,96268354693.0,31360988020.0,619139556463.0,42933454668.0,53334900025.0,25922866917.0,0,1100200350.0,13053750000.0,53334900025.0,2022,3
715407911156.0,502150381068.0,10192824675.0,66079570000.0,0,27958609031.0,2330222794.0,96268354693.0,31360988020.0,619139556463.0,42933454668.0,53334900025.0,25922866917.0,0,1100200350.0,13053750000.0,53334900025.0,2022,4
