totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
90829494726.0,7323708638.0,6480706863.0,17788631568.0,-77537188.0,-217682446.0,18751233320.0,26923240766.0,17335835944.0,63906253960.0,26460740766.0,462500000.0,14788509587.0,214366907.0,1604346.0,417500000.0,202500000.0,2017,1
124035862914.0,7148115998.0,6475606862.0,60466722085.0,3140575329.0,2260502794.0,29609881673.0,57550972077.0,31907211932.0,66484890837.0,57088472077.0,462500000.0,51348989029.0,213660981.0,17395937.0,45000000.0,202500000.0,2017,2
148655774573.0,6979082466.0,6471881861.0,68933556350.0,2820072948.0,2003238020.0,31682667032.0,79929876235.0,60608562641.0,68725898338.0,79467376235.0,462500000.0,59337030873.0,205726873.0,107363242.0,45000000.0,202500000.0,2017,3
102812333572.0,6810048945.0,6468156872.0,104560988967.0,1128266533.0,2730794317.0,20110340206.0,33386011315.0,24654060855.0,69426322257.0,33013511315.0,372500000.0,86503450642.0,205726851.0,8024576.0,612500000.0,112500000.0,2017,4
109950933675.0,6596663469.0,6468156872.0,16365023453.0,-24760485.0,85916373.0,27070274024.0,44541547705.0,15917474354.0,65409385970.0,44169047705.0,372500000.0,13583080627.0,210872252.0,99556946.0,15636326418.0,112500000.0,2018,1
133937058335.0,6418759557.0,6468156872.0,67975237954.0,2642884958.0,1630287355.0,35565758963.0,68502478489.0,18719080234.0,65434579846.0,68129978489.0,372500000.0,57757386412.0,273832748.0,-23129807.0,3754500000.0,112500000.0,2018,2
146374719826.0,6227712395.0,6468156872.0,74608499267.0,3810079949.0,2847939838.0,36030062011.0,77964213124.0,40300471627.0,68410506702.0,77591713124.0,372500000.0,62492764808.0,161055006.0,155502805.0,45000000.0,112500000.0,2018,3
102768654986.0,6908048098.0,6468156872.0,26313367403.0,1612112455.0,971424705.0,21305783799.0,33261544986.0,26368087434.0,69507110000.0,32979044986.0,282500000.0,19793185800.0,210872254.0,-393370419.0,112500000.0,22500000.0,2018,4
90083525806.0,6797966127.0,6468156872.0,12400798384.0,-800686473.0,-626839329.0,20207919935.0,27367238393.0,23560925049.0,62716287413.0,26872738393.0,494500000.0,9943881699.0,222609015.0,0,90000000.0,22500000.0,2019,1
131387168158.0,6817567104.0,6468156872.0,71673449238.0,3183178352.0,2125469719.0,33192919146.0,65820564429.0,14082554409.0,65566603729.0,65326064429.0,494500000.0,61671606668.0,267447170.0,64595616.0,3698359000.0,22500000.0,2019,2
143911074685.0,6632259456.0,6468156872.0,65500958464.0,2906214515.0,1938602953.0,33409810922.0,75266520695.0,35108826640.0,68644553990.0,74640773345.0,625747350.0,55363965139.0,249756236.0,133043700.0,30000000.0,155000000.0,2019,3
97950330897.0,6473228875.0,6468156872.0,20002312502.0,758865298.0,467444817.0,21346869871.0,33167972744.0,19452998195.0,64782358153.0,32594725394.0,573247350.0,16147297544.0,239872534.0,-426740726.0,52500000.0,102500000.0,2019,4
90351424193.0,6298487995.0,6468156872.0,9705639720.0,36068245.0,-22822671.0,21353461628.0,25636058420.0,14028928176.0,64715365773.0,25302811070.0,333247350.0,7031733670.0,207709220.0,-14218628.0,22500000.0,102500000.0,2020,1
