totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
3447985414173.0,1769704504749.0,14964275020.0,29151151474.0,-11256570841.0,-9525161687.0,37924979812.0,2092109763862.0,333447034583.0,1355875650311.0,365986570715.0,1726123193147.0,25118740527.0,20857618406.0,29389534874.0,104742975095.0,1156123193147.0,2017,1
3443072322555.0,1748991017959.0,14681394160.0,40149352897.0,-6425781285.0,-4208558644.0,33065813119.0,1979187555582.0,289711615596.0,1463884766973.0,325163077783.0,1654024477799.0,57209497652.0,20573164098.0,29105560661.0,127966326711.0,1114024477799.0,2017,2
3302220774236.0,1731162404935.0,14356258669.0,130466917439.0,-839481958.0,-2210225161.0,28878102966.0,1840624087721.0,178355645302.0,1461596686515.0,331056807106.0,1509567280615.0,106378029528.0,21762181047.0,23290544352.0,137290640771.0,999567280615.0,2017,3
3300623646802.0,2111629685053.0,14331415569.0,79242839897.0,62405140458.0,61391828915.0,34875392077.0,1777955005991.0,172787010203.0,1522668640811.0,238959919371.0,1538995086620.0,89182679720.0,24766498036.0,25655166762.0,50917617446.0,1138995086620.0,2017,4
3266244131172.0,2089501404302.0,13942106868.0,55819614870.0,57032671608.0,44504079659.0,53263541749.0,1701117239459.0,208218218616.0,1565126891713.0,202632327838.0,1498484911621.0,50015575125.0,16683838202.0,20470690377.0,53304150405.0,1148484911619.0,2018,1
3243222275739.0,2070110583211.0,13552798167.0,87131646283.0,15322851376.0,13539149851.0,40771180942.0,1668492552607.0,195769969487.0,1574729723132.0,186072704388.0,1482419848219.0,89499532365.0,31792343077.0,31619556945.0,88711556000.0,1098170299618.0,2018,2
3162701991080.0,2223758245858.0,14364020466.0,55219752397.0,581538002.0,-4308877052.0,31799026495.0,1591871388899.0,215775841089.0,1570830602181.0,176037644523.0,1415833744376.0,62558602760.0,70463774842.0,28795530053.0,109465234000.0,1081499124618.0,2018,3
3072065112486.0,2191764262777.0,7452378071.0,45894291122.0,-18949286494.0,-18172288687.0,34314547505.0,1528497519256.0,154201067900.0,1543567593230.0,209390719933.0,1319106799323.0,59607866314.0,28408887708.0,28619028700.0,133619234000.0,1037880329012.0,2018,4
2987761896793.0,2165721888686.0,8945745633.0,42422813449.0,8069983660.0,9992691079.0,35492867358.0,1437893982041.0,85261786424.0,1549867914752.0,205257294547.0,1232636687494.0,50950140378.0,26463269974.0,27484567568.0,136029234000.0,1000314388759.0,2019,1
2938122963881.0,2157454083148.0,8697965211.0,47655127117.0,18238759385.0,16971293339.0,31467746699.0,1377208566000.0,46800568318.0,1560914397881.0,335838934267.0,1041369631733.0,57717336939.0,26760171384.0,27012710471.0,172905934000.0,958157896759.0,2019,2
2897103351282.0,2147308729685.0,9386969735.0,45563638979.0,16503242379.0,-2921037110.0,33279324155.0,1324691558604.0,16387469885.0,1572411792678.0,401226004749.0,923465553855.0,53605278220.0,26761627134.0,27606420456.0,205043934000.0,921139721759.0,2019,3
2843702522376.0,2145747953879.0,9802189314.0,47701645607.0,3193774627.0,3838243450.0,29383821163.0,1273144184565.0,9304557307.0,1570558337811.0,381114156692.0,892030027873.0,55490796273.0,27082074895.0,28239112640.0,235089934000.0,882063929759.0,2019,4
2618532594558.0,1988212802043.0,7790255074.0,50899887368.0,-11670851209.0,-9060160473.0,18543882943.0,1058683427161.0,11715579679.0,1559849167397.0,320952766840.0,737730660321.0,54703947445.0,24385213822.0,26412020495.0,263731934000.0,727819754759.0,2020,1
2564000256704.0,1974208604169.0,7538269108.0,51054157959.0,-28102590381.0,-28899299975.0,16882776426.0,1038343324188.0,19746550167.0,1525656932516.0,343868276403.0,694475047785.0,55013325539.0,26802216163.0,23260214571.0,279563934000.0,682919962759.0,2020,2
2529052310822.0,1954477716525.0,7286283142.0,48256656315.0,-20442240292.0,-21594764587.0,16736680995.0,1024163648028.0,9857605055.0,1504888662794.0,379288775243.0,644874872785.0,52064542021.0,24568594391.0,23126660697.0,317645934000.0,633319787759.0,2020,3
2456616874702.0,1953504412208.0,7037291604.0,47082515695.0,-42905981642.0,-45041219501.0,16155804054.0,999186288649.0,14019882985.0,1457430586053.0,400342714990.0,598843573659.0,53817987624.0,24659209609.0,22811880977.0,346043933995.0,0,2020,4
2409973810484.0,1932525704605.0,6794288970.0,50813941764.0,-17487845237.0,-17093617090.0,16750055741.0,970415512095.0,14172370633.0,1439558298389.0,396511938436.0,573903573659.0,53969686781.0,24994697724.0,21302274710.0,343500841770.0,558229995764.0,2021,1
2372893692552.0,1911647957304.0,6711703003.0,53497111142.0,-18718796194.0,-19808587230.0,17213022869.0,954155602735.0,7959221849.0,1418738089817.0,402094980510.0,552060622225.0,55698014317.0,25086247465.0,21635561240.0,348425550949.0,535636071026.0,2021,2
2394911524653.0,1889266251601.0,6832700370.0,48308778697.0,-8239427442.0,-7881090999.0,16893227837.0,985328048143.0,11413305233.0,1409583476510.0,449877425918.0,535450622225.0,54246325309.0,25108493426.0,21828544237.0,379111026726.0,519026071026.0,2021,3
2360195648191.0,1878069012713.0,6565489404.0,50058994124.0,-27154086714.0,-28714433687.0,17571012578.0,983973666229.0,41822459362.0,1376221981962.0,462538893517.0,521434772712.0,54396308189.0,24015682543.0,21527434300.0,393531026726.0,501866454026.0,2021,4
